highertaxa,family,genus,species,haploid
Teleostei,Gobiidae,Acanthogobius,Acanthogobius flavimanus,22
Teleostei,Gobiidae,Acentrogobius,Acentrogobius pflaumii,25
Teleostei,Gobiidae,Awaous,Awaous grammepomus,23
Teleostei,Gobiidae,Bathygobius,Bathygobius soporator,24
Teleostei,Gobiidae,Boleophthalmus,Boleophthalmus pectinirostris,23
Teleostei,Gobiidae,Chaenogobius,Chaenogobius annularis,22
Teleostei,Gobiidae,Glossogobius,Glossogobius giuris,23
Teleostei,Gobiidae,Gobionellus,Gobionellus oceanicus,28
Teleostei,Gobiidae,Gobionellus,Gobionellus stomatus,28
Teleostei,Gobiidae,Gobius,Gobius bucchichi,20
Teleostei,Gobiidae,Gobius,Gobius cobitis,23
Teleostei,Gobiidae,Gobius,Gobius niger,25
Teleostei,Gobiidae,Odontamblyopus,Odontamblyopus rubicundus,23
Teleostei,Gobiidae,Parapocryptes,Parapocryptes serperaster,23
Teleostei,Gobiidae,Pomatoschistus,Pomatoschistus marmoratus,23
Teleostei,Gobiidae,Rhinogobius,Rhinogobius brunneus,22
Teleostei,Gobiidae,Rhinogobius,Rhinogobius giurinus,22
Teleostei,Gobiidae,Tridentiger,Tridentiger trigonocephalus,22
Teleostei,Gobiidae,Zosterisessor,Zosterisessor ophiocephalus,23
