Order,Family,species,Meioformula,,hapauto,scs,haploid
Coleoptera,Curculionidae,Acalles camelus     ,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Acalles commutatus     ,2n,28M,13,Xyp,14
Coleoptera,Curculionidae,Acalles echitus,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Acalles echitus     ,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Acalles fallax,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Acalles petryszaki,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Acallopistus sp. 1    ,2n,24M,11,Xyp,12
Coleoptera,Curculionidae,Acicnemis alni     ,2n,24M,11,Xyp,12
Coleoptera,Curculionidae,Acicnemis nigra     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Acicnemis nigra     ,2n,24M,11,Xyp,12
Coleoptera,Curculionidae,Adexius scrobipennis     ,2n,36M,17,Xyp,18
Coleoptera,Curculionidae,Adosomus melanogrammus     ,2n,46M,22,Xyp,23
Coleoptera,Curculionidae,Alcides collaris,2n,28M,13,XY,14
Coleoptera,Curculionidae,Alcides sp. 1    ,2n,34M,16,Xyp,17
Coleoptera,Curculionidae,Alcides sp. 1    ,2n,40M,19,XY,20
Coleoptera,Curculionidae,Alcidodes affaber     ,2n,32M,15,Xyp,16
Coleoptera,Curculionidae,Alcidodes sp. 1    ,2n,32M,15,Xyp,16
Coleoptera,Curculionidae,Amblyrrhinus poricollis     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Amblyrrhinus sp. 1    ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Amblyrrhinus subrecticollis     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Amystax fasciatus     ,2n,16M,7,Xyp,8
Coleoptera,Curculionidae,Amystax fasciatus     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Amystax fasciatus     ,2n,23M,10,Xyyp,11
Coleoptera,Curculionidae,Anobleptus sp. 1    ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Anobleptus sp. 1    ,2n,24M,11,Xyp,12
Coleoptera,Curculionidae,Anthonomus bisignifer     ,2n,19M,9,XO,10
Coleoptera,Curculionidae,Anthonomus bisignifer     ,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Anthonomus bisignifer     ,2n,32M,15,Xyp,16
Coleoptera,Curculionidae,Anthonomus bisignifer     ,2n,34M,16,Xyp,17
Coleoptera,Curculionidae,Anthonomus bisignifer     ,2n,36M,17,Xyp,18
Coleoptera,Curculionidae,Anthonomus corvulus     ,2n,26M,12,Xyp,13
Coleoptera,Curculionidae,Anthonomus grandis     ,2n,42M,20,Xyp,21
Coleoptera,Curculionidae,Anthonomus grandis     ,2n,43M,20,XXY,22
Coleoptera,Curculionidae,Anthonomus grandis     ,2n,44M,21,XY,22
Coleoptera,Curculionidae,Anthonomus haematopus     ,2n,32M,15,XY,16
Coleoptera,Curculionidae,Anthonomus scutellatus     ,2n,28M,13,Xyp,14
Coleoptera,Curculionidae,Anthonomus sigtus     ,2n,34M,16,Xyp,17
Coleoptera,Curculionidae,Anthonomus sp. 1    ,2n,34M,16,XY,17
Coleoptera,Curculionidae,Anthonomus sp. 2    ,2n,26M,12,Xyp,13
Coleoptera,Curculionidae,Anthonomus sp. 3    ,2n,32M,15,Xyp,16
Coleoptera,Curculionidae,Apiophorus pictus     ,2n,30M,14,Xyp,15
Coleoptera,Curculionidae,Aplotes roelofsi     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Apotomorhinus cribatus     ,2n,26M,12,Xyp,13
Coleoptera,Curculionidae,Arrhines languides     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Astycus sp.     ,2n,22M,10,Xyp,11
Coleoptera,Curculionidae,Atactogaster sp. 1    ,2n,48M,23,Xyp,24
Coleoptera,Curculionidae,Barioscaphus cordiae     ,2n,22M,10,Xyp,11
