species,Genome sizea (Mb),haploid,,
Bremia_lactucae,,7,,
Phytophythora_megaspermac,,9,,
Phytophythora_megasperma,,10-13,,
Pythium_acanthicumd,19.9–25.5,10-12,,
Pythium_aphanidermatumd,31.2–41.5,11,,
Pythium_aristosporum,35.6,15,,
Pythium_arrhenomanesd,23.9–24.8,9,,
Pythium_deliensed,34.7–40.7,12,,
Pythium_graminicolad,29.6–33.2,14-15,,
Pythium_heterothallicum,26.5,12,,
Pythium_irregulared,21.6–30.8,7-10,,
Pythium_myriotylumd,33.2–38.5,11-12,,
Pythium_nunn,31.3,14,,
Pythium_oligandrumd,28.0–36.7,12-20,,
Pythium_periplocum,25.9,11,,
Pythium_spinosumd,25.0–31.4,8-10,,
Pythium_splendens,31.5,16,,
Pythium_sylvaticumd,28.7–37.7,11-13,,
Pythium_torulosum,23.9,10,,
Pythium_ultimumd,24.3–37.6,11-14,,
Pythium_vanterpoolii,18.8,9,,
Absidia_glauca,42,10,,
Cochliobolus_heterostrophus,35,15-16,,
Dipodascus_magnusii,38,13,,
Emericella_nidulans,31,6,,
Emericella_nidulans,24.2,6,,
Emericella_nidulans,31,6,,
Erysiphe_graminis,,7,,
Gibberella_fujikuroi,37,11,,
Hansenula_polymorpha,,3,,
Kluyveromyces_aestuarii,10.2,6-7,,
Kluyveromyces_africanus,17,12-14,,
Kluyveromyces_blattae,5.5–7.0,3-5,,
Kluyveromyces_cellobiovorus,10.6,6,,
Kluyveromyces_delphensis,13.2,8-9,,
Kluyveromyces_lodderae,15.5,5-13,,
Kluyveromyces_phaffii,10.6,8-11,,
Kluyveromyces_polysporus,11.2,8-9,,
Kluyveromyces_thermotolerans,10.2–10.6d,7,,
Kluyveromyces_waltii,7.2,4-5,,
Kluyveromyces_wickerhamii,13.6,4-5,,
Kluyveromyces_yarrowii,15,13-15,,
_Highly_virulent,,6-8,,
_Weakly_virulent,,12-14,,
Leptosphaeria_maculansd,17.5–23.0,12-15,,
Lipomyces_starkeyi,15,11,,
Magnaporthe_grisea,,6,,
Magnaporthe_grisea,,7,,
Nectria_haematococca,,10-15,,
Neurospora_crassa,47,7,,
Ophiostoma_ulmi,,6,,
Podospora_anserina,33.4,7,,
Pyrenophora_graminead,42.8,6-8,,
Pyrenophora_teres,35,6,,
Saccharomyces_bayanus,,16,,
Saccharomyces_cariocanus,,16,,
Saccharomyces_carlsbergensis,,17,,
Saccharomyces_cerevisiae,,16,,
Saccharomyces_cerevisiae,,15,,
Saccharomyces_cerevisiae,14,17,,
Saccharomyces_cerevisiaed,,11-20,,
Saccharomyces_cerevisiae,,16,,
Saccharomyces_dairensis,,8,,
Saccharomyces_exiguus,,11,,
Saccharomyces_kluyveri,,5,,
Saccharomyces_kudriavzevii,,16,,
Saccharomyces_mikatae,,16,,
Saccharomyces_paradoxus,,16,,
Saccharomyces_servazzii,,19,,
Saccharomyces_unisporus,,10,,
Saccharomyces_uvarum,,14-15,,
Schizosaccharomyces_pombe,18,3,,
Sclerotinia_sclerotiorum,43.5,16,,
Sordaria_macrospora,39.5,7,,
Agaricus_bisporus,34,13,,
Agaricus_bisporus,31,13,,
_var._gattii,,9,,
_var._neoformans,,8,,
Entyloma_arnoseridis,,12-16,,
Entyloma_ficariae,,15,,
Filobasidiella_neoformans,,11,,
Filobasidiella_neoformans,,7-14,,
Malassezia_pachydermatis,6.7–7.1,5,,
Melanotaenium_endogenum,,11,,
Microbotryum_violaceum,11.0–15.4d,12-15,,
_BKMF-1767,29,10,,
_ME-446,32,11,,
Pleurotus_ostreatus,35.1,11,,
Schizophyllum_commune,35–36,6,,
Schizophyllum_commune,35.6,11,,
Tilletia_caries_(T._controversa)e,32.3–39.9,14-20,,
Tilletiaria_anomala,,11-15,,
Tilletiopsis_albescens,,14-16,,
Tilletiopsis_fulvescens,,17-19,,
Tilletiopsis_minor,,10-15,,
Tilletiopsis_pallescens,,12-14,,
Tilletiopsis_washingtonensis,,12-20,,
Ustilago_hordeid,18.4–26.0,15-19,,
Ustilago_maydis,,20,,
Ustilago_tritici,,13,,
Acremonium_chrysogenum,32,8,,
Acremonium_flavum,26.5,7,,
Acremonium_strictum,27.7,7,,
Alternaria_alternata,,9-11,,
“Other”_Alternaria_spp.,,8-10,,
Aspergillus_flavus,,5-8,,
Aspergillus_flavus,31.2,7,,
Aspergillus_fumigatus,15.8,5,,
Aspergillus_niger,35.5–38.5,4,,
Aspergillus_niger,,8,,
Aspergillus_oryzae,35,8,,
Aspergillus_parasiticus,,5-7,,
Aspergillus_versicolor,,6,,
Beauveria_bassiana,34.3–44.1,5-8,,
Cephalosporium_acremonium,22.5,8,,
Candida_albicans,14,4-7,,
Candida_albicans,,6-13,,
Candida_albicans,,8,,
Candida_glabrata,,6-12,,
Candida_molischiana,12,7-8,,
Candida_rugosa,20,8,,
Candida_stellatoidea,,12,,
Cladosporium_fulvum,44,9,,
Colletotrichum_lindemuthianum,,9-12,,
Curvularia_lunata,29.7,12,,
Fusarium_acuminatum,,6-9,,
Fusarium_avenaceum,27,7,,
Fusarium_camptoceras,28.1,7,,
Fusarium_chlamydosporum,29.5,8,,
Fusarium_fusarioides,29.9,6,,
Fusarium_oxysporum,41.0–51.5,11-14,,
Fusarium_pallidoroseum,29.5,8,,
Fusarium_poae,27.5,6,,
Fusarium_solani,39.9,13,,
Fusarium_sporotrichioides,27.7,6,,
Fusarium_sporotrichioides,20.4,6,,
Fusarium_tricinctum,29.2,9,,
Histoplasma_capsulatum,,7,,
Hortaea_werneckii,,12-18,,
Itersonilia_perplexans,,10-12,,
Itersonilia_pyriformans,,10-12,,
Paecilomyces_fumosoroseus,30.1,6,,
Penicillium_janthinellum,39–46,10,,
Phoma_tracheiphila,,12,,
Rhodosporidium_toruloides,,10,,
Rhodotorula_mucilaginosa,,9,,
Septoria_nodorumd,28–32,14-19,,
Septoria_triticid,29.5–32.6,14-16,,
Tolypocladium_inflatum,30.5,7,,
Trichoderma_reesei,38,6,,
Trichoderma_longibrachiatum(reesei),33,7,,
