Order,Family,species,Meioformula,,hapauto,scs,haploid
Coleoptera,Buprestidae, Spruce borer sp. I ,2n,20M,9,XY,10
Coleoptera,Buprestidae, Spruce borer sp. II ,2n,22M,10,XY,11
Coleoptera,Buprestidae,Acmaeodera boryi ,2n,18M,8,Xyr,9
Coleoptera,Buprestidae,Acmaeodera flavofasciata ,2n,18M,8,Xyr,9
Coleoptera,Buprestidae,Acmaeodera flavolineata ,2n,20M,9,NeoXY,10
Coleoptera,Buprestidae,Acmaeodera gibbulosa ,2n,18M,8,Xyr,9
Coleoptera,Buprestidae,Acmaeodera hepburni ,2n,18M,8,NeoXY,9
Coleoptera,Buprestidae,Acmaeodera pilosellae persica,2n,20M,9,NeoXY,10
Coleoptera,Buprestidae,Acmaeodera vetusta ,2n,18M,8,Xyr,9
Coleoptera,Buprestidae,Agrilus angustulus ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Agrilus araxenus ,2n,20M,9,XY,10
Coleoptera,Buprestidae,Agrilus obscuricollis ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Agrilus politus pseudocoryli ,2n,20M,9,XY,10
Coleoptera,Buprestidae,Agrilus sp. ,2n,20M,9,NeoXY,10
Coleoptera,Buprestidae,Anthaxia amasi ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia bicolor ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia deaurata ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia hungarica ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia lgockii ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia mirabilis ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia olympica ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia podolica ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia sponsa ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Anthaxia viridifrons ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Capnodis miliaris ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Capnodis tenebrionis ,2n,14M,6,NeoXY,7
Coleoptera,Buprestidae,Castiarina adelaidae ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina argillacea ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina cupreoflava ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina decemmaculata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina flavopicta ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina grata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina rufipennis ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina sexplagiata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina simulata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina subnotata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina subtincta ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Castiarina triramosa ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Chrysobothris affinis tetragramma ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Chrysobothris dentipes ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Chrysobothris floricola ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Coraebus rubi ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Coraebus sinuatus ,2n,24M,11,XY,12
Coleoptera,Buprestidae,Dicera divaricata ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Dicera prolongata ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Dicera tenebrosa ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Dicerca aenea validiuscula,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Euchroma gigantea ,2n,24M,9,XXXYYY,12
Coleoptera,Buprestidae,Euchroma gigantea ,2n,24M,9,XXXYYY,12
Coleoptera,Buprestidae,Euchroma gigantea ,2n,26M,10,XXXYY,13
Coleoptera,Buprestidae,Euchroma gigantea ,2n,32M,13,XXXYYY,16
Coleoptera,Buprestidae,Euchroma gigantea ,2n,34M,14,XXXYYY,17
Coleoptera,Buprestidae,Euchroma gigantea ,2n,36M,15,XXXYYY,18
Coleoptera,Buprestidae,Julodella globithorax ,2n,26M,12,Xyp,13
Coleoptera,Buprestidae,Julodis andreae ,2n,26M,12,NeoXY,13
Coleoptera,Buprestidae,Julodis faldermanni ,2n,26M,12,XY,13
Coleoptera,Buprestidae,Julodis whithilli ,2n,24M,11,NeoXY,12
Coleoptera,Buprestidae,Melanophila acumita ,2n,12M,5,Xyp,6
Coleoptera,Buprestidae,Melanophila drummondi ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Melanophila intrusa ,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Meliboeus caucasicus ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Ovalisia dezhdae ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Perotis cuprata ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Perotis lugubris ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Sphaerobothris aghababiani,2n,16M,7,Xyp,8
Coleoptera,Buprestidae,Sphenoptera artemisiae ,2n,24M,11,XY,12
Coleoptera,Buprestidae,Sphenoptera glabrata ,2n,40M,19,XY,20
Coleoptera,Buprestidae,Sphenoptera tamarisci ,2n,30M,14,NeoXY,15
Coleoptera,Buprestidae,Stenocera sp,2n,26M,12,NeoXY,13
Coleoptera,Buprestidae,Sternocera laevigata ,2n,26M,12,NeoXY,13
Coleoptera,Buprestidae,Sternocera nitidicollis ,2n,26M,12,NeoXY,13
Coleoptera,Buprestidae,Stigmodera cancellata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Stigmodera goryi ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Stigmodera gratiosa ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Stigmodera macularia ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Stigmodera porosa ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Stigmodera roei ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha alternata ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Themognatha barbiventris ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha bonvouloiri ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha chalcodera ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha chevrolati ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha donovani ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha heros ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha mitchelli ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha mniszechi ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha nickerli ,2n,20M,9,Xyp,10
Coleoptera,Buprestidae,Themognatha parvicollis ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha pubicollis ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha regia ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha tricolorata ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha variabilis ,2n,22M,10,Xyp,11
Coleoptera,Buprestidae,Themognatha viridicincta ,2n,22M,10,Xyp,11
