Order,Family,Genus,species,SCS,haploid
Odonata,Epiophlebiidae,Epiophlebia,Epiophlebia superstes,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna canadensis,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna clepsydra,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna crenata,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna cyanea,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna grandis,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna grandis,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna isoceles,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna isoceles,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna juncea,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna mixta,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna mixta,XO,13
Odonata,Aeshnidae,Aeshna,Aeshna nigroflava,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna palmata,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna subarctica,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna umbrosa,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna verticalis,XO,14
Odonata,Aeshnidae,Aeshna,Aeshna walkeri,XO,14
Odonata,Aeshnidae,Aeshna,Anaciaeschna jaspidea,XO,14
Odonata,Aeshnidae,Aeshna,Anax amazili,XO,14
Odonata,Aeshnidae,Anax,Anax concolor,XO,14
Odonata,Aeshnidae,Anax,Anax ephippiger,XO,7
Odonata,Aeshnidae,Anax,Anax guttatus,XO,8
Odonata,Aeshnidae,Anax,Anax immaculifrons,XO,14
Odonata,Aeshnidae,Anax,Anax imperator,XO,14
Odonata,Aeshnidae,Anax,Anax junius,XO,14
Odonata,Aeshnidae,Anax,Anax longipes,XO,14
Odonata,Aeshnidae,Anax,Anax nigrofasciatus,XO,14
Odonata,Aeshnidae,Anax,Anax nigrofasciatus,XO,13
Odonata,Aeshnidae,Anax,Anax papuensis,XO,14
Odonata,Aeshnidae,Anax,Anax parthenope,XO,14
Odonata,Aeshnidae,Anax,Anax parthenope,XO,13
Odonata,Aeshnidae,Andaeschna,Andaeschna unicolor,XO,14
Odonata,Aeshnidae,Austroaeschna,Austroaeschna anacantha,XO,14
Odonata,Aeshnidae,Austroaeschna,Austroaeschna multipunctata,XO,14
Odonata,Aeshnidae,Basiaeschna,Basiaeschna janata,XO,13
Odonata,Aeshnidae,Boyeria,Boyeria maclachlani,XO,14
Odonata,Aeshnidae,Boyeria,Boyeria vinosa,XO,14
Odonata,Aeshnidae,Castoraeschna,Castoraeschna castor,XO,14
Odonata,Aeshnidae,Cephalaeschna,Cephalaeschna orbifrons,XO,13
Odonata,Aeshnidae,Cephalaeschna,Cephalaeschna sp.,XO,13
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna adnexa,XO,14
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna perrensi,XO,13
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna perrensi,XO,14
Odonata,Aeshnidae,Coryphaeschna,Coryphaeschna viriditas,XO,12
Odonata,Aeshnidae,Gynacantha,Gynacantha bayadera,XO,13
Odonata,Aeshnidae,Gynacantha,Gynacantha bayadera,XO,14
Odonata,Aeshnidae,Gynacantha,Gynacantha japonica,XO,14
Odonata,Aeshnidae,Gynacanthaeschna,Gynacanthaeschna sikkima,XO,14
Odonata,Aeshnidae,Oplonaeschna,Oplonaeschna armata,XO,14
Odonata,Aeshnidae,Planaeschna,Planaeschna milnei,XO,14
