"family","genus","sp","species","haploid"
"Cupressaceae","Cupressus","sempervirens","Cupressus_sempervirens",11
"Ephedraceae","Ephedra","campylopoda","Ephedra_campylopoda",7
"Ephedraceae","Ephedra","campylopoda","Ephedra_campylopoda",7
"Cupressaceae","Pinus","pinea","Pinus_pinea",12
"Ephedraceae","Ephedra","distachya","Ephedra_distachya",14
"Cupressaceae","Pinus","pinaster","Pinus_pinaster",12
"Cupressaceae","Pinus","laricio","Pinus_laricio",12
"Cupressaceae","Pinus","laricio","Pinus_laricio",12
"Cupressaceae","Pinus","leucodermis","Pinus_leucodermis",12
"Cupressaceae","Pinus","leucodermis","Pinus_leucodermis",12
"Cupressaceae","Pinus","cembra","Pinus_cembra",12
"Cupressaceae","Pinus","mugo","Pinus_mugo",12
"Ephedraceae","Ephedra","distachya","Ephedra_distachya",14
"Taxaceae","Taxus","baccata","Taxus_baccata",12
"Cupressaceae","Juniperus","sibirica","Juniperus_sibirica",11
"Cupressaceae","Pinus","nigra","Pinus_nigra",12
"Cupressaceae","Juniperus","communis","Juniperus_communis",11
"Cupressaceae","Pinus","sylvestris","Pinus_sylvestris",12
"Cupressaceae","Pinus","mugo","Pinus_mugo",12
"Cupressaceae","Pinus","cembra","Pinus_cembra",12
"Cupressaceae","Pinus","nigra","Pinus_nigra",12
"Ginkgoaceae","Ginkgo","biloba","Ginkgo_biloba",12
"Pinaceae","Abies","alba","Abies_alba",12
"Cupressaceae","Pinus","mugo","Pinus_mugo",12
"Pinaceae","Larix","decidua","Larix_decidua",12
"Pinaceae","Larix","decidua","Larix_decidua",12
"Cupressaceae","Pinus","strobus","Pinus_strobus",12
"Cupressaceae","Pinus","banksiana","Pinus_banksiana",12
"Ginkgoaceae","Ginkgo","biloba","Ginkgo_biloba",12
"Pinaceae","Picea","abies","Picea_abies",12
"Pinaceae","Picea","abies","Picea_abies",12
"Cupressaceae","Pinus","sylvestris","Pinus_sylvestris",12
"Cupressaceae","Pinus","nigra","Pinus_nigra",12
"Cupressaceae","Pinus","sylvestris","Pinus_sylvestris",12
"Cupressaceae","Pinus","mugo","Pinus_mugo",12
"Cupressaceae","Pinus","banksiana","Pinus_banksiana",12
"Cupressaceae","Pinus","contorta*","Pinus_contorta*",12
"Pinaceae","Abies","grandis*","Abies_grandis*",12
"Pinaceae","Larix","sibirica*","Larix_sibirica*",12
"Cupressaceae","Pinus","flexilis*","Pinus_flexilis*",12
"Cupressaceae","Cunninghamia","lanceolata*","Cunninghamia_lanceolata*",11
"Pinaceae","Abies","holophylla*","Abies_holophylla*",12
"Pinaceae","Abies","koreana*","Abies_koreana*",12
"Pinaceae","Larix","koreana*","Larix_koreana*",12
"Pinaceae","Picea","koraiensis*","Picea_koraiensis*",12
