Order,Family,species,Meioformula,,hapauto,scs,haploid
Coleoptera,Scolytidae,Blastophagus minor     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Blastophagus pinierda     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Cactopinus desertus     ,2n,23M,11,XO,12
Coleoptera,Scolytidae,Conopthorus coniperda     ,2n,20M,9,NeoXY,10
Coleoptera,Scolytidae,Conopthorus resinosae     ,2n,18M,8,XY,9
Coleoptera,Scolytidae,Dendroctonus adjunctus     ,2n,14M,6,NeoXY,7
Coleoptera,Scolytidae,Dendroctonus approximatus     ,2n,12M,5,NeoXY,6
Coleoptera,Scolytidae,Dendroctonus brevicomis     ,2n,12M,5,NeoXY,6
Coleoptera,Scolytidae,Dendroctonus jeffreyi     ,2n,24M,11,NeoXY,12
Coleoptera,Scolytidae,Dendroctonus murrayae     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Dendroctonus ponderosae     ,2n,24M,11,NeoXY,12
Coleoptera,Scolytidae,Dendroctonus pseudotsugae     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Dendroctonus punctatus     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Dendroctonus rufipennis     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Dendroctonus simplex     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Dendroctonus terebrans     ,2n,26M,12,Xyp,13
Coleoptera,Scolytidae,Dendroctonus valens     ,2n,28M,13,Xyp,14
Coleoptera,Scolytidae,Dryocoetes affaber     ,2n,28M,13,Xyp,14
Coleoptera,Scolytidae,Dryocoetes autographus     ,2n,28M,13,Xyp,14
Coleoptera,Scolytidae,Hylurgops pinifex     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Ips bonseai     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips chagnoni sw.    ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips concinnus     ,2n,16M,7,Xyp,8
Coleoptera,Scolytidae,Ips cribricollis     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips emargitus     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips hoppingi     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips hunteri     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips interstitialis     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips kusi     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips latidens     ,2n,20M,9,Xyp,10
Coleoptera,Scolytidae,Ips lecontei     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips mexicanus     ,2n,16M,7,Xyp,8
Coleoptera,Scolytidae,Ips montanus     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips perroti     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips pilifrons     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips pini     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Ips pini     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips pini (=oregonis Eichh.)   ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips plastographus maritimus    ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips spinifer     ,2n,20M,9,Xyp,10
Coleoptera,Scolytidae,Ips tridens     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Ips typographus     ,2n,30M,14,Xyp,15
Coleoptera,Scolytidae,Ips woodi     ,2n,32M,15,Xyp,16
Coleoptera,Scolytidae,Leperisinus pruinosis     ,2n,26M,12,Xyp,13
Coleoptera,Scolytidae,Orthotomicus caelatus     ,2n,22M,10,Xyp,11
Coleoptera,Scolytidae,Orthotomicus proximus     ,2n,14M,6,Xyp,7
Coleoptera,Scolytidae,Pityogenes chalcographus     ,2n,20M,9,Xyp,10
Coleoptera,Scolytidae,Pityogenes crannulatus     ,2n,18M,8,Xyp,9
Coleoptera,Scolytidae,Pityogenes hopkinsi     ,2n,20M,9,Xyp,10
Coleoptera,Scolytidae,Pityogenes knechteli     ,2n,20M,9,Xyp,10
Coleoptera,Scolytidae,Pityogenes quadridens     ,2n,20M,9,Xyp,10
Coleoptera,Scolytidae,Pityokteines ortus     ,2n,18M,8,Xyp,9
Coleoptera,Scolytidae,Polygraphus rugipennis     ,2n,12M,5,Xyp,6
Coleoptera,Scolytidae,Scolytus dahuricus     ,2n,22M,10,Xyp,11
Coleoptera,Scolytidae,Scolytus mali     ,2n,12M,5,Xyp,6
