class,order,family,genus,species,haploid
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_bendelisis,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_bendelisis,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_bendelisis,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_bendelisis,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_gatensis,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_naseeri,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_pakistanicus,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_shacra,26
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_shacra,26
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_vagra,25
Actinopteri,Cypriniformes,Cyprinidae,barilius,Barilius_vagra,25
Actinopteri,Cypriniformes,Cyprinidae,blicca,Blicca_bjoerkna,25
Actinopteri,Cypriniformes,Cyprinidae,blicca,Blicca_bjoerkna,25
Actinopteri,Cypriniformes,Cyprinidae,caecobarbus,Caecobarbus_geertsi,25
Actinopteri,Cypriniformes,Cyprinidae,campostoma,Campostoma_anomalum,25
Actinopteri,Cypriniformes,Cyprinidae,capoeta,Capoeta_capoeta,75
Actinopteri,Cypriniformes,Cyprinidae,capoeta,Capoeta_sevangi,75
Actinopteri,Cypriniformes,Cyprinidae,capoeta,Capoeta_umbla,75
Actinopteri,Cypriniformes,Cyprinidae,capoeta,Capoeta_capoeta,75
Actinopteri,Cypriniformes,Cyprinidae,capoeta,Capoeta_damascina,74
Actinopteri,Cypriniformes,Cyprinidae,capoeta,Capoeta_trutta,75
Actinopteri,Cypriniformes,Cyprinidae,carassioides,Carassioides_cantonensis,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,81
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,81
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75.5
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
