Family,Genus,Sp,species,haploid
Solanaceae,Acnistus,arborescens,Acnistus_arborescens,12
Solanaceae,Acnistus,parvifiorus,Acnistus_parvifiorus,12
Solanaceae,Acnistus,parviflorus,Acnistus_parviflorus,12
Solanaceae,Anisodus,acutangulus,Anisodus_acutangulus,24
Solanaceae,Anisodus,lurida,Anisodus_lurida,12
Solanaceae,Anisodus,luridus,Anisodus_luridus,24
Solanaceae,Anisodus,tangutica,Anisodus_tangutica,21
Solanaceae,Anisodus,tanguticus,Anisodus_tanguticus,24
Solanaceae,Anthocercis,anisantha,Anthocercis_anisantha,36
Solanaceae,Anthocercis,genistoides,Anthocercis_genistoides,36
Solanaceae,Anthocercis,gracilis,Anthocercis_gracilis,36
Solanaceae,Anthocercis,ilicifolia,Anthocercis_ilicifolia,36
Solanaceae,Anthocercis,littorea,Anthocercis_littorea,36
Solanaceae,Anthocercis,viscosa,Anthocercis_viscosa,36
Solanaceae,Anthotroche,pannosa,Anthotroche_pannosa,31
Solanaceae,Athenaea,macrantha,Athenaea_macrantha,12
Solanaceae,Athenaea,picta,Athenaea_picta,12
Solanaceae,Atropa,Atropa belladonna,Atropa_atropa belladonna,36
Solanaceae,Atropa,acuminata,Atropa_acuminata,36
Solanaceae,Atropa,baetica,Atropa_baetica,36
Solanaceae,Atropa,bella-donna,Atropa_bella-donna,36
Solanaceae,Atropa,belladona,Atropa_belladona,25
Solanaceae,Atropa,belladonna,Atropa_belladonna,36
Solanaceae,Atropa,caucasica,Atropa_caucasica,25
Solanaceae,Atropa,komarovii,Atropa_komarovii,37
Solanaceae,Atropanthe,sinensis,Atropanthe_sinensis,24
Solanaceae,Aureliana,fasciculata,Aureliana_fasciculata,12
Solanaceae,Benthamiella,graminifolia,Benthamiella_graminifolia,11
Solanaceae,Benthamiella,patagonica,Benthamiella_patagonica,11
Solanaceae,Benthamiella,pycnophylloides,Benthamiella_pycnophylloides,11
Solanaceae,Bouchetia,anomala,Bouchetia_anomala,8
Solanaceae,Bouchetia,erecta,Bouchetia_erecta,8
Solanaceae,Brachistus,stramoniifolius,Brachistus_stramoniifolius,12
Solanaceae,Browallia,americana,Browallia_americana,11
Solanaceae,Browallia,demissa,Browallia_demissa,11
Solanaceae,Browallia,elata,Browallia_elata,11
Solanaceae,Browallia,grandiflora,Browallia_grandiflora,11
Solanaceae,Browallia,speciosa,Browallia_speciosa,22
Solanaceae,Browallia,viscosa,Browallia_viscosa,11
Solanaceae,Brugmansia,arborea,Brugmansia_arborea,12
Solanaceae,Brugmansia,aurea,Brugmansia_aurea,12
Solanaceae,Brugmansia,cornigera,Brugmansia_cornigera,12
Solanaceae,Brugmansia,sanguinea,Brugmansia_sanguinea,12
Solanaceae,Brugmansia,suaveolens,Brugmansia_suaveolens,12
Solanaceae,Brugmansia,versicolor,Brugmansia_versicolor,12
Solanaceae,Brunfelsia,americana,Brunfelsia_americana,11
Solanaceae,Brunfelsia,australis,Brunfelsia_australis,12
Solanaceae,Brunfelsia,calycina,Brunfelsia_calycina,11
Solanaceae,Brunfelsia,dwyeri,Brunfelsia_dwyeri,11
Solanaceae,Brunfelsia,grandiflora,Brunfelsia_grandiflora,11
Solanaceae,Brunfelsia,lactea,Brunfelsia_lactea,11
Solanaceae,Brunfelsia,latifolia,Brunfelsia_latifolia,11
Solanaceae,Brunfelsia,nitida,Brunfelsia_nitida,11
Solanaceae,Brunfelsia,pauciflora,Brunfelsia_pauciflora,11
Solanaceae,Brunfelsia,undulata,Brunfelsia_undulata,11
Solanaceae,Calibrachoa,calycina,Calibrachoa_calycina,9
Solanaceae,Calibrachoa,eglandulata,Calibrachoa_eglandulata,9
Solanaceae,Calibrachoa,elegans,Calibrachoa_elegans,9
Solanaceae,Calibrachoa,excellens,Calibrachoa_excellens,9
Solanaceae,Calibrachoa,helianthemoides,Calibrachoa_helianthemoides,9
Solanaceae,Calibrachoa,heterophylla,Calibrachoa_heterophylla,9
Solanaceae,Calibrachoa,humilis,Calibrachoa_humilis,9
Solanaceae,Calibrachoa,linearis,Calibrachoa_linearis,9
Solanaceae,Calibrachoa,linoides,Calibrachoa_linoides,9
Solanaceae,Calibrachoa,macrodactylon,Calibrachoa_macrodactylon,9
Solanaceae,Calibrachoa,micrantha,Calibrachoa_micrantha,9
Solanaceae,Calibrachoa,ovalifolia,Calibrachoa_ovalifolia,9
Solanaceae,Calibrachoa,paranensis,Calibrachoa_paranensis,9
Solanaceae,Calibrachoa,parviflora,Calibrachoa_parviflora,9
Solanaceae,Calibrachoa,rupestris,Calibrachoa_rupestris,9
Solanaceae,Calibrachoa,sellowiana,Calibrachoa_sellowiana,9
Solanaceae,Calibrachoa,sendtneriana,Calibrachoa_sendtneriana,9
Solanaceae,Calibrachoa,variabilis,Calibrachoa_variabilis,9
Solanaceae,Capsicum,,Capsicum_,12
Solanaceae,Capsicum,angulosum,Capsicum_angulosum,12
Solanaceae,Capsicum,annuum,Capsicum_annuum,12
Solanaceae,Capsicum,asfrutescens,Capsicum_asfrutescens,12
Solanaceae,Capsicum,baccatum,Capsicum_baccatum,12
Solanaceae,Capsicum,buforum,Capsicum_buforum,12
Solanaceae,Capsicum,caatingae,Capsicum_caatingae,12
