Order,Family,Genus,species,Sex.chromosome.system,haploid
Rodentia,Muridae,Acomys,Acomys_cahirinus-1,XY,18
Rodentia,Muridae,Acomys,Acomys_cahirinus-2,XY,19
Rodentia,Muridae,Acomys,Acomys_dimidiatus,XY,19
Rodentia,Muridae,Apodemus,Apodemus_agrarius,XY,24
Rodentia,Muridae,Apodemus,Apodemus_flavicolis,XY,25
Rodentia,Muridae,Apodemus,Apodemus_flavicolis,XY,24
Rodentia,Muridae,Apodemus,Apodemus_mystaconus,XY,24
Rodentia,Muridae,Apodemus,Apodemus_peninsulae,XY,24
Rodentia,Muridae,Apodemus,Apodemus_speciosus,XY,24
Rodentia,Muridae,Apodemus,Apodemus_sylvaticus,XY,24
Rodentia,Muridae,Apodemus,Apodemus_uralensis,XY,24
Rodentia,Muridae,Archboldomys,Archboldomys_luzonensis,XY,13
Rodentia,Muridae,Arvicanthis,Arvicanthis_ansorgei,XY,31
Rodentia,Muridae,Arvicanthis,Arvicanthis_niloticus-cytotype_1A,XY,31
Rodentia,Muridae,Arvicanthis,Arvicanthis_niloticus-cytotype_1B,XY,31
Rodentia,Muridae,Arvicanthis,Arvicanthis_rufinus,XY,31
Rodentia,Muridae,Arvicanthis,Arvicanthis_sp.,XY,29
Rodentia,Muridae,Bandicota,Bandicota_bengalensis,XY,21
Rodentia,Muridae,Bandicota,Bandicota_indica,XY,21
Rodentia,Muridae,Celaenomys,Celaenomys_silaceus,XY,22
Rodentia,Muridae,Chrotomys,Chrotomys_silaceus,XY,22
Rodentia,Muridae,Crunomys,Crunomys_suncoides,XY,18
Rodentia,Muridae,Dasymys,Dasymys_incomtus,XY,18
Rodentia,Muridae,Dasymys,Dasymys_rufulus,XY,18
Rodentia,Muridae,Gerbillurus,Gerbillurus_gambianus,XY,26
Rodentia,Muridae,Gerbillurus,Gerbillurus_guineae,XY,25
Rodentia,Muridae,Gerbillurus,Gerbillurus_kempi,XY,24
Rodentia,Muridae,Gerbillurus,Gerbillurus_leucogaster,XY,20
Rodentia,Muridae,Gerbillurus,Gerbillurus_robustus,XY,18
Rodentia,Muridae,Gerbillurus,Gerbillurus_sp.,XY,23
Rodentia,Muridae,Gerbillurus,Gerbillurus_tytonis,XY,18
Rodentia,Muridae,Gerbillus,Gerbillus_cheesmani,XY,19
Rodentia,Muridae,Gerbillus,Gerbillus_occiduus,XY,20
Rodentia,Muridae,Gerbillus,Gerbillus_perpallidus,XY,20
Rodentia,Muridae,Gerbillus,Gerbillus_pyramidum,XY,19
Rodentia,Muridae,Gerbillus,Gerbillus_rupicola,XY,26
Rodentia,Muridae,Gerbillus,Gerbillus_tarabuli,XY,20
Rodentia,Muridae,Hapalomys,Hapalomys_delacouri,XY,24
Rodentia,Muridae,Lemniscomys,Lemniscomys_barbarus,XY,27
Rodentia,Muridae,Leopoldamys,Leopoldamys_edwarsi,XY,22
Rodentia,Muridae,Lophuromys,Lophuromys_brevicaudus,XY,34
Rodentia,Muridae,Lophuromys,Lophuromys_chrysopus,XY,27
Rodentia,Muridae,Lophuromys,Lophuromys_melanonyx,XY,30
Rodentia,Muridae,Mastomys,Mastomys_awashensis,XY,16
Rodentia,Muridae,Mastomys,Mastomys_coucha,XY,18
Rodentia,Muridae,Mastomys,Mastomys_erythroleucus,XY,19
Rodentia,Muridae,Mastomys,Mastomys_huberti,XY,16
Rodentia,Muridae,Mastomys,Mastomys_kollmanspergeri,XY,19
Rodentia,Muridae,Mastomys,Mastomys_natalensis,XY,16
Rodentia,Muridae,Maxomys,Maxomys_surifer,XY,26
Rodentia,Muridae,Meriones,Meriones_crassus,XY,29
Rodentia,Muridae,Meriones,Meriones_hurrianae,XY,20
Rodentia,Muridae,Meriones,Meriones_libycus,XY,22
Rodentia,Muridae,Meriones,Meriones_meridianus,XY,25
Rodentia,Muridae,Meriones,Meriones_persicus,XY,21
Rodentia,Muridae,Meriones,Meriones_rex,XY,19
Rodentia,Muridae,Meriones,Meriones_shawi,XY,22
Rodentia,Muridae,Meriones,Meriones_unguiculatus,XY,22
Rodentia,Muridae,Mus,Mus_cervicolor,XY,19
Rodentia,Muridae,Mus,Mus_macedonicus,XY,20
Rodentia,Muridae,Mus,Mus_mahomet,XY,18
Rodentia,Muridae,Mus,Mus_mattheyi,XY,18
Rodentia,Muridae,Mus,Mus_minutoides,XY,9
Rodentia,Muridae,Mus,Mus_minutoides,XY,17
Rodentia,Muridae,Mus,Mus_minutoides,complex XY,19
Rodentia,Muridae,Mus,Mus_musculoides,complex XY,9
Rodentia,Muridae,Mus,Mus_musculus,XY,20
Rodentia,Muridae,Mus,Mus_pahari,XY,24
Rodentia,Muridae,Mus,Mus_poschiavinus,XY,13
Rodentia,Muridae,Nesokia,Nesokia_indica,XY,21
Rodentia,Muridae,Niviventer,Niviventer_confucianus,XY,23
Rodentia,Muridae,Otomys,Otomys_irroratus,XY,14
Rodentia,Muridae,Phloeomys,Phloeomys_cumingi,XY,22
Rodentia,Muridae,Praomys,Praomys_daltoni,XY,18
Rodentia,Muridae,Psammomys,Psammomys_obesus,XY,24
Rodentia,Muridae,Rattus,Rattus_agentiventer,XY,21
Rodentia,Muridae,Rattus,Rattus_exulans,XY,21
Rodentia,Muridae,Rattus,Rattus_flavipectus,XY,23
Rodentia,Muridae,Rattus,Rattus_mindanensis,XY,21
Rodentia,Muridae,Rattus,Rattus_natalensis,XY,18
Rodentia,Muridae,Rattus,Rattus_nitidus,XY,21
Rodentia,Muridae,Rattus,Rattus_norvegicus,XY,21
Rodentia,Muridae,Rattus,Rattus_rattus,XY,19
Rodentia,Muridae,Rattus,Rattus_tanezumi,XY,21
Rodentia,Muridae,Rhabdomys,Rhabdomys_pumilio,XY,23
Rodentia,Muridae,Rhombomys,Rhombomys_opimus,XY,20
Rodentia,Muridae,Stenocephalemys,Stenocephalemys_albipes,XY,23
Rodentia,Muridae,Stenocephalemys,Stenocephalemys_albocaudata,XY,27
Rodentia,Muridae,Stenocephalemys,Stenocephalemys_griseicauda,XY,27
Rodentia,Muridae,Tatera,Tatera_nigricauda,XY,20
Rodentia,Muridae,Taterillus,Taterillus_arenarius,complex XY,15
Rodentia,Muridae,Taterillus,Taterillus_arenarius,complex XY,17
Rodentia,Muridae,Taterillus,Taterillus_congicus,XY,27
Rodentia,Muridae,Taterillus,Taterillus_petteri,complex XY,9
Rodentia,Muridae,Taterillus,Taterillus_pygargus,complex XY,11
Rodentia,Muridae,Taterillus,Taterillus_sp._3,XY,10
Rodentia,Muridae,Taterillus,Taterillus_sp._4,complex XY,9.5
Rodentia,Muridae,Taterillus,Taterillus_sp.1,complex XY,11
Rodentia,Muridae,Taterillus,Taterillus_sp.2,complex XY,19
Rodentia,Muridae,Taterillus,Taterillus_tranieri,complex XY,7
Rodentia,Muridae,Tokudaia,Tokudaia_osimensis_osimensis,XO,12.5
Rodentia,Muridae,Tokudaia,Tokudaia_osimensis_spp,XO,22.5
Rodentia,Muridae,Vandeleuria,Vandeleuria_oleracea,complex XY,14.5
