Order,Family,species,Meioformula,,hapauto,scs,haploid
Coleoptera,Cerambycidae,Acalolepta luxuriosa ,2n,24M,11,XY,12
Coleoptera,Cerambycidae,Acanthocinus aedilis ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Acanthocinus circumflexus ,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Acmaeops pratensis,2n,22M,10,XY,11
Coleoptera,Cerambycidae,Acmaeops proteus ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Aeloesthes holosericea ,2n,18M,8,Xyp,9
Coleoptera,Cerambycidae,Agapanthia dahli ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Agapanthia villosoviridescens ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Agapanthia villosoviridescens ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Anaflus protensus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Anoplophora chinensis macularia ,2n,30M,14,XY,15
Coleoptera,Cerambycidae,Anoplophora glabripennis,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Anoplophora malasiaca ,2n,30M,14,Xyp,15
Coleoptera,Cerambycidae,Apomecyna neglecta ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Apriona germari,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Asemum striatum ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Batocera lineolata,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Batocera rubus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Brachyta interrogationis,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Callidium violaceum ,2n,22M,10,XY,11
Coleoptera,Cerambycidae,Callipogon armillatus ,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Cerambyx scopolii ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Chlorophorus annularis ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Chlorophorus figuratus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Clytus arietis ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Clytus lama ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Clytus melaenus ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Compsa textilis ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Compsocerus equestris ,2n,32M,15,Xyp,16
Coleoptera,Cerambycidae,Criocephalus rusticus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Cyllene robiniae ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Cyrtoclytus caproides ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Derancistrus thomae ,2n,28M,13,Xyp,14
Coleoptera,Cerambycidae,Dinoptera collaris,2n,22M,10,XY,11
Coleoptera,Cerambycidae,Dorcadion atolicum,2n,24M,11,Xyp,12
Coleoptera,Cerambycidae,Eburia 8-maculata ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Elaphidion prob. Parallelus ,2n,18M,8,Xyp,9
Coleoptera,Cerambycidae,Elaphidion villosum ,2n,18M,8,Xyp,9
Coleoptera,Cerambycidae,Epiglenea comes ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Eutrapha 16-punctata ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Eutrapha ocelota ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Exocentrus adspersus ,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Exocentrus lusitanus ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Exocentrus punctipennis ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Gaurotes suvorovi ,2n,22M,10,XY,11
Coleoptera,Cerambycidae,Gaurotes virginea,2n,22M,10,XY,11
Coleoptera,Cerambycidae,Glenea spilota ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Gonocallus collaris ,2n,14M,6,Xyp,7
Coleoptera,Cerambycidae,Graphisurus obsoletus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Lagochirus araeiformis ,2n,24M,11,Xyp,12
Coleoptera,Cerambycidae,Leptostylus sp. ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Liopus nebulosus ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Macrotoma scutellaris ,2n,28M,13,XY,14
Coleoptera,Cerambycidae,Mesosa hirsuta ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Mesosa myops japonica ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Mesosa nebulosa ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Mesosa senilis ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Molorchus umbellatarum ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Monochamus alternatus,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Monochamus beloni ,2n,22M,10,XY,11
Coleoptera,Cerambycidae,Monochamus latus ,2n,21M,9,Xyyp,10
Coleoptera,Cerambycidae,Monochamus marmorator ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Monochamus notatus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Monochamus oregonensis ,2n,21M,9,Xyyp,10
Coleoptera,Cerambycidae,Monochamus oregonensis ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Monochamus scutellatus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Monochamus scutellatus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Monochamus sutor ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Morimus orientalis,2n,24M,11,Xyp,12
Coleoptera,Cerambycidae,Nusphera madurensis ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Oberea affinis ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Oberea mandari ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Oberea oculata ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Oberea sp. 1 ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Oberea tripunctata ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Olenecamptus cretaceusmargitus,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Olenecamptus octopustulatus chinensis,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Olenocamptus bilobus ,2n,18M,8,Xyp,9
Coleoptera,Cerambycidae,Olenocamptus sp. 1 ,2n,18M,8,Xyp,9
Coleoptera,Cerambycidae,Oxymirus cursor,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Pachyta quadrimaculata,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Palimna liturata ,2n,32M,15,XY,16
Coleoptera,Cerambycidae,Phaea sp. 1 ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Phymatodes maaki ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Phytoecia coerulescens ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Phytoecia nigricornis ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Pidonia lurida,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Plagionotus arcuatus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Pogonocherus dimidiatus ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Pogonocherus hispidulus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Pogonocherus hispidus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Pogonocherus penicellatus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Psenocerus supernotatus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Pterolophia caudata ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Pterolophia caudata ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Purpuricenus indus ,2n,28M,13,Xyp,14
Coleoptera,Cerambycidae,Pyrestes haematicus ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Rhagium bifasciatum ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Rhagium syncophanta,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Saperda calcarata adspersa ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Saperda moesta ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Saperda perforata ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Saperda populnea ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Saperda scalaris ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Saphanus piceus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Solenoptera caliculata,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Solenoptera maxillosum,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Solenoptera quadrilineata,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Solenoptera quadrilineata,2n,27M,12,Xypyp,13
Coleoptera,Cerambycidae,Solenoptera touroulti,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Spondylis buprestoides ,2n,30M,14,Xyp,15
Coleoptera,Cerambycidae,Steirastoma brevis,2n,28M,13,Xyp,14
Coleoptera,Cerambycidae,Stenodontes spinibaris ,2n,26M,12,Xyp,13
Coleoptera,Cerambycidae,Stenostola ferrea ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Stenygra histrio ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Stenygrinum 4-notatum ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Stromatium barbatum ,2n,19M,9,XO,10
Coleoptera,Cerambycidae,Tetraopes femoratus ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Tetraopes tetropthamus ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Tetraopes tetropthamus ,2n,20M,9,XY,10
Coleoptera,Cerambycidae,Tetraopes tetropthamus ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Tetropium castaneum ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Tetropium castaneum ,2n,24M,11,Xyp,12
Coleoptera,Cerambycidae,Tetropium fuscum ,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Tetropium gabrieli ,2n,24M,11,Xyp,12
Coleoptera,Cerambycidae,Tetrops praeusta ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Trachyderes striatus,2n,22M,10,Xyp,11
Coleoptera,Cerambycidae,Trachyderes thoracicus,2n,32M,15,Xyp,16
Coleoptera,Cerambycidae,Trichophorus interrogationes ,2n,20M,9,Xyp,10
Coleoptera,Cerambycidae,Xylotrechus smei ,2n,20M,9,Xyp,10
