highertaxa,order,genus,species,haploid
Teleostei,Siluriformes,Neoplecostomus,Neoplecostomus yapo,27
Teleostei,Siluriformes,Pareiorhaphis,Pareiorhaphis splendens,27
Teleostei,Siluriformes,Parotocinclus,Parotocinclus maculicauda,27
Teleostei,Siluriformes,Pseudotocinclus,Pseudotocinclus tietensis,27
Teleostei,Siluriformes,Pterygoplichthys,Pterygoplichthys anisitsi,26
Teleostei,Siluriformes,Pterygoplichthys,Pterygoplichthys joselimaianus,26
Teleostei,Siluriformes,Pterygoplichthys,Pterygoplichthys pardalis,26
Teleostei,Siluriformes,Rhinelepis,Rhinelepis aspera,27
Teleostei,Siluriformes,Rineloricaria,Rineloricaria aequalicuspis,34
Teleostei,Siluriformes,Rineloricaria,Rineloricaria cadeae,32
Teleostei,Siluriformes,Rineloricaria,Rineloricaria cadeae,33
Teleostei,Siluriformes,Rineloricaria,Rineloricaria kronei,32
Teleostei,Siluriformes,Rineloricaria,Rineloricaria lanceolata,24
Teleostei,Siluriformes,Rineloricaria,Rineloricaria longicauda,35
Teleostei,Siluriformes,Rineloricaria,Rineloricaria malabarbai,32
Teleostei,Siluriformes,Rineloricaria,Rineloricaria quadrensis,35
Teleostei,Siluriformes,Trichomycterus,Trichomycterus areolatus,27
Teleostei,Siluriformes,Trichomycterus,Trichomycterus auroguttatus,27
Teleostei,Siluriformes,Trichomycterus,Trichomycterus davisi,27
Teleostei,Siluriformes,Trichomycterus,Trichomycterus reinhardti,27
Teleostei,Siluriformes,Arius,Arius subrostratus,29
Teleostei,Siluriformes,Aspistor,Aspistor luniscutis,28
Teleostei,Siluriformes,Bagre,Bagre bagre,28
Teleostei,Siluriformes,Bagre,Bagre marinus,27
Teleostei,Siluriformes,Cathorops,Cathorops spixii,26
Teleostei,Siluriformes,Genidens,Genidens barbus,28
Teleostei,Siluriformes,Genidens,Genidens genidens,27
Teleostei,Siluriformes,Genidens,Genidens genidens,28
Teleostei,Siluriformes,Sciades,Sciades herzbergii,27
Teleostei,Siluriformes,Sciades,Sciades herzbergii,28
Teleostei,Siluriformes,Centromochlus,Centromochlus schultzi,29
Teleostei,Siluriformes,Tetranematichthys,Tetranematichthys wallacei,26
Teleostei,Siluriformes,Trachelyopterus,Trachelyopterus galeatus,29
Teleostei,Siluriformes,Hemibagrus,Hemibagrus filamentus,29
Teleostei,Siluriformes,Hemibagrus,Hemibagrus nemurus,29
Teleostei,Siluriformes,Hemibagrus,Hemibagrus wyckii,31
Teleostei,Siluriformes,Hemibagrus,Hemibagrus wyckioides,29
Teleostei,Siluriformes,Mystus,Mystus atrifasciatus,27
Teleostei,Siluriformes,Mystus,Mystus bleekeri,28
Teleostei,Siluriformes,Mystus,Mystus bocourti,28
Teleostei,Siluriformes,Mystus,Mystus gulio,29
Teleostei,Siluriformes,Mystus,Mystus multiradiatus,27
Teleostei,Siluriformes,Mystus,Mystus mysticetus,26
Teleostei,Siluriformes,Mystus,Mystus ngasep,28
Teleostei,Siluriformes,Mystus,Mystus tengara,27
Teleostei,Siluriformes,Mystus,Mystus vittatus,27
Teleostei,Siluriformes,Pseudomystus,Pseudomystus siamensis,25
Teleostei,Siluriformes,Rita,Rita chrysea,21
Teleostei,Siluriformes,Rita,Rita rita,27
Teleostei,Siluriformes,Sperata,Sperata aor,27
Teleostei,Siluriformes,Sperata,Sperata seenghala,27
Teleostei,Siluriformes,Clarias,Clarias albopunctatus,24
Teleostei,Siluriformes,Clarias,Clarias anguillaris,28
Teleostei,Siluriformes,Clarias,Clarias batrachus,25
Teleostei,Siluriformes,Clarias,Clarias batrachus,26
Teleostei,Siluriformes,Clarias,Clarias batrachus,27
Teleostei,Siluriformes,Clarias,Clarias batrachus,52
Teleostei,Siluriformes,Clarias,Clarias camerunensis,28
Teleostei,Siluriformes,Clarias,Clarias ebriensis,24
Teleostei,Siluriformes,Clarias,Clarias gariepinus,28
Teleostei,Siluriformes,Clarias,Clarias jaensis,27
Teleostei,Siluriformes,Clarias,Clarias macrocephalus,27
Teleostei,Siluriformes,Clarias,Clarias magur,25
Teleostei,Siluriformes,Clarias,Clarias pachynema,33
Teleostei,Siluriformes,Hassar,Hassar orestis,29
Teleostei,Siluriformes,Opsodoras,Opsodoras ternetzi,29
Teleostei,Siluriformes,Trachydoras,Trachydoras paraguayensis,28
Teleostei,Siluriformes,Heptapterus,Heptapterus mustelinus,27
Teleostei,Siluriformes,Pimelodella,Pimelodella kronei,29
Teleostei,Siluriformes,Pimelodella,Pimelodella meeki,23
Teleostei,Siluriformes,Pimelodella,Pimelodella transitoria,29
Teleostei,Siluriformes,Rhamdia,Rhamdia quelen,29
Teleostei,Siluriformes,Heteropneustes,Heteropneustes fossilis,28
Teleostei,Siluriformes,Heteropneustes,Heteropneustes fossilis,29
Teleostei,Siluriformes,Horabagrus,Horabagrus brachysoma,30
Teleostei,Siluriformes,Horabagrus,Horabagrus nigricollaris,30
Teleostei,Siluriformes,Pangasius,Pangasius pangasius,29
Teleostei,Siluriformes,Pangasius,Pangasius pangasius,31
Teleostei,Siluriformes,Conorhynchos,Conorhynchos conirostris,30
Teleostei,Siluriformes,Hemisorubim,Hemisorubim platyrhynchos,28
Teleostei,Siluriformes,Iheringichthys,Iheringichthys labrosus,28
Teleostei,Siluriformes,Luciopimelodus,Luciopimelodus pati,25
Teleostei,Siluriformes,Megalonema,Megalonema platanum,27
Teleostei,Siluriformes,Parapimelodus,Parapimelodus nigribarbis,28
Teleostei,Siluriformes,Pimelodus,Pimelodus albicans,28
Teleostei,Siluriformes,Pimelodus,Pimelodus argenteus,28
Teleostei,Siluriformes,Pimelodus,Pimelodus maculatus,28
Teleostei,Siluriformes,Pimelodus,Pimelodus mysteriosus,28
Teleostei,Siluriformes,Pimelodus,Pimelodus ornatus,28
Teleostei,Siluriformes,Pseudoplatystoma,Pseudoplatystoma metaense,28
Teleostei,Siluriformes,Pseudoplatystoma,Pseudoplatystoma orinocoense,28
Teleostei,Siluriformes,Sorubim,Sorubim lima,28
Teleostei,Siluriformes,Steindachneridion,Steindachneridion melanodermatum,28
Teleostei,Siluriformes,Steindachneridion,Steindachneridion scriptum,28
Teleostei,Siluriformes,Cephalosilurus,Cephalosilurus apurensis,27
Teleostei,Siluriformes,Lophiosilurus,Lophiosilurus alexandri,27
Teleostei,Siluriformes,Ailia,Ailia coila,29
Teleostei,Siluriformes,Clupisoma,Clupisoma garua,28
Teleostei,Siluriformes,Clupisoma,Clupisoma garua,33
Teleostei,Siluriformes,Eutropiichthys,Eutropiichthys vacha,25
Teleostei,Siluriformes,Ompok,Ompok bimaculatus,20
Teleostei,Siluriformes,Ompok,Ompok bimaculatus,21
Teleostei,Siluriformes,Ompok,Ompok bimaculatus,25
Teleostei,Siluriformes,Ompok,Ompok pabda,21
Teleostei,Siluriformes,Ompok,Ompok pabo,27
Teleostei,Siluriformes,Silurus,Silurus glanis,30
Teleostei,Siluriformes,Wallago,Wallago attu,43
Teleostei,Siluriformes,Gagata,Gagata gagata,23
Teleostei,Siluriformes,Glyptothorax,Glyptothorax madraspatanus,26
Teleostei,Siluriformes,Glyptothorax,Glyptothorax pectinopterus,26
Teleostei,Siluriformes,Glyptothorax,Glyptothorax telchitta,28
Teleostei,Siluriformes,Glyptothorax,Glyptothorax trilineatus,26
