highertaxa,order,genus,species,haploid
Teleostei,Siluriformes,Aspidoras,Aspidoras fuscoguttatus,22
Teleostei,Siluriformes,Aspidoras,Aspidoras poecilus,23
Teleostei,Siluriformes,Aspidoras,Aspidoras taurus,23
Teleostei,Siluriformes,Callichthys,Callichthys callichthys,27
Teleostei,Siluriformes,Callichthys,Callichthys callichthys,28
Teleostei,Siluriformes,Callichthys,Callichthys callichthys,29
Teleostei,Siluriformes,Corydoras,Corydoras aeneus,23
Teleostei,Siluriformes,Corydoras,Corydoras britskii,45
Teleostei,Siluriformes,Corydoras,Corydoras ehrhardti,22
Teleostei,Siluriformes,Corydoras,Corydoras paleatus,22
Teleostei,Siluriformes,Corydoras,Corydoras panda,23
Teleostei,Siluriformes,Corydoras,Corydoras rabauti,29
Teleostei,Siluriformes,Corydoras,Corydoras sodalis,37
Teleostei,Siluriformes,Dianema,Dianema urostriatum,31
Teleostei,Siluriformes,Hoplosternum,Hoplosternum littorale,30
Teleostei,Siluriformes,Ancistrus,Ancistrus abilhoai,24
Teleostei,Siluriformes,Ancistrus,Ancistrus aguaboensis,25
Teleostei,Siluriformes,Ancistrus,Ancistrus cirrhosus,17
Teleostei,Siluriformes,Ancistrus,Ancistrus cuiabae,17
Teleostei,Siluriformes,Ancistrus,Ancistrus multispinis,26
Teleostei,Siluriformes,Farlowella,Farlowella amazonum,29
Teleostei,Siluriformes,Harttia,Harttia gracilis,29
Teleostei,Siluriformes,Harttia,Harttia kronei,29
Teleostei,Siluriformes,Harttia,Harttia longipinna,29
Teleostei,Siluriformes,Harttia,Harttia loricariformis,26
Teleostei,Siluriformes,Harttia,Harttia loricariformis,28
Teleostei,Siluriformes,Harttia,Harttia torrenticola,28
Teleostei,Siluriformes,Hemiancistrus,Hemiancistrus fuliginosus,28
Teleostei,Siluriformes,Hemiancistrus,Hemiancistrus spilomma,26
Teleostei,Siluriformes,Hemiancistrus,Hemiancistrus spinosissimus,26
Teleostei,Siluriformes,Hisonotus,Hisonotus leucofrenatus,27
Teleostei,Siluriformes,Hisonotus,Hisonotus nigricauda,27
Teleostei,Siluriformes,Hypancistrus,Hypancistrus zebra,26
Teleostei,Siluriformes,Hypostomus,Hypostomus albopunctatus,37
Teleostei,Siluriformes,Hypostomus,Hypostomus ancistroides,33
Teleostei,Siluriformes,Hypostomus,Hypostomus ancistroides,34
Teleostei,Siluriformes,Hypostomus,Hypostomus boulengeri,34
Teleostei,Siluriformes,Hypostomus,Hypostomus cochliodon,32
Teleostei,Siluriformes,Hypostomus,Hypostomus commersoni,34
Teleostei,Siluriformes,Hypostomus,Hypostomus derbyi,33
Teleostei,Siluriformes,Hypostomus,Hypostomus faveolus,32
Teleostei,Siluriformes,Hypostomus,Hypostomus goyazensis,36
Teleostei,Siluriformes,Hypostomus,Hypostomus hermanni,36
Teleostei,Siluriformes,Hypostomus,Hypostomus nigromaculatus,38
Teleostei,Siluriformes,Hypostomus,Hypostomus paulinus,38
Teleostei,Siluriformes,Hypostomus,Hypostomus plecostomus,34
Teleostei,Siluriformes,Hypostomus,Hypostomus regani,36
Teleostei,Siluriformes,Hypostomus,Hypostomus strigaticeps,36
Teleostei,Siluriformes,Hypostomus,Hypostomus tapijara,33
Teleostei,Siluriformes,Hypostomus,Hypostomus topavae,40
Teleostei,Siluriformes,Isbrueckerichthys,Isbrueckerichthys duseni,27
Teleostei,Siluriformes,Kronichthys,Kronichthys lacerta,27
Teleostei,Siluriformes,Loricariichthys,Loricariichthys platymetopon,27
