Family,Genus,sp,species,haploid
Liliaceae,Amana,edulis,Amana_edulis,24
Liliaceae,Amana,latifolia,Amana_latifolia,12
Liliaceae,Calochortus,albus,Calochortus_albus,10
Liliaceae,Calochortus,amabilis,Calochortus_amabilis,10
Liliaceae,Calochortus,ambiguus,Calochortus_ambiguus,9
Liliaceae,Calochortus,amoenus,Calochortus_amoenus,10
Liliaceae,Calochortus,apiculatus,Calochortus_apiculatus,10
Liliaceae,Calochortus,argillosus,Calochortus_argillosus,7
Liliaceae,Calochortus,aureus,Calochortus_aureus,16
Liliaceae,Calochortus,benthamii,Calochortus_benthamii,10
Liliaceae,Calochortus,bruneaunis,Calochortus_bruneaunis,7
Liliaceae,Calochortus,catalinae,Calochortus_catalinae,7
Liliaceae,Calochortus,clavatus,Calochortus_clavatus,8
Liliaceae,Calochortus,coeruleus,Calochortus_coeruleus,10
Liliaceae,Calochortus,concolor,Calochortus_concolor,7
Liliaceae,Calochortus,davidsonianus,Calochortus_davidsonianus,14
Liliaceae,Calochortus,dunnii,Calochortus_dunnii,7
Liliaceae,Calochortus,elegans,Calochortus_elegans,10
Liliaceae,Calochortus,eurycarpus,Calochortus_eurycarpus,10
Liliaceae,Calochortus,flexuosus,Calochortus_flexuosus,7
Liliaceae,Calochortus,gunnisoni,Calochortus_gunnisoni,9
Liliaceae,Calochortus,gunnisonii,Calochortus_gunnisonii,9
Liliaceae,Calochortus,howellii,Calochortus_howellii,10
Liliaceae,Calochortus,invenustus,Calochortus_invenustus,7
Liliaceae,Calochortus,kennedyi,Calochortus_kennedyi,8
Liliaceae,Calochortus,leichtlinii,Calochortus_leichtlinii,7
Liliaceae,Calochortus,lilacinus,Calochortus_lilacinus,20
Liliaceae,Calochortus,lobbii,Calochortus_lobbii,10
Liliaceae,Calochortus,longebarbatus,Calochortus_longebarbatus,10
Liliaceae,Calochortus,luteus,Calochortus_luteus,7
Liliaceae,Calochortus,lyallii,Calochortus_lyallii,10
Liliaceae,Calochortus,macrocarpus,Calochortus_macrocarpus,7
Liliaceae,Calochortus,minimus,Calochortus_minimus,10
Liliaceae,Calochortus,monophyllus,Calochortus_monophyllus,10
Liliaceae,Calochortus,nitidus,Calochortus_nitidus,10
Liliaceae,Calochortus,nudus,Calochortus_nudus,10
Liliaceae,Calochortus,nuttallii,Calochortus_nuttallii,8
Liliaceae,Calochortus,obispoensis,Calochortus_obispoensis,9
Liliaceae,Calochortus,palmeri,Calochortus_palmeri,7
Liliaceae,Calochortus,panamintensis,Calochortus_panamintensis,7
Liliaceae,Calochortus,pavonaceus,Calochortus_pavonaceus,20
Liliaceae,Calochortus,persistens,Calochortus_persistens,10
Liliaceae,Calochortus,plummerae,Calochortus_plummerae,9
Liliaceae,Calochortus,pulchellus,Calochortus_pulchellus,10
Liliaceae,Calochortus,rnonophyllus,Calochortus_rnonophyllus,10
Liliaceae,Calochortus,simulans,Calochortus_simulans,7
Liliaceae,Calochortus,splendens,Calochortus_splendens,7
Liliaceae,Calochortus,subalpinus,Calochortus_subalpinus,10
Liliaceae,Calochortus,superbus,Calochortus_superbus,6
Liliaceae,Calochortus,tiburonensis,Calochortus_tiburonensis,10
Liliaceae,Calochortus,tolmiei,Calochortus_tolmiei,10
Liliaceae,Calochortus,tolrniei,Calochortus_tolrniei,10
Liliaceae,Calochortus,umbellatus,Calochortus_umbellatus,10
Liliaceae,Calochortus,umpquaensis,Calochortus_umpquaensis,10
Liliaceae,Calochortus,uniflorus,Calochortus_uniflorus,20
Liliaceae,Calochortus,unzjlorus,Calochortus_unzjlorus,20
Liliaceae,Calochortus,venustus,Calochortus_venustus,7
Liliaceae,Calochortus,vesta,Calochortus_vesta,14
Liliaceae,Calochortus,vestae,Calochortus_vestae,14
Liliaceae,Calochortus,weedii,Calochortus_weedii,9
Liliaceae,Cardiocrinum,cathayanum,Cardiocrinum_cathayanum,12
Liliaceae,Cardiocrinum,cordatum,Cardiocrinum_cordatum,12
Liliaceae,Cardiocrinum,cordifolium,Cardiocrinum_cordifolium,12
Liliaceae,Cardiocrinum,cordlfolium,Cardiocrinum_cordlfolium,12
Liliaceae,Cardiocrinum,giganteilm,Cardiocrinum_giganteilm,12
Liliaceae,Cardiocrinum,giganteum,Cardiocrinum_giganteum,12
Liliaceae,Cardiocrinum,glehnii,Cardiocrinum_glehnii,12
Liliaceae,Clintonia,adensis,Clintonia_adensis,12
Liliaceae,Clintonia,alpina,Clintonia_alpina,18
Liliaceae,Clintonia,andrewsiana,Clintonia_andrewsiana,14
Liliaceae,Clintonia,borealis,Clintonia_borealis,14
Liliaceae,Clintonia,udensis,Clintonia_udensis,14
Liliaceae,Clintonia,umbellulata,Clintonia_umbellulata,14
Liliaceae,Clintonia,undensis,Clintonia_undensis,14
Liliaceae,Clintonia,uniflora,Clintonia_uniflora,14
Liliaceae,Erythronium,Erythronium dens-canis,Erythronium_erythronium dens-canis,12
Liliaceae,Erythronium,albidum,Erythronium_albidum,22
Liliaceae,Erythronium,americanum,Erythronium_americanum,24
Liliaceae,Erythronium,californicum,Erythronium_californicum,12
Liliaceae,Erythronium,caucasicum,Erythronium_caucasicum,12
Liliaceae,Erythronium,citrinum,Erythronium_citrinum,12
Liliaceae,Erythronium,dens-canis,Erythronium_dens-canis,12
Liliaceae,Erythronium,elegans,Erythronium_elegans,24
Liliaceae,Erythronium,grandif,Erythronium_grandif,12
Liliaceae,Erythronium,grandiflorum,Erythronium_grandiflorum,12
Liliaceae,Erythronium,helenae,Erythronium_helenae,12
Liliaceae,Erythronium,hendersonii,Erythronium_hendersonii,12
Liliaceae,Erythronium,japonicum,Erythronium_japonicum,12
Liliaceae,Erythronium,japontcum,Erythronium_japontcum,12
Liliaceae,Erythronium,klamathense,Erythronium_klamathense,12
Liliaceae,Erythronium,mesochoreum,Erythronium_mesochoreum,11
Liliaceae,Erythronium,montanum,Erythronium_montanum,12
Liliaceae,Erythronium,multiscapideum,Erythronium_multiscapideum,12
Liliaceae,Erythronium,multiscapoideum,Erythronium_multiscapoideum,12
Liliaceae,Erythronium,oregonum,Erythronium_oregonum,12
Liliaceae,Erythronium,pluriflorum,Erythronium_pluriflorum,12
Liliaceae,Erythronium,propullans,Erythronium_propullans,22
Liliaceae,Erythronium,purpurascens,Erythronium_purpurascens,12
Liliaceae,Erythronium,quinaultense,Erythronium_quinaultense,24
Liliaceae,Erythronium,regonum,Erythronium_regonum,12
Liliaceae,Erythronium,revolutum,Erythronium_revolutum,12
Liliaceae,Erythronium,rostratum,Erythronium_rostratum,12
Liliaceae,Erythronium,sibiricum,Erythronium_sibiricum,12
Liliaceae,Erythronium,tuolumnense,Erythronium_tuolumnense,12
