Family,Genus,Species,species,haploid
Brassicaceae,Aethionema,arabicum,Aethionema_arabicum,22
Brassicaceae,Aethionema,armenum,Aethionema_armenum,24
Brassicaceae,Aethionema,carneum,Aethionema_carneum,11
Brassicaceae,Aethionema,cordatum,Aethionema_cordatum,30
Brassicaceae,Aethionema,coridifolium,Aethionema_coridifolium,12
Brassicaceae,Aethionema,coridlfolium,Aethionema_coridlfolium,12
Brassicaceae,Aethionema,cristatum,Aethionema_cristatum,12
Brassicaceae,Aethionema,diastrophis,Aethionema_diastrophis,24
Brassicaceae,Aethionema,graecum,Aethionema_graecum,12
Brassicaceae,Aethionema,grandiflora,Aethionema_grandiflora,12
Brassicaceae,Aethionema,grandiflorum,Aethionema_grandiflorum,24
Brassicaceae,Aethionema,iberidea,Aethionema_iberidea,14
Brassicaceae,Aethionema,iberideum,Aethionema_iberideum,14
Brassicaceae,Aethionema,monospermum,Aethionema_monospermum,12
Brassicaceae,Aethionema,oppositifolia,Aethionema_oppositifolia,7
Brassicaceae,Aethionema,oppositifolium,Aethionema_oppositifolium,7
Brassicaceae,Aethionema,opposltifolia,Aethionema_opposltifolia,7
Brassicaceae,Aethionema,orbiculatum,Aethionema_orbiculatum,12
Brassicaceae,Aethionema,ovalifolium,Aethionema_ovalifolium,12
Brassicaceae,Aethionema,persicum,Aethionema_persicum,18
Brassicaceae,Aethionema,pyrenaicum,Aethionema_pyrenaicum,24
Brassicaceae,Aethionema,retsina,Aethionema_retsina,12
Brassicaceae,Aethionema,rotundifolia,Aethionema_rotundifolia,7
Brassicaceae,Aethionema,rotundifolium,Aethionema_rotundifolium,7
Brassicaceae,Aethionema,saxatile,Aethionema_saxatile,12
Brassicaceae,Aethionema,saxatile subsp. athoum,Aethionema_saxatile subsp. athoum,12
Brassicaceae,Aethionema,saxatile subsp. creticum,Aethionema_saxatile subsp. creticum,12
Brassicaceae,Aethionema,saxatile subsp. graecum,Aethionema_saxatile subsp. graecum,12
Brassicaceae,Aethionema,saxatile subsp. ovalifolium,Aethionema_saxatile subsp. ovalifolium,12
Brassicaceae,Aethionema,saxatilis,Aethionema_saxatilis,12
Brassicaceae,Aethionema,saxitile,Aethionema_saxitile,12
Brassicaceae,Aethionema,schistosum,Aethionema_schistosum,24
Brassicaceae,Aethionema,syriacum,Aethionema_syriacum,7
Brassicaceae,Aethionema,thomasianum,Aethionema_thomasianum,12
Brassicaceae,Aethionema,trinervium,Aethionema_trinervium,21
