Class,Order,Family,Genus,species,2N,haploid
Reptilia,Iguania,Agamidae,Acanthocercus,Acanthocercus_atricollis,34,17
Reptilia,Iguania,Agamidae,Agama,Agama_agama,"48,44","22,24"
Reptilia,Iguania,Agamidae,Agama,Agama_atra,44,22
Reptilia,Iguania,Agamidae,Agama,Agama_hispida,44,22
Reptilia,Iguania,Agamidae,Agama,Agama_mwanzae,48,24
Reptilia,Iguania,Agamidae,Amphibolurus,Amphibolurus_muricatus,32,16
Reptilia,Iguania,Agamidae,Bronchocela,Bronchocela_cristatella,"34,48","17,24"
Reptilia,Iguania,Agamidae,Calotes,Calotes_emma,34,17
Reptilia,Iguania,Agamidae,Calotes,Calotes_jerdoni,34,17
Reptilia,Iguania,Agamidae,Calotes,Calotes_mystaceus,34,17
Reptilia,Iguania,Agamidae,Calotes,Calotes_versicolor,"33,34,34",17
Reptilia,Iguania,Agamidae,Ceratophora,Ceratophora_stoddartii,34,17
Reptilia,Iguania,Agamidae,Chlamydosaurus,Chlamydosaurus_kingii,32,16
Reptilia,Iguania,Agamidae,Cophotis,Cophotis_ceylanica,28,14
Reptilia,Iguania,Agamidae,Ctenophorus,Ctenophorus_caudicinctus,32,16
Reptilia,Iguania,Agamidae,Ctenophorus,Ctenophorus_decresii,32,16
Reptilia,Iguania,Agamidae,Ctenophorus,Ctenophorus_fordi,32,16
Reptilia,Iguania,Agamidae,Ctenophorus,Ctenophorus_ornatus,32,16
Reptilia,Iguania,Agamidae,Ctenophorus,Ctenophorus_pictus,32,16
Reptilia,Iguania,Agamidae,Diporiphora,Diporiphora_bilineata,32,16
Reptilia,Iguania,Agamidae,Diporiphora,Diporiphora_nobbi,32,16
Reptilia,Iguania,Agamidae,Gonocephalus,Gonocephalus_grandis,42,21
Reptilia,Iguania,Agamidae,Intellagama,Intellagama_lesueurii,36,18
Reptilia,Iguania,Agamidae,Japalura,Japalura_brevipes,36,18
Reptilia,Iguania,Agamidae,Japalura,Japalura_polygonata,46,23
Reptilia,Iguania,Agamidae,Japalura,Japalura_swinhonis,"36,46","23,18"
Reptilia,Iguania,Agamidae,Japalura,Japalura_variegata,34,17
Reptilia,Iguania,Agamidae,Laudakia,Laudakia_nupta,36,18
Reptilia,Iguania,Agamidae,Laudakia,Laudakia_tuberculata,34,17
Reptilia,Iguania,Agamidae,Leiolepis,Leiolepis_belliana,36,18
Reptilia,Iguania,Agamidae,Leiolepis,Leiolepis_reevesii,36,18
Reptilia,Iguania,Agamidae,Lophognathus,Lophognathus_gilberti,"32,40","16,20"
Reptilia,Iguania,Agamidae,Lophosaurus,Lophosaurus_spinipes,36,18
Reptilia,Iguania,Agamidae,Lyriocephalus,Lyriocephalus_scutatus,30,15
Reptilia,Iguania,Agamidae,Paralaudakia,Paralaudakia_bochariensis,36,18
Reptilia,Iguania,Agamidae,Paralaudakia,Paralaudakia_caucasia,"34,36","17,18"
Reptilia,Iguania,Agamidae,Paralaudakia,Paralaudakia_erythrogaster,36,18
Reptilia,Iguania,Agamidae,Paralaudakia,Paralaudakia_himalayana,36,18
Reptilia,Iguania,Agamidae,Paralaudakia,Paralaudakia_lehmanni,36,18
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_forsythii,48,24
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_frontalis,46,23
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_guttatus,"46,48","23,24"
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_helioscopus,"46,44,46","22,23"
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_interscapularis,48,24
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_mystaceus,48,24
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_persicus,44,22
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_przewalskii,46,23
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_raddei,48,24
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_reticulatus,48,24
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_rossikowi,"48,46,47,48","23,24"
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_strauchi,46,23
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_theobaldi,48,24
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_versicolor,46,23
Reptilia,Iguania,Agamidae,Phrynocephalus,Phrynocephalus_vlangalii,48,24
