Order,Family,Genus,species,2N,haploid
Squamata,Acrochordidae,Acrochordus,Acrochordus_arafurae,36,18
Squamata,Acrochordidae,Acrochordus,Acrochordus_granulatus,36,18
Squamata,Boidae,Acrantophis,Acrantophis_dumerili,34,17
Squamata,Boidae,Boa,Boa_constrictor,36,18
Squamata,Boidae,Candoia,Candoia_bibroni,36,18
Squamata,Boidae,Candoia,Candoia_paulsoni,36,18
Squamata,Boidae,Charina,Charina_bottae,36,18
Squamata,Boidae,Chilabothrus,Chilabothrus_striatus,36,18
Squamata,Boidae,Corallus,Corallus_caninus,44,22
Squamata,Boidae,Epicrates,Epicrates_cenchria,36,18
Squamata,Boidae,Epicrates,Epicrates_crassus,36,18
Squamata,Boidae,Eryx,Eryx_conicus,34,17
Squamata,Boidae,Eryx,Eryx_jaculus,34,17
Squamata,Boidae,Eryx,Eryx_johnii,34,17
Squamata,Boidae,Eunectes,Eunectes_murinus,36,18
Squamata,Boidae,Exiliboa,Exiliboa_placata,36,18
Squamata,Boidae,Sanzinia,Sanzinia_madagascariensis,34,17
Squamata,Colubridae,Ahaetulla,Ahaetulla_nasuta,36,18
Squamata,Colubridae,Argyrogena,Argyrogena_fasciolata,36,18
Squamata,Colubridae,Arizona,Arizona_elegans,36,18
Squamata,Colubridae,Bogertophis,Bogertophis_subocularis,40,20
Squamata,Colubridae,Boiga,Boiga_forsteni,36,18
Squamata,Colubridae,Boiga,Boiga_irregularis,36,18
Squamata,Colubridae,Boiga,Boiga_trigonata,36,18
Squamata,Colubridae,Chilomeniscus,Chilomeniscus_stramineus,36,18
Squamata,Colubridae,Chionactis,Chionactis_occipitalis,36,18
Squamata,Colubridae,Chironius,Chironius_bicarinatus,36,18
Squamata,Colubridae,Chironius,Chironius_foveatus,34,17
Squamata,Colubridae,Chironius,Chironius_quadricarinatus,36,18
Squamata,Colubridae,Chrysopelea,Chrysopelea_ornata,40,20
Squamata,Colubridae,Coelognathus,Coelognathus_radiatus,30,15
Squamata,Colubridae,Coluber,Coluber_constrictor,36,18
Squamata,Colubridae,Coluber,Coluber_flagellum,36,18
Squamata,Colubridae,Coluber,Coluber_rhodorachis,36,18
Squamata,Colubridae,Coluber,Coluber_schotti,36,18
Squamata,Colubridae,Coluber,Coluber_taeniatus,36,18
Squamata,Colubridae,Coronella,Coronella_austriaca,36,18
