Order,Family,Genus,Species,species,Karyotype,haploid
Blattodea,Blaberidae,Archimandrita,tessellata,Archimandrita_tessellata,XO,23
Blattodea,Blaberidae,Blaberus,atropos,Blaberus_atropos,XO,37
Blattodea,Blaberidae,Blaberus,cranifer,Blaberus_cranifer,XO,37
Blattodea,Blaberidae,Blaberus,discoidalis,Blaberus_discoidalis,XO,19
Blattodea,Blaberidae,Blaberus,giganteus,Blaberus_giganteus,XO,37
Blattodea,Blaberidae,Blaberus,parabolicus,Blaberus_parabolicus,XO,20
Blattodea,Blaberidae,Byrsotria,fumigata,Byrsotria_fumigata,XO,24
Blattodea,Blaberidae,Capucina,patula,Capucina_patula,XO,19
Blattodea,Blaberidae,Diploptera,punctata,Diploptera_punctata,XO,24
Blattodea,Blaberidae,Epilampra,abdomennigrum,Epilampra_abdomennigrum,XO,21
Blattodea,Blaberidae,Epilampra,grisea,Epilampra_grisea,XO,25
Blattodea,Blaberidae,Epilampra,maculicollis,Epilampra_maculicollis,XO,19
Blattodea,Blaberidae,Epilampra,maya,Epilampra_maya,XO,18
Blattodea,Blaberidae,Epilampra,sagitta,Epilampra_sagitta,XO,22
Blattodea,Blaberidae,Epilampra,sp.81B,Epilampra_sp.81B,XO,20
Blattodea,Blaberidae,Eublaberus,distanti,Eublaberus_distanti,XO,33
Blattodea,Blaberidae,Eublaberus,posticus,Eublaberus_posticus,XO,22
Blattodea,Blaberidae,Galiblatta,williamsi,Galiblatta_williamsi,XO,14
Blattodea,Blaberidae,Gromphadorhina,brunneri,Gromphadorhina_brunneri,XO,32
Blattodea,Blaberidae,Gromphadorhina,chopardi,Gromphadorhina_chopardi,XO,38
Blattodea,Blaberidae,Gromphadorhina,portentosa,Gromphadorhina_portentosa,XO,32
Blattodea,Blaberidae,Hormetica,scrobiculata,Hormetica_scrobiculata,XO,16
Blattodea,Blaberidae,Hormetica,ventralis,Hormetica_ventralis,XO,16
Blattodea,Blaberidae,Hyporhicnoda,litomorpha,Hyporhicnoda_litomorpha,XO,22
Blattodea,Blaberidae,Lanxoblatta,emarginata,Lanxoblatta_emarginata,XO,33
Blattodea,Blaberidae,Leucophaea,maderae,Leucophaea_maderae,XO,12
Blattodea,Blaberidae,Macropanesthia,rhinoceros,Macropanesthia_rhinoceros,XO,40
Blattodea,Blaberidae,Nauphoeta,cinerea,Nauphoeta_cinerea,XO,19
Blattodea,Blaberidae,Panchlora,nivea,Panchlora_nivea,XO,18
Blattodea,Blaberidae,Panchlora,sp.,Panchlora_sp.,XO,16
Blattodea,Blaberidae,Panchlora,viridis,Panchlora_viridis,XO,19
Blattodea,Blaberidae,Panesthia,sp.,Panesthia_sp.,XO,19
Blattodea,Blaberidae,Panesthia,stellata,Panesthia_stellata,XO,19
Blattodea,Blaberidae,Petasodes,dominicana,Petasodes_dominicana,XO,27
Blattodea,Blaberidae,Phoetalia,circumvagans,Phoetalia_circumvagans,XO,27
Blattodea,Blaberidae,Phortioica,phoraspoides,Phortioica_phoraspoides,XO,33
Blattodea,Blaberidae,Pinaconota,sicca,Pinaconota_sicca,XO,17
Blattodea,Blaberidae,Proscratea,complanata,Proscratea_complanata,XO,18
Blattodea,Blaberidae,Pycnoscelus,indicus,Pycnoscelus_indicus,XO,18
Blattodea,Blaberidae,Rhabdoblatta,annandalei,Rhabdoblatta_annandalei,XO,25
Blattodea,Blaberidae,Rhabdoblatta,sp.39T,Rhabdoblatta_sp.39T,XO,16
Blattodea,Blaberidae,Sp.,sp41B,Sp._sp41B,XO,15
Blattodea,Blattellidae,Agmoblatta,thaxteri,Agmoblatta_thaxteri,XO,13
Blattodea,Blattellidae,Amazonina,conspersa,Amazonina_conspersa,XO,12
Blattodea,Blattellidae,Amazonina,n.sp.,Amazonina_n.sp.,XO,13
Blattodea,Blattellidae,Amazonina,n.sp.38B,Amazonina_n.sp.38B,XO,13
Blattodea,Blattellidae,Attaphila,fungicola,Attaphila_fungicola,XO,17
Blattodea,Blattellidae,Blattella,bisignata,Blattella_bisignata,XO,12
Blattodea,Blattellidae,Blattella,germanica,Blattella_germanica,XO,12
Blattodea,Blattellidae,Blattella,lituricollis lituricollis,Blattella_lituricollis lituricollis,XO,13
Blattodea,Blattellidae,Blattella,sauteri,Blattella_sauteri,XO,12
Blattodea,Blattellidae,Blattella,sp.C43T,Blattella_sp.C43T,XO,14
Blattodea,Blattellidae,Blattella,sp.D,Blattella_sp.D,XO,15
Blattodea,Blattellidae,Blattella,sp.E71A,Blattella_sp.E71A,XO,25
Blattodea,Blattellidae,Blattella,vaga,Blattella_vaga,XO,12
Blattodea,Blattellidae,Cariblatta,lutea minima,Cariblatta_lutea minima,XO,13
Blattodea,Blattellidae,Dendroblatta,cnephaia,Dendroblatta_cnephaia,XO,16
Blattodea,Blattellidae,Dendroblatta,sobrina,Dendroblatta_sobrina,XO,13
Blattodea,Blattellidae,Ectobius,pallidus,Ectobius_pallidus,XO,11
Blattodea,Blattellidae,Gislenia,australica,Gislenia_australica,XO,17
Blattodea,Blattellidae,Hemithyrsocera,latera/is,Hemithyrsocera_latera/is,XO,13
Blattodea,Blattellidae,Ischnoptera,castanea,Ischnoptera_castanea,XO,17
Blattodea,Blattellidae,Ischnoptera,deropeltiformis,Ischnoptera_deropeltiformis,XO,25
Blattodea,Blattellidae,Ischnoptera,galibi,Ischnoptera_galibi,XO,22
Blattodea,Blattellidae,Ischnoptera,mura,Ischnoptera_mura,XO,17
Blattodea,Blattellidae,Ischnoptera,panamae,Ischnoptera_panamae,XO,20
Blattodea,Blattellidae,Ischnoptera,rufa rufa,Ischnoptera_rufa rufa,XO,20
Blattodea,Blattellidae,Ischnoptera,sp.93B,Ischnoptera_sp.93B,XO,19
Blattodea,Blattellidae,Loboptera,decipiens,Loboptera_decipiens,XO,17
