Order,Family,Genus,Species,species,Karyotype,haploid
Blattodea,Blattellidae,Lobopterella,dimidiatipes,Lobopterella_dimidiatipes,XO,19
Blattodea,Blattellidae,Lophoblatta,brevis,Lophoblatta_brevis,XO,16
Blattodea,Blattellidae,Lophoblatta,fissa,Lophoblatta_fissa,XO,8
Blattodea,Blattellidae,Lupparia,notulata,Lupparia_notulata,XO,10
Blattodea,Blattellidae,Margattea,punctulata,Margattea_punctulata,XO,16
Blattodea,Blattellidae,Nahublattella,n.sp.72B,Nahublattella_n.sp.72B,XO,10
Blattodea,Blattellidae,Parasymploce,limbata,Parasymploce_limbata,XO,12
Blattodea,Blattellidae,Parasymploce,sp.25T,Parasymploce_sp.25T,XO,16
Blattodea,Blattellidae,Parasymploce,sp.30T,Parasymploce_sp.30T,XO,16
Blattodea,Blattellidae,Parcoblatta,fulvescens,Parcoblatta_fulvescens,XO,19
Blattodea,Blattellidae,Parcoblatta,pennsylvanica,Parcoblatta_pennsylvanica,XO,19
Blattodea,Blattellidae,Pseudomops,septentrionalis,Pseudomops_septentrionalis,XO,16
Blattodea,Blattellidae,Shawella,couloniana,Shawella_couloniana,XO,18
Blattodea,Blattellidae,Supella,longipalpa,Supella_longipalpa,XO,10
Blattodea,Blattellidae,Symploce,capitata,Symploce_capitata,XO,14
Blattodea,Blattellidae,Symploce,fusca,Symploce_fusca,XO,15
Blattodea,Blattellidae,Symplocodes,marmorata,Symplocodes_marmorata,XO,20
Blattodea,Blattellidae,Symplocodes,n.sp.50,Symplocodes_n.sp.50,XO,19
Blattodea,Blattellidae,Xestoblatta,immaculata,Xestoblatta_immaculata,XO,19
Blattodea,Blattidae,Blatta,orientalis,Blatta_orientalis,XO,24
Blattodea,Blattidae,Cryptocercus,punctulatus,Cryptocercus_punctulatus,XO,20
Blattodea,Blattidae,Deropeltis,erythrocephala,Deropeltis_erythrocephala,XO,25
Blattodea,Blattidae,Duchailluia,n.sp.,Duchailluia_n.sp.,XO,21
Blattodea,Blattidae,Eurycotis,biolleyi,Eurycotis_biolleyi,XO,11
Blattodea,Blattidae,Eurycotis,decipiens,Eurycotis_decipiens,XO,14
Blattodea,Blattidae,Eurycotis,floridana,Eurycotis_floridana,XO,14
Blattodea,Blattidae,Lamproblatta,albipalpus,Lamproblatta_albipalpus,XO,9
Blattodea,Blattidae,Pelmatosilpha,coriacea,Pelmatosilpha_coriacea,XO,19
Blattodea,Blattidae,Periplaneta,americana,Periplaneta_americana,XO,17
Blattodea,Blattidae,Periplaneta,australasiae,Periplaneta_australasiae,XO,14
Blattodea,Blattidae,Periplaneta,brunnea,Periplaneta_brunnea,XO,14
Blattodea,Blattidae,Periplaneta,fuliginosa,Periplaneta_fuliginosa,XO,14
Blattodea,Blattidae,Periplaneta,japonica,Periplaneta_japonica,XO,17
Blattodea,Polyphagidae,Arenivaga,investigata,Arenivaga_investigata,XO,23
Blattodea,Polyphagidae,Cryptocercus,primarius,Cryptocercus_primarius,XO,10
Blattodea,Polyphagidae,Cryptocercus,punctulatus,Cryptocercus_punctulatus,XO,19
Blattodea,Polyphagidae,Cryptocercus,punctulatus,Cryptocercus_punctulatus,XO,24
Blattodea,Polyphagidae,Cryptocercus,relictus,Cryptocercus_relictus,XO,9
Blattodea,Polyphagidae,Polyphaga,aegyptiaca,Polyphaga_aegyptiaca,XO,32
Isoptera,Termitidae,Mastotermes,,Mastotermes_darwiniensis,XY,49
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_domesticus,XXY,15
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_domesticus,XXY,15
Isoptera,Kalotermitidae,Kalotermes,,Kalotermes_flavicollis,XXY,34
Isoptera,Rhinotermitidae,Coptotermes,,Coptotermes_acinaciformis,XXYY,21
Isoptera,Rhinotermitidae,Reticulitermes,,Reticulitermes_lucifugus_grassei,XXYY,21
Isoptera,Rhinotermitidae,Reticulitermes,,Reticulitermes_urbis,homomorphic,21
Isoptera,Termitidae,Amitermes,,Amitermes_darwini,XXYY,21
Isoptera,Termitidae,Amitermes,,Amitermes_eucalipti,,21
Isoptera,Termitidae,Amitermes,,Amitermes_germanus,,21
Isoptera,Termitidae,Amitermes,,Amitermes_parvus,XXYY,21
Isoptera,Termitidae,Drepanotermes,,Drepanotermes_septentrionalis,XXYY,21
Isoptera,Termitidae,Ephelotermes,,Ephelotermes_melachoma,XXYY,21
Isoptera,Termitidae,Ephelotermes,,Ephelotermes_taylori,XXYY,21
Isoptera,Termitidae,Lophotermes,,Lophotermes_septentrionalis,XXYY,21
Isoptera,Termitidae,Macrognathotermes,,Macrognathotermes_sunteri,XXYY,21
Isoptera,Termitidae,Microcerotermes,,Microcerotermes_boreus,XXYY,21
Isoptera,Termitidae,Microcerotermes,,Microcerotermes_nervosus,XXYY,21
Isoptera,Termitidae,Nasutitermes,,Nasutitermes_graveolus,XXYY,21
Isoptera,Termitidae,Nasutitermes,,Nasutitermes_longipennis,XXYY,21
Isoptera,Termitidae,Nasutitermes,,Nasutitermes_triodiae,XXYY,21
Isoptera,Termitidae,Tumulitermes,,Tumulitermes_pastinator,XXYY,21
Isoptera,Kalotermitidae,Bifiditermes,,Bifiditermes_improbus,XXY,18
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_austrinus,,20
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_brevis,XYY,18
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_cristatus,,23
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_cynocephalus,XXY,22
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_dudleyi,,20
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_gearyi,XY,24
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_papulosus,,21
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_primus,,15
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_queenslandis,XXY,21
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_riverinae,,21
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_secundus,,20
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_secundus,,20
Isoptera,Kalotermitidae,Cryptotermes,,Cryptotermes_sp.,,24
Isoptera,Kalotermitidae,Glyptotermes,,Glyptotermes_brevicornis,,21
Isoptera,Kalotermitidae,Glyptotermes,,Glyptotermes_iridipennis,,21
Isoptera,Kalotermitidae,Incisitermes,,Incisitermes_barretti,,21
Isoptera,Kalotermitidae,Incisitermes,,Incisitermes_sp.,,21
Isoptera,Kalotermitidae,Kalotermes,,Kalotermes_convexus,,23
Isoptera,Kalotermitidae,Neotermes,,Neotermes_insularis,XXXYYY,26
Isoptera,Kalotermitidae,Neotermes,,Neotermes_insularis,,30
Isoptera,Kalotermitidae,Procryptotermes,,Procryptotermes_australiensis,XXY,24
Isoptera,Stolotermitidae,Porotermes,,Porotermes_adamsoni,,20
Isoptera,Stolotermitidae,Stolotermes,,Stolotermes_victoriensis,XO,16
Isoptera,Termitidae,Kalotermes,,Kalotermes_approximatus,XXY,17
Isoptera,Termitidae,Kalotermes,,Kalotermes_approximatus,XXYY,16
Isoptera,Termitidae,Acidnotermes,,Acidnotermes_praus,XXYY,21
Isoptera,Termitidae,Afrosubulitermes,,Afrosubulitermes_congoensis,XXYY,21
Isoptera,Termitidae,Crenetermes,,Crenetermes_albotarsalis,XXYY,21
Isoptera,Termitidae,Cubitermes,,Cubitermes_exiguus,XXYY,21
Isoptera,Termitidae,Cubitermes,,Cubitermes_sankurensis,XXYY,21
Isoptera,Termitidae,Cubitermes,,Cubitermes_sp._1.,XXYY,21
Isoptera,Termitidae,Cubitermes,,Cubitermes_weissi,XXYY,21
Isoptera,Termitidae,Kalotermes,,Kalotermes_Flavicollis,XXYY,31
Isoptera,Termitidae,Macrotermes,,Macrotermes_bellicosus,XXYY,21
Isoptera,Termitidae,Microcerotermes,,Microcerotermes_fuscotibiatis,XXYY,21
Isoptera,Termitidae,Microcerotermes,,Microcerotermes_parvulus,XXYY,21
Isoptera,Termitidae,Microcerotermes,,Microcerotermes_sp.1,XXYY,22
Isoptera,Termitidae,Microcerotermes,,Microcerotermes_sp.2,XXYY,21
Isoptera,Termitidae,Microtermes,,Microtermes_sp.1,XXYY,21
Isoptera,Termitidae,Nasutitermes,,Nasutitermes_arboreus,XXYY,21
Isoptera,Termitidae,Noditermes,,Noditermes_lamanianus,XXYY,19
Isoptera,Termitidae,Odontotermes,,Odontotermes_redemanni,XXYY,24
Isoptera,Termitidae,Odontotermes,,Odontotermes_snyderi,XXYY,21
Isoptera,Termitidae,Odontotermes,,Odontotermes_sp.1,XXYY,21
Isoptera,Termitidae,Ophiotermes,,Ophiotermes_mandibularis,XXYY,21
Isoptera,Termitidae,Pericapritermes,,Pericapritermes_sp.1,XXYY,21
Isoptera,Termitidae,Procubitermes,,Procubitermes_sp._1,XXYY,19
Isoptera,Termitidae,Protermes,,Protermes_minimus,XXYY,21
Isoptera,Termitidae,Pseudacanthotermes,,Pseudacanthotermes_militaris,XXYY,21
Isoptera,Termitidae,Reticulitermes,,Reticulitermes_flavipes,XXYY,21
Isoptera,Termitidae,Reticulitermes,,Reticulitermes_lucifugus,XXYY,21
Isoptera,Termitidae,Reticutitermes,,Reticutitermes_santonensis,XXYY,21
Isoptera,Termitidae,Schedorhinotermes,,Schedorhinotermes_lamanianus,XXYY,19
Isoptera,Termitidae,Thoracotermes,,Thoracotermes_macrothorax,XXYY,21
Isoptera,Termitidae,Tuberculitermes,,Tuberculitermes_bycanistes,XXYY,21
Isoptera,Termitidae,Unguitermes,,Unguitermes_bouilloni,XXYY,21
Isoptera,Termitidae,Zootermopsis,,Zootermopsis_angusticollis,XXYY,26
Isoptera,Termitidae,Zootermopsis,,Zootermopsis_angusticollis,XXYY,26
Isoptera,Termitidae,Zootermopsis,,Zootermopsis_nevadensis,XXYY,26
