highertaxa,series,family,genus,species,haploid
Teleostei,Anabantaria,Anabantidae,Anabas,Anabas testudineus,23
Teleostei,Anabantaria,Anabantidae,Anabas,Anabas testudineus,24
Teleostei,Anabantaria,Anabantidae,Ctenopoma,Ctenopoma acutirostre,24
Teleostei,Anabantaria,Anabantidae,Ctenopoma,Ctenopoma muriei,24
Teleostei,Anabantaria,Anabantidae,Ctenopoma,Ctenopoma ocellatum,24
Teleostei,Anabantaria,Anabantidae,Ctenopoma,Ctenopoma petherici,24
Teleostei,Anabantaria,Anabantidae,Microctenopoma,Microctenopoma congicum,23
Teleostei,Anabantaria,Anabantidae,Microctenopoma,Microctenopoma pekkolai,24
Teleostei,Anabantaria,Osphronemidae,Betta,Betta pi,17
Teleostei,Anabantaria,Osphronemidae,Betta,Betta prima,19
Teleostei,Anabantaria,Osphronemidae,Betta,Betta pugnax,20
Teleostei,Anabantaria,Osphronemidae,Betta,Betta simplex,23
Teleostei,Anabantaria,Osphronemidae,Betta,Betta splendens,21
Teleostei,Anabantaria,Osphronemidae,Ctenops,Ctenops nobilis,22
Teleostei,Anabantaria,Osphronemidae,Trichopodus,Trichopodus pectoralis,23
Teleostei,Anabantaria,Osphronemidae,Trichopodus,Trichopodus trichopterus,23
Teleostei,Anabantaria,Osphronemidae,Trichopsis,Trichopsis pumila,23
Teleostei,Anabantaria,Osphronemidae,Trichopsis,Trichopsis schalleri,23
Teleostei,Anabantaria,Osphronemidae,Trichopsis,Trichopsis vittata,23
Teleostei,Anabantaria,Channidae,Channa,Channa gachua,26
Teleostei,Anabantaria,Channidae,Channa,Channa lucius,24
Teleostei,Anabantaria,Channidae,Channa,Channa marulius,20
Teleostei,Anabantaria,Channidae,Channa,Channa marulius,22
Teleostei,Anabantaria,Channidae,Channa,Channa micropeltes,22
Teleostei,Anabantaria,Channidae,Channa,Channa orientalis,39
Teleostei,Anabantaria,Channidae,Channa,Channa punctata,16
Teleostei,Anabantaria,Channidae,Channa,Channa punctata,17
Teleostei,Anabantaria,Channidae,Channa,Channa striata,20
Teleostei,Anabantaria,Channidae,Channa,Channa striata,22
Teleostei,Anabantaria,Channidae,Parachanna,Parachanna obscura,23
Teleostei,Anabantaria,Badidae,Badis,Badis badis,24
Teleostei,Anabantaria,Nandidae,Nandus,Nandus nandus,24
Teleostei,Anabantaria,Pristolepididae,Pristolepis,Pristolepis marginata,24
Teleostei,Anabantaria,Mastacembelidae,Mastacembelus,Mastacembelus armatus,24
Teleostei,Anabantaria,Synbranchidae,Monopterus,Monopterus albus,12
Teleostei,Anabantaria,Synbranchidae,Monopterus,Monopterus cuchia,21
Teleostei,Anabantaria,Synbranchidae,Synbranchus,Synbranchus madeirae,23
Teleostei,Anabantaria,Synbranchidae,Synbranchus,Synbranchus marmoratus,22
