Family,Genus,species,haploid
Eriococcidae,Apiomorpha,Apiomorpha_densispinosa,2
Eriococcidae,Apiomorpha,Apiomorpha_sessilis,2
Monophlebidae,Auloicerya ,Auloicerya_acaciae,2
Monophlebidae,Crypticerya,Crypticerya_rosae,2
Monophlebidae,Crypticerya,Crypticerya_sp.,2
Monophlebidae,Echinicerya,Echinicerya_anomala,2
Monophlebidae,Gigantococcus,Gigantococcus_maximus,2
Monophlebidae,Icerya,Icerya_aegyptiaca,2
Monophlebidae,Icerya,Icerya_aegyptiaca,2
Monophlebidae,Icerya,Icerya_bimaculata,2
Monophlebidae,Icerya,Icerya_brasiliensis,2
Monophlebidae,Icerya,Icerya_littoralis,2
Monophlebidae,Icerya,Icerya_montserratensis,2
Monophlebidae,Icerya,Icerya_purchasi,2
Monophlebidae,Icerya,Icerya_similis,2
Monophlebidae,Icerya,Icerya_tremae,2
Monophlebidae,Steatococcus,Steatococcus_tuberculatus,2
Astrolecaniidae,Mycetococcus ,Mycetococcus_ehrhorni,3
Diaspididae,Ancepaspis,Ancepaspis_tridentata,3
Diaspididae,Protodiaspis,Protodiaspis_infidelis,3
Eriococcidae,Cylindrococcus,Cylindrococcus_casuarinae,3
Monophlebidae,Aspidoproctus,Aspidoproctus_maximus_,3
Monophlebidae,Gueriniella,Gueriniella_serratulae,3
Monophlebidae,Llaveia ,Llaveia_axin_,3
Monophlebidae,Llaveia ,Llaveia_oaxacoensis_,3
Monophlebidae,Llaveiella  ,Llaveiella__taenechina,3
Monophlebidae,Nautococcus  ,Nautococcus__schraderae,3
Monophlebidae,Protortonia,Protortonia_primitiva,3
Pol Yctenidae,Hesperoctenes,Hesperoctenes_fumarius,3
Pentatomidae,Rhytidolomia,Rhytidolomia_senilis,3
Diaspididae,Abgrallaspis,Abgrallaspis_cyanophylli,4
Diaspididae,Abgrallaspis,Abgrallaspis_flavida,4
Diaspididae,Acutaspis,Acutaspis_paulista,4
Diaspididae,Acutaspis,Acutaspis_perseae,4
Diaspididae,Africaspis,Africaspis_chionaspiformis,4
Diaspididae,Ancepaspis,Ancepaspis_edentata,4
Diaspididae,Aonidia,Aonidia_lauri,4
Diaspididae,Aonidia,Aonidia_shastae,4
Diaspididae,Aonidiella,Aonidiella_aurantii,4
Diaspididae,Aonidiella,Aonidiella_citrina,4
Diaspididae,Aonidiella,Aonidiella_orientalis,4
Diaspididae,Aonidiella,Aonidiella_simplex,4
Diaspididae,Aspidaspis,Aspidaspis_arctostaphyli,4
Diaspididae,Aspidaspis,Aspidaspis_densiflorae,4
Diaspididae,Aspidiella,Aspidiella_hartii,4
Diaspididae,Aspidiella,Aspidiella_sacchari,4
Diaspididae,Aspidiotus,Aspidiotus_cryptomeriae,4
Diaspididae,Aspidiotus,Aspidiotus_destructor,4
Diaspididae,Aspidiotus,Aspidiotus_hedericola,4
Diaspididae,Aspidiotus,Aspidiotus_nerii,4
Diaspididae,Aspidiotus,Aspidiotus_nerii,4
Diaspididae,Aspidiotus,Aspidiotus_simulans,4
Diaspididae,Aulacaspis,Aulacaspis_rosae,4
Diaspididae,Aulacaspis,Aulacaspis_spinosa,4
Diaspididae,Aulacaspis,Aulacaspis_tubercularis,4
Diaspididae,Carulaspis,Carulaspis_minima,4
Diaspididae,Chionaspis,Chionaspis_ortholobis,4
Diaspididae,Chionaspis,Chionaspis_pinifoliae,4
Diaspididae,Chionaspis,Chionaspis_pinifoliae,4
Diaspididae,Chionaspis,Chionaspis_platani,4
Diaspididae,Chionaspis,Chionaspis_salicis,4
Diaspididae,Chrysomphalus,Chrysomphalus_aonidum,4
Diaspididae,Chrysomphalus,Chrysomphalus_bifasciculatus,4
Diaspididae,Chrysomphalus,Chrysomphalus_dictyospermi,4
Diaspididae,Chrysomphalus,Chrysomphalus_pinnulifer,4
Diaspididae,Clavaspis,Clavaspis_coursetiae,4
