Family,Genus,species,haploid
Diaspididae,Clavaspis,Clavaspis_texana,4
Diaspididae,Crassaspis,Crassaspis_multipora,4
Diaspididae,Diaspidiotus,Diaspidiotus_aesculi,4
Diaspididae,Diaspidiotus,Diaspidiotus_ancylus,4
Diaspididae,Diaspidiotus,Diaspidiotus_gigas,4
Diaspididae,Diaspidiotus,Diaspidiotus_lenticularis,4
Diaspididae,Diaspidiotus,Diaspidiotus_ostreaeformis,4
Diaspididae,Diaspidiotus,Diaspidiotus_perniciosus,4
Diaspididae,Diaspidiotus,Diaspidiotus_zonatus,4
Diaspididae,Diaspis,Diaspis_boisduvalii,4
Diaspididae,Diaspis,Diaspis_bromeliae,4
Diaspididae,Duplachionaspis,Duplachionaspis_sicula,4
Diaspididae,Dynaspidiotus,Dynaspidiotus_pseudomeyeri,4
Diaspididae,Dynaspidiotus,Dynaspidiotus_apacheca,4
Diaspididae,Epidiaspis,Epidiaspis_leperii,4
Diaspididae,Epidiaspis,Epidiaspis_persimilis,4
Diaspididae,Fiorinia,Fiorinia_fioriniae,4
Diaspididae,Fiorinia,Fiorinia_japonica,4
Diaspididae,Froggattiella,Froggattiella_penicillata,4
Diaspididae,Furcaspis,Furcaspis_biformis,4
Diaspididae,Furcaspis ,Furcaspis_capensis,4
Diaspididae,Greenaspis,Greenaspis_decurvata,4
Diaspididae,Hemiberlesia,Hemiberlesia_cupressi,4
Diaspididae,Hemiberlesia,Hemiberlesia_lataniae,4
Diaspididae,Hemiberlesia,Hemiberlesia_lataniae,4
Diaspididae,Hemiberlesia,Hemiberlesia_palmae,4
Diaspididae,Hemiberlesia,Hemiberlesia_quercicola,4
Diaspididae,Hemiberlesia,Hemiberlesia_rapax,4
Diaspididae,Ischnaspis,Ischnaspis_longirostris,4
Diaspididae,Kuwanaspis,Kuwanaspis_pseudoleucaspis,4
Diaspididae,Ledaspis,Ledaspis_reticulata,4
Diaspididae,Lepidosaphes,Lepidosaphes_beckii,4
Diaspididae,Lepidosaphes,Lepidosaphes_conchiformis,4
Diaspididae,Leucaspis,Leucaspis_pusilla,4
Diaspididae,Lindingaspis,Lindingaspis_ferrisi,4
Diaspididae,Lindingaspis,Lindingaspis_opima,4
Diaspididae,Lindingaspis,Lindingaspis_rossi,4
Diaspididae,Melanaspis,Melanaspis_glomerata,4
Diaspididae,Melanaspis,Melanaspis_inopinata,4
Diaspididae,Melanaspis,Melanaspis_lilacina,4
Diaspididae,Morganella,Morganella_longispina,4
Diaspididae,Mycetaspis,Mycetaspis_juventinae,4
Diaspididae,Mycetaspis,Mycetaspis_personata,4
Diaspididae,Neomorgania,Neomorgania_eucalypti,4
Diaspididae,Neoselenaspidus,Neoselenaspidus_kenyae,4
Diaspididae,Neoselenaspidus,Neoselenaspidus_silvaticus,4
Diaspididae,Nicholiella,Nicholiella_bumeliae,4
Diaspididae,Nikkoaspis,Nikkoaspis_shiranensis,4
Diaspididae,Odonaspis,Odonaspis_ruthae,4
Diaspididae,Odonaspis,Odonaspis_saccharicaulis,4
Diaspididae,Opuntiaspis,Opuntiaspis_philococcus,4
Diaspididae,Parlatoria,Parlatoria_crotonis,4
Diaspididae,Parlatoria,Parlatoria_oleae,4
Diaspididae,Parlatoria,Parlatoria_proteus,4
Diaspididae,Parlatoria,Parlatoria_proteus,4
Diaspididae,Parlatoria,Parlatoria_ziziphi,4
Diaspididae,Pinnaspis,Pinnaspis_aspidistrae,4
Diaspididae,Pinnaspis,Pinnaspis_buxi,4
Diaspididae,Pinnaspis,Pinnaspis_strachani,4
Diaspididae,Poliaspoides,Poliaspoides_formosana,4
Diaspididae,Protodiaspis,Protodiaspis_agrifoliae,4
Diaspididae,Protodiaspis,Protodiaspis_chichi,4
Diaspididae,Protodiaspis,Protodiaspis_didymus,4
Diaspididae,Protodiaspis,Protodiaspis_signata,4
Diaspididae,Pseudaonidia,Pseudaonidia_baikeae,4
Diaspididae,Pseudaonidia,Pseudaonidia_trilobitiformis,4
Diaspididae,Pseudischnaspis,Pseudischnaspis_bowreyi,4
Diaspididae,Pseudoparlatoria,Pseudoparlatoria_browni,4
Diaspididae,Radionaspis,Radionaspis_indica,4
Diaspididae,Rhizaspidiotus,Rhizaspidiotus_dearnessi,4
Diaspididae,Selenaspidus,Selenaspidus_articulatus,4
Diaspididae,Selenaspidus,Selenaspidus_incisus,4
Diaspididae,Spinaspidiotus,Spinaspidiotus_fissidens,4
Diaspididae,Targionia,Targionia_bigeloviae,4
Diaspididae,Targionia,Targionia_nigra,4
Diaspididae,Targionia,Targionia_vitis,4
Diaspididae,Targionia,Targionia_yuccarum,4
Diaspididae,Trischnaspis,Trischnaspis_bipindensis,4
Diaspididae,Unachionaspis,Unachionaspis_bambusae,4
Diaspididae,Unaspis,Unaspis_citri,4
Diaspididae,Unaspis,Unaspis_euonymi,4
Diaspididae,Xerophilaspis,Xerophilaspis_prosopidis,4
Monophlebidae,Drosicha ,Drosicha_sp.,4
Phenacoleachiidae,Phenacoleachia ,Phenacoleachia_zealandica,4
Pol Yctenidae,Eotenes,Eotenes_intermedius,4
Pseudococcidae,Palmicultor,Palmicultor_browni_,4
Pseudococcidae,Pedronia ,Pedronia_strobilanthis_,4
Pseudococcidae,Pseudococcus,Pseudococcus_longispinus,4
Pseudococcidae,Rhizoecus,Rhizoecus_mexicanus_,4
Pseudococcidae,Trionymus ,Trionymus_caricis,4
Psyllidae,Anoeconeossa,Anoeconeossa_communis,4
Psyllidae,Anoeconeossa,Anoeconeossa_unicornuta,4
Psyllidae,Cryptoneossa,Cryptoneossa_vulgaris,4
Cimicidae,Aphrania,Aphrania_vishnou,5
Cimicidae,Cacodmus,Cacodmus_vicinus,5
Cimicidae,Loxaspis,Loxaspis_malayensis,5
Cimicidae,Ornithocoris,Ornithocoris_pallidus,5
Cimicidae,Ornithocoris,Ornithocoris_toledoi,5
Coccidae,Vinsonia,Vinsonia_stellifera,5
Dactylopiidae,Dactylopius ,Dactylopius_ceylonicus,5
Dactylopiidae,Dactylopius ,Dactylopius_confusus,5
Dactylopiidae,Dactylopius ,Dactylopius_opuntiae,5
Diaspididae,Aonidomytilus,Aonidomytilus_variabilis,5
Diaspididae,Comstockiella,Comstockiella_sabalis,5
Diaspididae,Gymnaspis,Gymnaspis_aechmeae,5
Diaspididae,Howardia,Howardia_biclavis,5
Diaspididae,Kuwanaspis,Kuwanaspis_bambusicola,5
Diaspididae,Pseudoparlatoria,Pseudoparlatoria_ostreata,5
Diaspididae,Pseudoparlatoria,Pseudoparlatoria_parlatorioides,5
Diaspididae,Situlaspis,Situlaspis_yuccae,5
Halimococcidae,Colobopyga,Colobopyga_pritchardiae,5
Halimococcidae,Colobopyga,Colobopyga_browni_,5
Halimococcidae,Halimococcus,Halimococcus_borassi_,5
Halimococcidae,Platycoccus,Platycoccus_tylocephalus,5
Halimococcidae,Thysanococcus,Thysanococcus_calami_,5
Halimococcidae,Thysanococcus,Thysanococcus_pandani,5
Lygaeidae,Graphoraglius,Graphoraglius_novitus,5
Phoenicococcidae,Colobopyga,Colobopyga_browni_,5
Phoenicococcidae,Colobopyga,Colobopyga_pritchardiae,5
Phoenicococcidae,Halimococcus,Halimococcus_borassi_,5
Phoenicococcidae,Platycoccus ,Platycoccus_tylocephalus_,5
Phoenicococcidae,Thysanococcus,Thysanococcus_calami,5
Phoenicococcidae,Thysanococcus,Thysanococcus_pandani,5
Pseudococcidae,Atrococcus,Atrococcus_paludinus,5
Pseudococcidae,Balanococcus ,Balanococcus_singularis,5
Pseudococcidae,Chaetococcus ,Chaetococcus_bambusae,5
Pseudococcidae,Chorizococcus,Chorizococcus_pusillus,5
Pseudococcidae,Chorizococcus,Chorizococcus_rostellum_,5
Pseudococcidae,Coccura ,Coccura_suwakoensis,5
Pseudococcidae,Dysmicoccus,Dysmicoccus_brevipes,5
Pseudococcidae,Dysmicoccus,Dysmicoccus_brevipes,5
Pseudococcidae,Dysmicoccus,Dysmicoccus_multivorus_,5
Pseudococcidae,Dysmicoccus,Dysmicoccus_neobrevipes,5
Pseudococcidae,Dysmicoccus,Dysmicoccus_wistariae,5
Pseudococcidae,Erium  ,Erium__pygmaeum,5
Pseudococcidae,Ferrisia ,Ferrisia_virgata_,5
Pseudococcidae,Ferrisia ,Ferrisia_virgata_,5
Pseudococcidae,Fonscolombia ,Fonscolombia_butorinae,5
Pseudococcidae,Fonscolombia ,Fonscolombia_tomlinii_,5
Pseudococcidae,Formicococcus,Formicococcus_ireneus,5
Pseudococcidae,Formicococcus,Formicococcus_robustus,5
Pseudococcidae,Heterococcus  ,Heterococcus__nudus,5
Pseudococcidae,Laminicoccus,Laminicoccus_pandani_,5
Pseudococcidae,Maconellicoccus,Maconellicoccus_hirsutus,5
Pseudococcidae,Maconellicoccus,Maconellicoccus_ugandae,5
Pseudococcidae,Mirococcopsis,Mirococcopsis_subterranea,5
Pseudococcidae,Mirococcus,Mirococcus_inermis,5
Pseudococcidae,Nesopedronia ,Nesopedronia_dura,5
Pseudococcidae,Nesopedronia ,Nesopedronia_hawaiiensis_,5
Pseudococcidae,Nipaecoccus ,Nipaecoccus_aurilanatus,5
Pseudococcidae,Nipaecoccus ,Nipaecoccus_graminis,5
Pseudococcidae,Nipaecoccus ,Nipaecoccus_nipae,5
Pseudococcidae,Nipaecoccus ,Nipaecoccus_viridis,5
Pseudococcidae,Palmicultor,Palmicultor_palmarum,5
Pseudococcidae,Paracoccus,Paracoccus_bruguierae,5
Pseudococcidae,Paracoccus,Paracoccus_burnerae_,5
Pseudococcidae,Paracoccus,Paracoccus_diversus,5
Pseudococcidae,Paraputo,Paraputo_leveri,5
Pseudococcidae,Phenacoccus,Phenacoccus_aceris_,5
Pseudococcidae,Phenacoccus,Phenacoccus_defectus,5
Pseudococcidae,Phenacoccus,Phenacoccus_dicoriae,5
Pseudococcidae,Phenacoccus,Phenacoccus_graminicola,5
Pseudococcidae,Phenacoccus,Phenacoccus_helianthi_,5
Pseudococcidae,Phenacoccus,Phenacoccus_infernalis,5
Pseudococcidae,Phenacoccus,Phenacoccus_phenacoccoides,5
Pseudococcidae,Phenacoccus,Phenacoccus_pumilus,5
Pseudococcidae,Phenacoccus,Phenacoccus_solani_,5
Pseudococcidae,Phenacoccus,Phenacoccus_solenopsis,5
Pseudococcidae,Planococcoides ,Planococcoides_crassus_,5
Pseudococcidae,Planococcus,Planococcus_citri,5
Pseudococcidae,Planococcus,Planococcus_lilacinus_,5
Pseudococcidae,Planococcus,Planococcus_vovae,5
Pseudococcidae,Pseudococcus,Pseudococcus_swezeyi,5
Pseudococcidae,Pseudococcus,Pseudococcus_origer_,5
Pseudococcidae,Pseudococcus,Pseudococcus_antricolens,5
Pseudococcidae,Pseudococcus,Pseudococcus_calceolariae,5
Pseudococcidae,Pseudococcus,Pseudococcus_comstocki,5
Pseudococcidae,Pseudococcus,Pseudococcus_kikuyuensis,5
Pseudococcidae,Pseudococcus,Pseudococcus_lycopodii,5
Pseudococcidae,Pseudococcus,Pseudococcus_maritimus,5
Pseudococcidae,Pseudococcus,Pseudococcus_nudus,5
Pseudococcidae,Pseudococcus,Pseudococcus_occidius_,5
Pseudococcidae,Pseudococcus,Pseudococcus_pipturicolus,5
Pseudococcidae,Pseudococcus,Pseudococcus_viburni_,5
Pseudococcidae,Rastrococcus ,Rastrococcus_iceryoides,5
Pseudococcidae,Rhizoecus,Rhizoecus_mayanus,5
Pseudococcidae,Saccharicoccus ,Saccharicoccus_sacchari_,5
Pseudococcidae,Trionymus ,Trionymus_insularis,5
Pseudococcidae,Trionymus ,Trionymus_longipilosus,5
Pseudococcidae,Vryburgia ,Vryburgia_amaryllidis,5
Pseudococcidae,Vryburgia ,Vryburgia_transvaalensis,5
Steingeliidae,Steingelia,Steingelia_gorodetskia,5
Steingeliidae,Steingelia,Steingelia_gorodetskia,5
Psyllidae,Blastopsylla,Blastopsylla_adnatariae,5
Psyllidae,Blastopsylla,Blastopsylla_moorei,5
Psyllidae,Cardiaspina,Cardiaspina_retator,5
Psyllidae,Cryptoneossa,Cryptoneossa_sp.,5
Psyllidae,Glyscaspis,Glyscaspis_brimblecombei,5
Cimicidae,Cacodmus,Cacodmus_sumatrensis,6
Conchaspididae,Conchaspis ,Conchaspis_lepagei,6
Cydnidae,Cydnus,Cydnus_maurus,6
Cydnidae,Cydnus,Cydnus_nitritus,6
Cydnidae,Cydnus,Cydnus_varians,6
Cydnidae,Macroscytus,Macroscytus_subaeneus,6
Diaspididae,Africaspis,Africaspis_fici,6
Diaspididae,Aonidomytilus,Aonidomytilus_concolor,6
Diaspididae,Costalimaspis,Costalimaspis_eugeniae,6
Diaspididae,Helaspis,Helaspis_mexicana,6
Diaspididae,Lepidosaphes,Lepidosaphes_tokionis,6
Eriococcidae,Apiomorpha,Apiomorpha_intermedia,6
Eriococcidae,Casuarinaloma,Casuarinaloma_leaii_,6
Lygaeidae,Cryphula,Cryphula_nitens,6
Lygaeidae,Cryphula,Cryphula_trimaculata,6
Lygaeidae,Dieuches,Dieuches_sp.,6
Lygaeidae,Dieuches,Dieuches_sp._(69-17),6
Lygaeidae,Dieuches,Dieuches_sp._(PDA-14),6
Lygaeidae,Elasmolomus,Elasmolomus_sordidus,6
Lygaeidae,Lachnesthus,Lachnesthus_singalensis,6
Lygaeidae,Lethaeus,Lethaeus_barberi,6
Lygaeidae,Methochus,Methochus_uniguttatus,6
Lygaeidae,Paradieuches,Paradieuches_dissimilis,6
Lygaeidae,Paromius,Paromius_pallidus,6
Lygaeidae,Tropistethus,Tropistethus_holosericus,6
Plataspidae,Brachyplatys,Brachyplatys_pauper,6
Plataspidae,Brachyplatys,Brachyplatys_subaenus,6
Plataspidae,Coptosoma,Coptosoma_biguttulum,6
Plataspidae,Coptosoma,Coptosoma_cribrarium,6
Plataspidae,Coptosoma,Coptosoma_punctatissimum,6
Plataspidae,Coptosoma,Coptosoma_scutellatum,6
Plataspidae,Coptosoma,Coptosoma_siamicum,6
Plataspidae,Coptosoma,Coptosoma_sp.,6
Plataspidae,Coptosoma,Coptosoma_variegatu.m,6
Pol Yctenidae,Hesperoctenes,Hesperoctenes_setosus,6
Pseudococcidae,Antonina,Antonina_crawi,6
Pseudococcidae,Antonina,Antonina_evelynae,6
Pseudococcidae,Coccidohystrix,Coccidohystrix_insolita_,6
Pseudococcidae,Dysmicoccus,Dysmicoccus_boninsis,6
Pseudococcidae,Nesococcus ,Nesococcus_pipturi,6
Pseudococcidae,Phenacoccus,Phenacoccus_acericola,6
Pseudococcidae,Phenacoccus,Phenacoccus_gossypii_,6
Pseudococcidae,Rhizoecus,Rhizoecus_dianthi,6
Pseudococcidae,Rhizoecus,Rhizoecus_falcifer,6
Scutelleridae,Acanthilomidea,Acanthilomidea_porosa,6
Scutelleridae,Cantao,Cantao_ocellatus,6
Scutelleridae,Chrysocoris,Chrysocoris_purpureus,6
Scutelleridae,Chrysocoris,Chrysocoris_stollii,6
Scutelleridae,Eurygaster,Eurygaster_amerinda,6
Scutelleridae,Eurygaster,Eurygaster_austriaca,6
Scutelleridae,Eurygaster,Eurygaster_hottentotta_maroccana,6
Scutelleridae,Eurygaster,Eurygaster_maura,6
Scutelleridae,Eurygaster,Eurygaster_testudinaria,6
Scutelleridae,Hotea,Hotea_curc1i1-lionoides,6
Scutelleridae,Odontotarsus,Odontotarsus_caudatus,6
Scutelleridae,Odontotarsus,Odontotarsus_purpureolineatus,6
Scutelleridae,Odontotarsus,Odontotarsus_robustus,6
Scutelleridae,Phimodera,Phimodera_lapponica,6
Scutelleridae,Scutellera,Scutellera_nobilis,6
Scutelleridae,Scutellera,Scutellera_preplexa,6
Scutelleridae,Solonostethium,Solonostethium_rubropunctatum,6
Tesseratomidae,Eusthenes,Eusthenes_saevus,6
Tingidae,Acalypta,Acalypta_parvula,6
Pentatomidae,Acledra,Acledra_bonariensis,6
Pentatomidae,Dichelops,Dichelops_melacanthus,6
Pentatomidae,Dichelops,Dichelops_sp.,6
Pentatomidae,Euschistus,Euschistus_crassus,6
Pentatomidae,Mecocephala,Mecocephala_maldonadensis,6
Pentatomidae,Oechalia,Oechalia_patruelis,6
Pentatomidae,Scotinophara,Scotinophara_coarctata,6
Pentatomidae,Scotinophara,Scotinophara_sp.,6
Pentatomidae,Stagonomus,Stagonomus_bipunctatus,6
Psyllidae,Australopsylla,Australopsylla_sp.,6
Psyllidae,Boreioglycaspis,Boreioglycaspis_melaleucae,6
Psyllidae,Cardiaspina,Cardiaspina_albitextura,6
Psyllidae,Creiis,Creiis_sp.,6
Psyllidae,Platyobria,Platyobria_lewisi,6
Psyllidae,Rhinocola,Rhinocola_aceris,6
Psyllidae,Spondyliaspis,Spondyliaspis_plicatudoides,6
Alydidae,Akbaratus,Akbaratus_fisheri,7
Alydidae,Alydus,Alydus_calcaratus,7
Alydidae,Alydus,Alydus_eurinus,7
Alydidae,Alydus,Alydus_pilosulus,7
Alydidae,Camptopus,Camptopus_lateralis,7
Alydidae,Darmist11s,Darmist11s_subvittatus,7
Alydidae,Euthetus,"Euthetus_pulche,rrimus",7
Alydidae,Megalotomus,Megalotomus_costalis,7
Alydidae,Protenor,Protenor_belfragei,7
Alydidae,Riptortus,Riptortus_clavatus,7
Alydidae,Riptortus,Riptortus_linearis,7
Alydidae,Riptortus,Riptortus_pedestris,7
Alydidae,Riptortus,Riptortus_sp.,7
Alydidae,Riptortus,Riptortus_sp.,7
Alydidae,Tollius,Tollius_curtulus,7
Astrolecaniidae,Anomalococcus ,Anomalococcus_indicus,7
Callipappidae,Callipappus,Callipappus_rubiginosus,7
Cerococcidae,Cerococcus  ,Cerococcus__indicus,7
Coccidae,Coccus,Coccus_hesperidum,7
Coccidae,Coccus,Coccus_longulus,7
Coccidae,Eriopeltis,Eriopeltis_lichtensteini,7
Coccidae,Eriopeltis,Eriopeltis_stammeri,7
Coccidae,Pulvinaria ,Pulvinaria_psidii,7
Colobathristidae,Phaenachanthx:i,Phaenachanthx:i_sp.,7
Coreidae,Ceraleptus,Ceraleptus_obtusus,7
Coreidae,Coriomeris,Coriomeris_scabricornis,7
Cydnidae,Aethus,Aethus_nigritus,7
Cydnidae,Legnotus,Legnotus_picipes,7
Cydnidae,Macroscytus,Macroscytus_japonensis,7
Cydnidae,Sehirus,Sehirus_bicolor,7
Dinidoridae,Aspongopus,Aspongopus_janus,7
Dinidoridae,Aspongopus,Aspongopus_orientalis,7
Dinidoridae,Aspongopus,Aspongopus_sp.,7
Eriococcidae,Apiomorpha,Apiomorpha_rosaeforma,7
Eriococcidae,Eriococcus,Eriococcus_ericae,7
Eriococcidae,Eriococcus,Eriococcus_rata,7
Eriococcidae,Eriococcus,Eriococcus_williamsi_,7
Eriococcidae,Madarococcus ,Madarococcus_totarae_,7
Eriococcidae,Ourococcus ,Ourococcus_cobbi,7
Eumenotidae,Eumenotes,Eumenotes_obscura,7
Lygaeidae,Afrovertanus,Afrovertanus_elongatus,7
Lygaeidae,Anepsiodes,Anepsiodes_nitudus,7
Lygaeidae,Antillocoris,Antillocoris_minutus,7
Lygaeidae,Aphanus,Aphanus_sp.,7
Lygaeidae,Aphanus,Aphanus_sp._(PDA-33),7
Lygaeidae,Arocatus,Arocatus_rusticus,7
Lygaeidae,Atrademus,Atrademus_capeneri,7
Lygaeidae,Atrademus,Atrademus_sp._#135,7
Lygaeidae,Blissus,Blissus_arenarius_arenarius,7
Lygaeidae,Blissus,Blissus_arenarius_maritimus,7
Lygaeidae,Blissus,Blissus_insularis,7
Lygaeidae,Blissus,Blissus_leucopterus_hirtus,7
Lygaeidae,Blissus,Blissus_leucopterus_leucopterus,7
Lygaeidae,Blissus,Blissus_mixtus,7
Lygaeidae,Blissus,Blissus_omani,7
Lygaeidae,Caprhiobia,Caprhiobia_pallipes,7
Lygaeidae,Caprhiobia,Caprhiobia_sp.,7
Lygaeidae,Cavelerius,Cavelerius_minor,7
Lygaeidae,Cligenes,Cligenes_aethips,7
Lygaeidae,Cligenes,Cligenes_sp._nr_ashanti,7
Lygaeidae,Darwinysius,Darwinysius_marginalis,7
Lygaeidae,Darwinysius,Darwinysius_wenmanensis,7
Lygaeidae,Dieuches,Dieuches_sp._(prob._patruelis),7
Lygaeidae,Dimorphopterus,Dimorphopterus_annulatus,7
Lygaeidae,Dimorphopterus,Dimorphopterus_blissoides,7
Lygaeidae,Dimorphopterus,Dimorphopterus_latus,7
Lygaeidae,Dimorphopterus,Dimorphopterus_oblongus,7
Lygaeidae,Dimorphopterus,Dimorphopterus_sp._#57,7
Lygaeidae,Diniella,Diniella_nitida,7
Lygaeidae,Diniella,Diniella_sp._(GGES-18),7
Lygaeidae,Diniella,Diniella_sp._(GGES-19),7
Lygaeidae,Diniella,Diniella_sp._(GGES-20),7
Lygaeidae,Dinomachellus,Dinomachellus_maculatus,7
Lygaeidae,Dinomachellus,Dinomachellus_marshalli,7
Lygaeidae,Dinomachellus,Dinomachellus_sp._(GGES-23),7
Lygaeidae,Elasmolomus,Elasmolomus_mendicus,7
Lygaeidae,Elasmolomus,Elasmolomus_transversus,7
Lygaeidae,Emblethis,Emblethis_vicarius,7
Lygaeidae,Engistus,Engistus_viduus,7
Lygaeidae,Geoblissus,Geoblissus_mekongensis,7
Lygaeidae,Graptostethus,Graptostethus_manillensis,7
Lygaeidae,Graptostethus,Graptostethus_servus,7
Lygaeidae,Hudsona,Hudsona_anceps,7
Lygaeidae,Ischnodemus,Ischnodemus_brevicornis,7
Lygaeidae,Ischnodemus,Ischnodemus_nigrocephalus,7
Lygaeidae,Ischnodemus,Ischnodemus_noctulus,7
Lygaeidae,Ischnodemus,Ischnodemus_oblongus,7
Lygaeidae,Ischnodemus,Ischnodemus_tibialis,7
Lygaeidae,Kleidocerys,Kleidocerys_franciscanus,7
Lygaeidae,Kleidocerys,Kleidocerys_modestus,7
Lygaeidae,Kleidocerys,Kleidocerys_obovatus,7
Lygaeidae,Kleidocerys,Kleidocerys_resedae,7
Lygaeidae,Lamprocoris,Lamprocoris_nr_sp._(GGES-21),7
Lygaeidae,Lamprocoris,Lamprocoris_sp._(GGES-13),7
Lygaeidae,Lethaeus,Lethaeus_sp._(GGES-11),7
Lygaeidae,Lygaeospilus,Lygaeospilus_tripunctatus,7
Lygaeidae,Lygaeus,Lygaeus_equestris,7
Lygaeidae,Lygaeus,Lygaeus_kalmii,7
Lygaeidae,Lygaeus,Lygaeus_turcicus,7
Lygaeidae,Macchiademus,Macchiademus_diplopterus,7
Lygaeidae,Macropes,Macropes_raja,7
Lygaeidae,Macropes,Macropes_sp._PDA-41,7
Lygaeidae,Macropes,Macropes_uniformis,7
Lygaeidae,Macropes,Macropes_varipennis,7
Lygaeidae,Megalonotus,Megalonotus_antennatus,7
Lygaeidae,Melanocoryphus,Melanocoryphus_albomaculatus,7
Lygaeidae,Melanopleurus,Melanopleurus_bistriangularis,7
Lygaeidae,Melanopleurus,Melanopleurus_pyrrhopterus,7
Lygaeidae,Melanostethus,Melanostethus_marginatus,7
Lygaeidae,Microcoris,Microcoris_sexonotatus,7
Lygaeidae,Naudarensia,Naudarensia_manipurensis,7
Lygaeidae,Neacoryphus,Neacoryphus_bicrucis,7
Lygaeidae,Neacoryphus,Neacoryphus_rubicollis,7
Lygaeidae,Neolethaeus,Neolethaeus_dallasi,7
Lygaeidae,Nesomartis,Nesomartis_psammophila,7
Lygaeidae,Nithicus,Nithicus_jacobaeae,7
Lygaeidae,Nysius,Nysius_abnormis,7
Lygaeidae,Nysius,Nysius_angustatus,7
Lygaeidae,Nysius,Nysius_beardsleyi,7
Lygaeidae,Nysius,Nysius_caledoniae,7
Lygaeidae,Nysius,Nysius_ceylanicus,7
Lygaeidae,Nysius,Nysius_coenosulus,7
Lygaeidae,Nysius,Nysius_communis,7
Lygaeidae,Nysius,Nysius_expressus,7
Lygaeidae,Nysius,Nysius_fullawayi,7
Lygaeidae,Nysius,Nysius_helveticus,7
