Order,Family,species,haploid,SCS
Diptera,Drosophilidae,Adetoxenus_Formosus,6,
Diptera,Drosophilidae,Antopocerus_aduncus,6,
Diptera,Drosophilidae,Antopocerus_aduncus_or_damphidiopodus?,6,
Diptera,Drosophilidae,Antopocerus_arcuatus,6,
Diptera,Drosophilidae,Antopocerus_cognatus,6,
Diptera,Drosophilidae,Antopocerus_diamphidiopodus,6,
Diptera,Drosophilidae,Antopocerus_tanythrix,6,
Diptera,Drosophilidae,Antopocerus_villosus,6,
Diptera,Drosophilidae,Bunostoma_anomala,5,
Diptera,Drosophilidae,Bunostoma_anomala,5,
Diptera,Drosophilidae,Bunostoma_anomala,5,
Diptera,Drosophilidae,Bunostoma_anomala,5,
Diptera,Drosophilidae,Bunostoma_anomala,5,
Diptera,Drosophilidae,Bunostoma_anomala,5,
Diptera,Drosophilidae,Bunostoma_n._sp._Near_anomala,4,
Diptera,Drosophilidae,Bunostoma_n._sp._Near_anomala,4,
Diptera,Drosophilidae,Bunostoma_n._sp._Near_anomala,4,
Diptera,Drosophilidae,Bunostoma_n._sp._Near_anomala,4,
Diptera,Drosophilidae,Bunostoma_palmae,5,
Diptera,Drosophilidae,Bunostoma_palmae,5,
Diptera,Drosophilidae,Bunostoma_palmae,5,
Diptera,Drosophilidae,Bunostoma_palmae,5,
Diptera,Drosophilidae,Bunostoma_palmae,5,
Diptera,Drosophilidae,Bunostoma_palmae,5,
Diptera,Drosophilidae,Bunostoma_varifrons,5,
Diptera,Drosophilidae,Bunostoma_varifrons,5,
Diptera,Drosophilidae,Bunostoma_varifrons,5,
Diptera,Drosophilidae,Bunostoma_xanthopleura,5,
Diptera,Drosophilidae,Bunostoma_xanthopleura,5,
Diptera,Drosophilidae,Bunostoma_xanthopleura,5,
Diptera,Drosophilidae,Bunostoma_xanthopleura,5,
Diptera,Drosophilidae,Bunostoma_xanthopleura,5,
Diptera,Drosophilidae,Cacoxenus_indigator,4,
Diptera,Drosophilidae,Chymomyza_aldrichii,4,XY
Diptera,Drosophilidae,Chymomyza_amoena,4,XY
Diptera,Drosophilidae,Chymomyza_amoena,4,
Diptera,Drosophilidae,Chymomyza_costata,4,
Diptera,Drosophilidae,Chymomyza_coxata,4,
Diptera,Drosophilidae,Chymomyza_procnemis,4,
Diptera,Drosophilidae,Chymomyza_wirthii,4,XY
Diptera,Drosophilidae,Cladochaeta_nebulosa,4,
Diptera,Drosophilidae,Dettopsomyia_nigrovittata,5,
Diptera,Drosophilidae,"Drosophila_""melanissima""",5,XY
Diptera,Drosophilidae,Drosophila_acanthoptera,5,XY
Diptera,Drosophilidae,Drosophila_acanthoptera,5,XY
Diptera,Drosophilidae,Drosophila_acutilabella,4,
Diptera,Drosophilidae,Drosophila_acutilabella,4,XY
Diptera,Drosophilidae,Drosophila_adiastola,6,
Diptera,Drosophilidae,Drosophila_adiastola,6,
Diptera,Drosophilidae,Drosophila_adunca,6,
Diptera,Drosophilidae,Drosophila_afer,5,XY
Diptera,Drosophilidae,Drosophila_affinidisjuncta,6,
Diptera,Drosophilidae,Drosophila_affinis,5,XY
Diptera,Drosophilidae,Drosophila_affinis,5,
Diptera,Drosophilidae,Drosophila_affinis,5,
Diptera,Drosophilidae,Drosophila_affinis,5,XY
Diptera,Drosophilidae,Drosophila_affinis,5,XY
Diptera,Drosophilidae,Drosophila_aglaia,6,
Diptera,Drosophilidae,Drosophila_agumbensis,4,XY
Diptera,Drosophilidae,Drosophila_airzonensis,6,XY
Diptera,Drosophilidae,Drosophila_albirostris,6,XY
Diptera,Drosophilidae,Drosophila_albirostris,6,XY
Diptera,Drosophilidae,Drosophila_albomicans,3,
Diptera,Drosophilidae,Drosophila_albomicans,4,XY
Diptera,Drosophilidae,Drosophila_alboralis,6,
Diptera,Drosophilidae,Drosophila_aldrichi,6,XY
Diptera,Drosophilidae,Drosophila_aldrichi,6,XY
Diptera,Drosophilidae,Drosophila_aldrichi,6,XY
Diptera,Drosophilidae,Drosophila_aldrichi,6,XY
Diptera,Drosophilidae,Drosophila_aldrichi,6,XY
Diptera,Drosophilidae,Drosophila_alexandrei,4,
Diptera,Drosophilidae,Drosophila_algonquin,5,XY
Diptera,Drosophilidae,Drosophila_algonquin,5,
Diptera,Drosophilidae,Drosophila_algonquin,5,
Diptera,Drosophilidae,Drosophila_algonquin,5,XY
Diptera,Drosophilidae,Drosophila_alpina,3,
Diptera,Drosophilidae,Drosophila_alsophila,6,
Diptera,Drosophilidae,Drosophila_altiplanica,5,
Diptera,Drosophilidae,Drosophila_ambigua,5,XY
Diptera,Drosophilidae,Drosophila_ambigua,5,XY
Diptera,Drosophilidae,Drosophila_americana,4,
Diptera,Drosophilidae,Drosophila_americana,4,XY
Diptera,Drosophilidae,Drosophila_americana,4,
Diptera,Drosophilidae,Drosophila_americana,4,
Diptera,Drosophilidae,Drosophila_amplilobus,5,
Diptera,Drosophilidae,Drosophila_amplilobus,5,
Diptera,Drosophilidae,Drosophila_ananassae,4,
Diptera,Drosophilidae,Drosophila_ananassae,4,XY
Diptera,Drosophilidae,Drosophila_ananassae,4,XY
Diptera,Drosophilidae,Drosophila_ananassae,4,XY
Diptera,Drosophilidae,Drosophila_anceps,6,XY
Diptera,Drosophilidae,Drosophila_anceps,6,XY
Diptera,Drosophilidae,Drosophila_andamensis,4,XY
Diptera,Drosophilidae,Drosophila_andamensis,4,XY
Diptera,Drosophilidae,Drosophila_andamensis,4,XY
Diptera,Drosophilidae,Drosophila_andina,5,XY
Diptera,Drosophilidae,Drosophila_angularis,6,
Diptera,Drosophilidae,Drosophila_angustibucca,6,
Diptera,Drosophilidae,Drosophila_annulimana,5,XO
Diptera,Drosophilidae,Drosophila_annulipes,3,XY
Diptera,Drosophilidae,Drosophila_annulipes,3,
Diptera,Drosophilidae,Drosophila_anomalipes,6,
Diptera,Drosophilidae,Drosophila_anomelani,4,XY
Diptera,Drosophilidae,Drosophila_anomelani,4,XY
Diptera,Drosophilidae,Drosophila_anoplastoma,6,
Diptera,Drosophilidae,Drosophila_antilla,4,
Diptera,Drosophilidae,Drosophila_aracea,3,
Diptera,Drosophilidae,Drosophila_aracea,3,
Diptera,Drosophilidae,Drosophila_aracea,3,
Diptera,Drosophilidae,Drosophila_aracea,3,
Diptera,Drosophilidae,Drosophila_araicas,5,
Diptera,Drosophilidae,Drosophila_arapuan,4,XY
Diptera,Drosophilidae,Drosophila_ararama,5,
Diptera,Drosophilidae,Drosophila_arassari,6,XY
Diptera,Drosophilidae,Drosophila_arauana,6,
Diptera,Drosophilidae,Drosophila_araucana,6,XY
Diptera,Drosophilidae,Drosophila_arauna,6,
Diptera,Drosophilidae,Drosophila_arawakana,4,
Diptera,Drosophilidae,Drosophila_arawakana,4,XY
Diptera,Drosophilidae,Drosophila_arawakana_kittensis,4,
Diptera,Drosophilidae,Drosophila_arcuata,6,
Diptera,Drosophilidae,Drosophila_argentostriata,6,
Diptera,Drosophilidae,Drosophila_arizonensis,6,XY
Diptera,Drosophilidae,Drosophila_arizonensis,6,XY
Diptera,Drosophilidae,Drosophila_asketostoma,6,
Diptera,Drosophilidae,Drosophila_asper,6,
Diptera,Drosophilidae,Drosophila_assita,6,
Diptera,Drosophilidae,Drosophila_atalaia,3,XY
Diptera,Drosophilidae,Drosophila_athabasca,5,XY
Diptera,Drosophilidae,Drosophila_athabasca,5,
Diptera,Drosophilidae,Drosophila_athabasca,5,
Diptera,Drosophilidae,Drosophila_athabasca,5,
Diptera,Drosophilidae,Drosophila_athabasca,5,XY
Diptera,Drosophilidae,Drosophila_atrata,6,
Diptera,Drosophilidae,Drosophila_atrata,6,XY
Diptera,Drosophilidae,Drosophila_atrimentum,6,
Diptera,Drosophilidae,Drosophila_atripex,4,XY
Diptera,Drosophilidae,Drosophila_atripex,4,XY
Diptera,Drosophilidae,Drosophila_atroscutellata,6,
Diptera,Drosophilidae,Drosophila_attigua,6,
Diptera,Drosophilidae,Drosophila_auraria,4,XY
Diptera,Drosophilidae,Drosophila_auraria,4,XY
Diptera,Drosophilidae,Drosophila_auraria,4,XY
Diptera,Drosophilidae,Drosophila_aureata,6,XY
Diptera,Drosophilidae,Drosophila_austrosaltans,3,
Diptera,Drosophilidae,Drosophila_azteca,5,XY
Diptera,Drosophilidae,Drosophila_azteca,5,
Diptera,Drosophilidae,Drosophila_azteca,5,
Diptera,Drosophilidae,Drosophila_azteca,5,
Diptera,Drosophilidae,Drosophila_azteca,5,XY
Diptera,Drosophilidae,Drosophila_baelladunni,4,
Diptera,Drosophilidae,Drosophila_baimaii,4,XY
Diptera,Drosophilidae,Drosophila_baimaii,3,XY
Diptera,Drosophilidae,Drosophila_baimaii,4,XY
Diptera,Drosophilidae,Drosophila_bakoue,4,
Diptera,Drosophilidae,Drosophila_bakoue,4,XY
Diptera,Drosophilidae,Drosophila_balioptera,6,
Diptera,Drosophilidae,Drosophila_bandeirantorum,6,XY
Diptera,Drosophilidae,Drosophila_barbarae,4,XY
Diptera,Drosophilidae,Drosophila_barbarae,3,XY
Diptera,Drosophilidae,Drosophila_barbarae,4,XY
Diptera,Drosophilidae,Drosophila_basimacula,6,
Diptera,Drosophilidae,Drosophila_basisetae,6,
Diptera,Drosophilidae,Drosophila_bedicheki,4,
Diptera,Drosophilidae,Drosophila_belladunni,4,XY
Diptera,Drosophilidae,Drosophila_betari,5,XY
Diptera,Drosophilidae,Drosophila_biarmipes,4,XY
Diptera,Drosophilidae,Drosophila_biarmipes,4,XY
Diptera,Drosophilidae,Drosophila_biauraria,3,XY
Diptera,Drosophilidae,Drosophila_bicornuta,4,XY
Diptera,Drosophilidae,Drosophila_bifasciata,5,
Diptera,Drosophilidae,Drosophila_bifasciata,5,XY
Diptera,Drosophilidae,Drosophila_bifasicata,5,XY
Diptera,Drosophilidae,Drosophila_bifurca,6,XY
Diptera,Drosophilidae,Drosophila_bifurca,6,XY
Diptera,Drosophilidae,Drosophila_bifurca,6,XY
Diptera,Drosophilidae,Drosophila_bifurca,6,
Diptera,Drosophilidae,Drosophila_bifurca_I,6,XY
Diptera,Drosophilidae,Drosophila_bifurca_II,6,XY
Diptera,Drosophilidae,Drosophila_biopaca,3,
Diptera,Drosophilidae,Drosophila_bipectinata,4,XY
Diptera,Drosophilidae,Drosophila_bipectinata,4,
Diptera,Drosophilidae,Drosophila_bipunctata,6,XY
Diptera,Drosophilidae,Drosophila_birchii,4,XY
Diptera,Drosophilidae,Drosophila_birchii,4,XY
Diptera,Drosophilidae,Drosophila_birchii,4,
Diptera,Drosophilidae,Drosophila_biseriata,5,
Diptera,Drosophilidae,Drosophila_biseriata-like,6,
Diptera,Drosophilidae,Drosophila_bizonata,4,XY
Diptera,Drosophilidae,Drosophila_blumelae,6,XY
Diptera,Drosophilidae,Drosophila_bocainensis,3,XY
Diptera,Drosophilidae,Drosophila_bocainensis,3,XY
Diptera,Drosophilidae,Drosophila_bocainensis,3,
Diptera,Drosophilidae,Drosophila_bocainoides,3,
Diptera,Drosophilidae,Drosophila_bocki,4,XY
Diptera,Drosophilidae,Drosophila_bocki,4,XY
Diptera,Drosophilidae,Drosophila_bocki,4,XY
Diptera,Drosophilidae,Drosophila_bocqueti,4,
Diptera,Drosophilidae,Drosophila_bocqueti,4,XY
Diptera,Drosophilidae,Drosophila_borborema,6,
Diptera,Drosophilidae,Drosophila_borborema,6,
Diptera,Drosophilidae,Drosophila_borealis,5,
Diptera,Drosophilidae,Drosophila_borealis,6,
Diptera,Drosophilidae,Drosophila_borealis,6,
Diptera,Drosophilidae,Drosophila_bostrycha,6,
Diptera,Drosophilidae,Drosophila_brachynephros,6,
Diptera,Drosophilidae,Drosophila_brevicarinata,6,XY
Diptera,Drosophilidae,Drosophila_briegeri,4,
Diptera,Drosophilidae,Drosophila_briegeri,4,XY
Diptera,Drosophilidae,Drosophila_briegeri,4,XY
Diptera,Drosophilidae,Drosophila_bristle_foot,5,
Diptera,Drosophilidae,Drosophila_brncici,5,
Diptera,Drosophilidae,Drosophila_brncici,5,
Diptera,Drosophilidae,Drosophila_bromeliae,4,XY
Diptera,Drosophilidae,Drosophila_bromeliae,4,
Diptera,Drosophilidae,Drosophila_bromelioides,4,XY
Diptera,Drosophilidae,Drosophila_bromelioides,4,XY
Diptera,Drosophilidae,Drosophila_brooksae,4,XY
Diptera,Drosophilidae,Drosophila_brunneipalpa,6,XY
Diptera,Drosophilidae,Drosophila_brunneipennis,6,
Diptera,Drosophilidae,Drosophila_bryani,3,
Diptera,Drosophilidae,Drosophila_busckii,3,
Diptera,Drosophilidae,Drosophila_busckii,3,XY
Diptera,Drosophilidae,Drosophila_buzzatii,6,XY
Diptera,Drosophilidae,Drosophila_buzzatii,6,XY
Diptera,Drosophilidae,Drosophila_buzzatii,6,XY
Diptera,Drosophilidae,Drosophila_californica,4,
Diptera,Drosophilidae,Drosophila_calloptera,5,XY
Diptera,Drosophilidae,Drosophila_calloptera,5,
Diptera,Drosophilidae,Drosophila_camargoi,4,
Diptera,Drosophilidae,Drosophila_camargoi,4,XY
Diptera,Drosophilidae,Drosophila_camaronensis,5,
Diptera,Drosophilidae,Drosophila_canalinea,3,XY
Diptera,Drosophilidae,Drosophila_canalinea,4,
Diptera,Drosophilidae,Drosophila_canalinioides,6,XY
Diptera,Drosophilidae,Drosophila_canalinioides,6,XY
Diptera,Drosophilidae,Drosophila_canapalpa,6,XY
Diptera,Drosophilidae,Drosophila_canapalpa,6,
Diptera,Drosophilidae,Drosophila_cancellata,5,
Diptera,Drosophilidae,Drosophila_caponei,4,
Diptera,Drosophilidae,Drosophila_capricorni,3,XY
Diptera,Drosophilidae,Drosophila_carbonaria,6,
Diptera,Drosophilidae,Drosophila_carcinophila,5,
Diptera,Drosophilidae,Drosophila_cardini,6,XY
Diptera,Drosophilidae,Drosophila_cardini,6,
Diptera,Drosophilidae,Drosophila_cardini,4,
Diptera,Drosophilidae,Drosophila_cardini,6,
