major_group,family,genus,genus,species,sporophytic,haploid
Angiosperms,Orchidaceae,Epipactis,Epipactis,Epipactis_helleborine,40,4
Angiosperms,Orchidaceae,Erycina,Erycina,Erycina_pusilla,10,5
Angiosperms,Orchidaceae,Erycina,Erycina,Erycina_pusilla,10,5
Angiosperms,Orchidaceae,Erycina,Erycina,Erycina_pusilla,10,5
Angiosperms,Orchidaceae,Erycina,Erycina,Erycina_pusilla,10,5
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_glossula,10,5
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,10,5
Angiosperms,Orchidaceae,Erycina,Erycina,Erycina_pusilla,12,6
Angiosperms,Orchidaceae,Spathoglottis,Spathoglottis,Spathoglottis_aurea,12,6
Angiosperms,Orchidaceae,Cynorkis,Cynorkis,Cynorkis_anacamptoides,14,7
Angiosperms,Orchidaceae,Lockhartia,Lockhartia,Lockhartia_oerstedii,14,7
Angiosperms,Orchidaceae,Bletilla,Bletilla,Bletilla_formosana,16,8
Angiosperms,Orchidaceae,Chloraea,Chloraea,Chloraea_multiflora,,8
Angiosperms,Orchidaceae,Diploprora,Diploprora,Diploprora_championii,16,8
Angiosperms,Orchidaceae,Platanthera,Platanthera,Platanthera_bifolia,16,8
Angiosperms,Orchidaceae,Platanthera,Platanthera,Platanthera_bifolia,16,8
Angiosperms,Orchidaceae,Calanthe,Calanthe,Calanthe_triplicata,18,9
Angiosperms,Orchidaceae,Cleistesiopsis,Cleistesiopsis,Cleistesiopsis_bifaria,18,9
Angiosperms,Orchidaceae,Cleistesiopsis,Cleistesiopsis,Cleistesiopsis_divaricata,18,9
Angiosperms,Orchidaceae,Cleistesiopsis,Cleistesiopsis,Cleistesiopsis_divaricata,18,9
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_muscicola,18,9
Angiosperms,Orchidaceae,Isotria,Isotria,Isotria_medeoloides,18,9
Angiosperms,Orchidaceae,Isotria,Isotria,Isotria_medeoloides,18,9
Angiosperms,Orchidaceae,Isotria,Isotria,Isotria_verticillata,18,9
