"class","order","family","species","haploid"
"Actinopteri","Cichliformes","Cichlidae","acarichthys_heckelii",24
"Actinopteri","Cichliformes","Cichlidae","aequidens_metae",24
"Actinopteri","Cichliformes","Cichlidae","aequidens_plagiozonatus",24
"Actinopteri","Cichliformes","Cichlidae","aequidens_pulcher",24
"Actinopteri","Cichliformes","Cichlidae","amphilophus_citrinellus",24
"Actinopteri","Cichliformes","Cichlidae","amphilophus_citrinellus",24
"Actinopteri","Cichliformes","Cichlidae","anomalochromis_thomasi",24
"Actinopteri","Cichliformes","Cichlidae","apistogramma_agassizii",20
"Actinopteri","Cichliformes","Cichlidae","apistogramma_cacatuoides",23
"Actinopteri","Cichliformes","Cichlidae","apistogramma_ortmanni",19
"Actinopteri","Cichliformes","Cichlidae","apistogramma_ortmanni",23
"Actinopteri","Cichliformes","Cichlidae","archocentrus_centrarchus",24
"Actinopteri","Cichliformes","Cichlidae","archocentrus_nigrofasciatus",24
"Actinopteri","Cichliformes","Cichlidae","archocentrus_septemfasciatus",24
"Actinopteri","Cichliformes","Cichlidae","archocentrus_spilurus",24
"Actinopteri","Cichliformes","Cichlidae","archocentrus_spilurus",24
"Actinopteri","Cichliformes","Cichlidae","astatotilapia_burtoni",20
"Actinopteri","Cichliformes","Cichlidae","astronotus_ocellatus",24
"Actinopteri","Cichliformes","Cichlidae","astronotus_ocellatus",24
"Actinopteri","Cichliformes","Cichlidae","astronotus_ocellatus",24
"Actinopteri","Cichliformes","Cichlidae","astronotus_ocellatus",24
"Actinopteri","Cichliformes","Cichlidae","aulonocara_baenschi",22
"Actinopteri","Cichliformes","Cichlidae","aulonocara_hueseri",22
"Actinopteri","Cichliformes","Cichlidae","aulonocara_korneliae",22
"Actinopteri","Cichliformes","Cichlidae","aulonocara_stuartgranti",22
"Actinopteri","Cichliformes","Cichlidae","aulonocara_stuartgranti",22
"Actinopteri","Cichliformes","Cichlidae","australoheros_facetus",24
"Actinopteri","Cichliformes","Cichlidae","australoheros_facetus",24
"Actinopteri","Cichliformes","Cichlidae","australoheros_facetus",24
"Actinopteri","Cichliformes","Cichlidae","caquetaia_kraussii",25
"Actinopteri","Cichliformes","Cichlidae","chaetobranchopsis_australe",24
"Actinopteri","Cichliformes","Cichlidae","chromidotilapia_batesii",21
"Actinopteri","Cichliformes","Cichlidae","chromidotilapia_finleyi",24
"Actinopteri","Cichliformes","Cichlidae","cichla_monoculus",24
"Actinopteri","Cichliformes","Cichlidae","cichla_temensis",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_beani",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_bimaculatum",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_dimerus",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_dovii",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_istlanum",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_istlanum",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_octofasciatum",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_paranaense",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_portalegrensis",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_salvini",26
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_trimaculatum",24
"Actinopteri","Cichliformes","Cichlidae","cichlasoma_trimaculatum",24
"Actinopteri","Cichliformes","Cichlidae","cleithracara_maronii",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_britskii",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_cincta",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_iguassuensis",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_iguassuensis",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_inpa",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lacustris",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lepidota",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lepidota",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lepidota",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lepidota",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lucius",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_lugubris",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_niederleinii",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_niederleinii",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_niederleinii",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_notophthalmus",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_reticulata",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_saxatilis",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_strigata",24
"Actinopteri","Cichliformes","Cichlidae","crenicichla_vittata",24
"Actinopteri","Cichliformes","Cichlidae","dicrossus_filamentosus",23
"Actinopteri","Cichliformes","Cichlidae","dicrossus_maculatus",23
"Actinopteri","Cichliformes","Cichlidae","etroplus_maculatus",23
"Actinopteri","Cichliformes","Cichlidae","etroplus_maculatus",23
"Actinopteri","Cichliformes","Cichlidae","etroplus_suratensis",24
"Actinopteri","Cichliformes","Cichlidae","etroplus_suratensis",24
"Actinopteri","Cichliformes","Cichlidae","geophagus_brasiliensis",24
"Actinopteri","Cichliformes","Cichlidae","geophagus_brasiliensis",24
"Actinopteri","Cichliformes","Cichlidae","geophagus_brasiliensis",24
"Actinopteri","Cichliformes","Cichlidae","geophagus_brasiliensis",24
"Actinopteri","Cichliformes","Cichlidae","geophagus_brasiliensis",24
"Actinopteri","Cichliformes","Cichlidae","geophagus_surinamensis",24
"Actinopteri","Cichliformes","Cichlidae","gymnogeophagus_balzanii",24
"Actinopteri","Cichliformes","Cichlidae","gymnogeophagus_balzanii",24
"Actinopteri","Cichliformes","Cichlidae","gymnogeophagus_gymnogenys",24
"Actinopteri","Cichliformes","Cichlidae","gymnogeophagus_labiatus",24
"Actinopteri","Cichliformes","Cichlidae","gymnogeophagus_lacustris",24
"Actinopteri","Cichliformes","Cichlidae","gymnogeophagus_rhabdotus",24
"Actinopteri","Cichliformes","Cichlidae","haplochromis_flaviijosephi",22
"Actinopteri","Cichliformes","Cichlidae","haplochromis_obliquidens",22
"Actinopteri","Cichliformes","Cichlidae","hemichromis_bimaculatus",22
"Actinopteri","Cichliformes","Cichlidae","hemihaplochromis_multicolor",22
"Actinopteri","Cichliformes","Cichlidae","herichthys_cyanoguttatus",24
"Actinopteri","Cichliformes","Cichlidae","herichthys_labridens",24
"Actinopteri","Cichliformes","Cichlidae","heros_severus",24
"Actinopteri","Cichliformes","Cichlidae","herotilapia_multispinosa",24
"Actinopteri","Cichliformes","Cichlidae","heterochromis_multidens",21
"Actinopteri","Cichliformes","Cichlidae","hypselecara_coryphaenoides",24
"Actinopteri","Cichliformes","Cichlidae","julidochromis_ornatus",22
"Actinopteri","Cichliformes","Cichlidae","krobia_itanyi",23
"Actinopteri","Cichliformes","Cichlidae","labeotropheus_fuelleborni",22
"Actinopteri","Cichliformes","Cichlidae","labrus_bimaculatus",24
"Actinopteri","Cichliformes","Cichlidae","laetacara_curviceps",19
"Actinopteri","Cichliformes","Cichlidae","lamprologus_congoensis",22
"Actinopteri","Cichliformes","Cichlidae","melanochromis_auratus",23
"Actinopteri","Cichliformes","Cichlidae","melanochromis_auratus",23
