"class","order","family","species","haploid"
"Actinopteri","Characiformes","Anostomidae","abramites hypselonotus","27"
"Actinopteri","Characiformes","Anostomidae","abramites hypselonotus","27"
"Actinopteri","Characiformes","Acestrorhynchidae","acestrorhynchus altus","25"
"Actinopteri","Characiformes","Acestrorhynchidae","acestrorhynchus lacustris","25"
"Actinopteri","Characiformes","Acestrorhynchidae","acestrorhynchus pantaneiro","25"
"Actinopteri","Characiformes","Hemiodontidae","anodus elongatus","27"
"Actinopteri","Characiformes","Hemiodontidae","anodus elongatus","27"
"Actinopteri","Characiformes","Hemiodontidae","anodus elongatus","27"
"Actinopteri","Characiformes","Anostomidae","anostomus anostomus","27"
"Actinopteri","Characiformes","Anostomidae","anostomus ternetzi","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27.5"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27.5"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27.5"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27.5"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27.5"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27.5"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon affinis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon ibitiensis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon ibitiensis","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon piracicabae","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon piracicabae","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon vittatus","27"
"Actinopteri","Characiformes","Parodontidae","apareiodon vittatus","27"
"Actinopteri","Characiformes","Characidae","aphyocharax alburnus","25"
"Actinopteri","Characiformes","Characidae","aphyocharax alburnus","25"
"Actinopteri","Characiformes","Characidae","aphyocharax anisitsi","25"
"Actinopteri","Characiformes","Characidae","aphyocharax anisitsi","25"
"Actinopteri","Characiformes","Characidae","aphyocharax dentatus","25"
"Actinopteri","Characiformes","Characidae","aphyocharax dentatus","25"
"Actinopteri","Characiformes","Hemiodontidae","argonectes longiceps","27"
"Actinopteri","Characiformes","Alestidae","arnoldichthys spilopterus","28"
"Actinopteri","Characiformes","Characidae","astyanax abramis","25"
"Actinopteri","Characiformes","Characidae","astyanax altiparanae","25"
"Actinopteri","Characiformes","Characidae","astyanax altiparanae","25"
"Actinopteri","Characiformes","Characidae","astyanax altiparanae","25"
"Actinopteri","Characiformes","Characidae","astyanax altiparanae","25"
"Actinopteri","Characiformes","Characidae","astyanax altiparanae","25"
"Actinopteri","Characiformes","Characidae","astyanax altiparanae","25"
"Actinopteri","Characiformes","Characidae","astyanax asuncionensis","25"
"Actinopteri","Characiformes","Characidae","astyanax bimaculatus","25"
"Actinopteri","Characiformes","Characidae","astyanax bimaculatus","25"
"Actinopteri","Characiformes","Characidae","astyanax bimaculatus","25"
"Actinopteri","Characiformes","Characidae","brachychalcinus copei","25"
"Actinopteri","Characiformes","Bryconidae","brycon cephalus","25"
"Actinopteri","Characiformes","Bryconidae","brycon cephalus","25"
"Actinopteri","Characiformes","Bryconidae","brycon falcatus","25"
"Actinopteri","Characiformes","Bryconidae","brycon falcatus","25"
"Actinopteri","Characiformes","Bryconidae","brycon hilarii","25"
"Actinopteri","Characiformes","Bryconidae","brycon hilarii","25"
"Actinopteri","Characiformes","Bryconidae","brycon insignis","25"
"Actinopteri","Characiformes","Bryconidae","brycon insignis","25"
"Actinopteri","Characiformes","Bryconidae","brycon insignis","25"
"Actinopteri","Characiformes","Bryconidae","brycon insignis","25"
"Actinopteri","Characiformes","Bryconidae","brycon orbignyanus","25"
"Actinopteri","Characiformes","Bryconidae","brycon orbignyanus","25"
"Actinopteri","Characiformes","Bryconidae","brycon orthotaenia","25"
"Actinopteri","Characiformes","Characidae","bryconamericus stramineus","26"
"Actinopteri","Characiformes","Characidae","bryconella pallidifrons","25"
"Actinopteri","Characiformes","Iguanodectidae","bryconops humeralis","25"
"Actinopteri","Characiformes","Chilodontidae","caenotropus labyrinthicus","27"
"Actinopteri","Characiformes","Gasteropelecidae","carnegiella marthae","25"
"Actinopteri","Characiformes","Gasteropelecidae","carnegiella marthae","25"
"Actinopteri","Characiformes","Gasteropelecidae","carnegiella strigata","25-26"
"Actinopteri","Characiformes","Gasteropelecidae","carnegiella strigata","24"
"Actinopteri","Characiformes","Gasteropelecidae","carnegiella strigata","25"
"Actinopteri","Characiformes","Gasteropelecidae","carnegiella strigata","25"
"Actinopteri","Characiformes","Chalceidae","chalceus macrolepidotus","27"
