Order,Family,species,Meioformula,,hapauto,scs,haploid
Coleoptera,Tenebrionidae,Adesmia_biskrensis,2n,18M,8,Xyp,9
Coleoptera,Tenebrionidae,Adesmia_cancellata,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Adesmia_metallica,2n,18M,8,Xyp,9
Coleoptera,Tenebrionidae,Adesmia_monta,2n,20M,9,XY,10
Coleoptera,Tenebrionidae,Aemymone_cariosa,2n,18M,8,Xyp,9
Coleoptera,Tenebrionidae,Agapanthia_korostelevi,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Agapanthia_walteri,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Akis_acumita,2n,16M,7,NeoXY,8
Coleoptera,Tenebrionidae,Akis_bacarozzo,2n,16M,7,NeoXY,8
Coleoptera,Tenebrionidae,Akis_bremeri,2n,16M,7,NeoXY,8
Coleoptera,Tenebrionidae,Akis_discoidea,2n,16M,7,NeoXY,8
Coleoptera,Tenebrionidae,Alobates_pennsylvanica,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Alphasida_depressa,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Alphasida_sp.,2n,18M,8,Xyp,9
Coleoptera,Tenebrionidae,Alphitobius_diaperinus,2n,19M,9,XO,10
Coleoptera,Tenebrionidae,Alphitobius_pliceus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Alphitobius_sp.,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Ammobius_rufus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Arthrodeis_curtus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Arthrodeis_inflatus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Arthrodeis_punctulatus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Arthromacra_aenea,2n,14M,6,NeoXY,7
Coleoptera,Tenebrionidae,Asida_cardoe,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Asida_glacialis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Asida_glacialis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Asida_jurinei,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Asida_maraguesi,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Asida_planipennis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Blaps_bedeli,2n,34M,15,XXXY,18
Coleoptera,Tenebrionidae,Blaps_judaeorum,2n,19M,8,XXY,10
Coleoptera,Tenebrionidae,Blaps_judaeorum,2n,21M,9,XXY,11
Coleoptera,Tenebrionidae,Blaps_lethifera,2n,37M,17,XXY,19
Coleoptera,Tenebrionidae,Blaps_lusitanica,2n,19M,8,XXY,10
Coleoptera,Tenebrionidae,Blaps_lusitanica,2n,35M,15,XXXXY,19
Coleoptera,Tenebrionidae,Blaps_mortisaga,2n,36M,16,XXXY,19
Coleoptera,Tenebrionidae,Blaps_mucrotana,2n,36M,16,XXXY,19
Coleoptera,Tenebrionidae,Blaps_sulcata,2n,34M,15,XXXY,18
Coleoptera,Tenebrionidae,Blaps_tenuicollis,2n,36M,15,XXXXYY,19
Coleoptera,Tenebrionidae,Blaps_waltli,2n,34M,15,XXXY,18
Coleoptera,Tenebrionidae,Blaps_wiedemanni,2n,25M,10,XXXXY,14
Coleoptera,Tenebrionidae,Blapstinus_sp.,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Bolitopherus_cornutus,2n,19M,9,XO,10
Coleoptera,Tenebrionidae,Caenoblaps_nitida,2n,35M,16,XXY,18
Coleoptera,Tenebrionidae,Clitobius_ovatus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Cossyphus_depressus,2n,18M,8,Xyp,9
Coleoptera,Tenebrionidae,Cryptycus_gibbulus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Cynaeus_angustus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Dailognatha_pumila,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Derosphaerus_cribum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Diaperis_boleti,2n,14M,6,NeoXY,7
Coleoptera,Tenebrionidae,Diastolinus_fortipes,2n,26M,12,Xyp,13
Coleoptera,Tenebrionidae,Elenophorus_collaris,2n,26M,12,Xyp,13
Coleoptera,Tenebrionidae,Eleodes_armata,2n,20M,9,NeoXY,10
Coleoptera,Tenebrionidae,Eleodes_cordata,2n,20M,9,NeoXY,10
Coleoptera,Tenebrionidae,Eleodes_dentipes,2n,20M,9,NeoXY,10
Coleoptera,Tenebrionidae,Erodius_emondi,2n,20M,9,Xyr,10
Coleoptera,Tenebrionidae,Erodius_emondi,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Erodius_exilipes,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Erodius_lefranci,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Erodius_nitidicollis,2n,20M,9,Xyr,10
Coleoptera,Tenebrionidae,Erodius_orientalis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Eulabris_sp.,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Glabrasida_goudoti,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Glabrasida_melillense,2n,18M,8,Xyp,9
Coleoptera,Tenebrionidae,Glabrasida_zapateri,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gnathocerus_cornutus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gnathocerus_maxillosus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_bilineatum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_depressum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_dorsogranosum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_elongatum,2n,20M,9,Xyr,10
Coleoptera,Tenebrionidae,Gonocephalum_hoffmannseggi,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_oblongum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_parallelum,2n,20M,9,XY,10
Coleoptera,Tenebrionidae,Gonocephalum_patruele,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_rusticum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_sp.,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Gonocephalum_vagum,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_amaroides,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_brevicollis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_costipennis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_fernandezi,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_grancanariensis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_lateralis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_politus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_tenuipunctatus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_transversus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hegeter_tristis,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Himatismus_fasciculatus,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Hoplobrachium_asperipenne,2n,22M,10,Xyp,11
Coleoptera,Tenebrionidae,Hoplobrachium_dentipes,2n,22M,10,Xyp,11
Coleoptera,Tenebrionidae,Hylocrinua_sp.,2n,20M,9,Xyp,10
Coleoptera,Tenebrionidae,Isocerus_balearicus,2n,20M,9,Xyp,10
