Clade,Family,species,Genus,species,haploid
Angiosperms,Fabaceae,Adesmia_incana,Adesmia,incana,10
Angiosperms,Fabaceae,Adesmia_latifolia,Adesmia,latifolia,10
Angiosperms,Fabaceae,Adesmia_muricata,Adesmia,muricata,10
Angiosperms,Fabaceae,Adesmia_psoraleoides,Adesmia,psoraleoides,10
Angiosperms,Fabaceae,Adesmia_punctata,Adesmia,punctata,10
Angiosperms,Fabaceae,Adesmia_reitziana,Adesmia,reitziana,10
Angiosperms,Fabaceae,Adesmia_riograndensis,Adesmia,riograndensis,10
Angiosperms,Fabaceae,Adesmia_rocinhensis,Adesmia,rocinhensis,10
Angiosperms,Fabaceae,Adesmia_securigerifolia,Adesmia,securigerifolia,10
Angiosperms,Fabaceae,Adesmia_tristis,Adesmia,tristis,10
Angiosperms,Fabaceae,Adesmia_vallsii,Adesmia,vallsii,10
Angiosperms,Fabaceae,Aeschynomene_afraspera,Aeschynomene,afraspera,40
Angiosperms,Fabaceae,Aeschynomene_americana,Aeschynomene,americana,10
Angiosperms,Fabaceae,Aeschynomene_aspera,Aeschynomene,aspera,20
Angiosperms,Fabaceae,Aeschynomene_brevipes,Aeschynomene,brevipes,10
Angiosperms,Fabaceae,Aeschynomene_falcata,Aeschynomene,falcata,10
Angiosperms,Fabaceae,Aeschynomene_histrix,Aeschynomene,histrix,10
Angiosperms,Fabaceae,Aeschynomene_indica,Aeschynomene,indica,20
Angiosperms,Fabaceae,Aeschynomene_racemosa,Aeschynomene,racemosa,10
Angiosperms,Fabaceae,Aeschynomene_sensitiva,Aeschynomene,sensitiva,10
Angiosperms,Fabaceae,Afzelia_africana,Afzelia,africana,12
Angiosperms,Fabaceae,Afzelia_bella,Afzelia,bella,12
Angiosperms,Fabaceae,Afzelia_bipindensis,Afzelia,bipindensis,12
Angiosperms,Fabaceae,Afzelia_martabanica,Afzelia,martabanica,14
Angiosperms,Fabaceae,Afzelia_quanzensis,Afzelia,quanzensis,35
Angiosperms,Fabaceae,Albizia_acle,Albizia,acle,12
Angiosperms,Fabaceae,Albizia_adinocephala,Albizia,adinocephala,13
Angiosperms,Fabaceae,Albizia_amara,Albizia,amara,13
Angiosperms,Fabaceae,Albizia_chinensis,Albizia,chinensis,13
Angiosperms,Fabaceae,Albizia_cubana,Albizia,cubana,13
Angiosperms,Fabaceae,Albizia_julibrissin,Albizia,julibrissin,13
Angiosperms,Fabaceae,Albizia_lebbeck,Albizia,lebbeck,13
Angiosperms,Fabaceae,Albizia_lucidior,Albizia,lucidior,13
Angiosperms,Fabaceae,Albizia_odoratissima,Albizia,odoratissima,13
Angiosperms,Fabaceae,Albizia_procera,Albizia,procera,13
Angiosperms,Fabaceae,Albizia_saman,Albizia,saman,13
Angiosperms,Fabaceae,Alhagi_maurorum,Alhagi,maurorum,8
Angiosperms,Fabaceae,Alysicarpus_bupleurifolius,Alysicarpus,bupleurifolius,8
Angiosperms,Fabaceae,Alysicarpus_gamblei,Alysicarpus,gamblei,8
Angiosperms,Fabaceae,Alysicarpus_glumaceus,Alysicarpus,glumaceus,16
Angiosperms,Fabaceae,Alysicarpus_hamosus,Alysicarpus,hamosus,8
Angiosperms,Fabaceae,Alysicarpus_heterophyllus,Alysicarpus,heterophyllus,8
Angiosperms,Fabaceae,Alysicarpus_heyneanus,Alysicarpus,heyneanus,8
Angiosperms,Fabaceae,Alysicarpus_longifolius,Alysicarpus,longifolius,8
Angiosperms,Fabaceae,Alysicarpus_monilifer,Alysicarpus,monilifer,8
Angiosperms,Fabaceae,Alysicarpus_ovalifolius,Alysicarpus,ovalifolius,8
Angiosperms,Fabaceae,Alysicarpus_pubescens,Alysicarpus,pubescens,8
Angiosperms,Fabaceae,Alysicarpus_rugosus,Alysicarpus,rugosus,8
Angiosperms,Fabaceae,Alysicarpus_scariosus,Alysicarpus,scariosus,8
Angiosperms,Fabaceae,Alysicarpus_tetragonolobus,Alysicarpus,tetragonolobus,8
Angiosperms,Fabaceae,Alysicarpus_vaginalis,Alysicarpus,vaginalis,8
Angiosperms,Fabaceae,Amerimnon_stipulatum,Amerimnon,stipulatum,10
Angiosperms,Fabaceae,Amherstia_nobilis,Amherstia,nobilis,12
Angiosperms,Fabaceae,Amicia_zygomeris,Amicia,zygomeris,19
Angiosperms,Fabaceae,Ammodendron_conollyi,Ammodendron,conollyi,9
Angiosperms,Fabaceae,Ammopiptanthus_mongolicus,Ammopiptanthus,mongolicus,9
Angiosperms,Fabaceae,Amoria_orbelica,Amoria,orbelica,8
Angiosperms,Fabaceae,Amorpha_canescens,Amorpha,canescens,10
Angiosperms,Fabaceae,Amorpha_fruticosa,Amorpha,fruticosa,20
Angiosperms,Fabaceae,Amphicarpaea_bracteata,Amphicarpaea,bracteata,11
Angiosperms,Fabaceae,Anadenanthera_colubrina,Anadenanthera,colubrina,12
Angiosperms,Fabaceae,Anagyris_foetida,Anagyris,foetida,9
Angiosperms,Fabaceae,Anarthrophyllum_elegans,Anarthrophyllum,elegans,12
Angiosperms,Fabaceae,Andira_humilis,Andira,humilis,11
Angiosperms,Fabaceae,Andira_inermis,Andira,inermis,11
Angiosperms,Fabaceae,Anthyllis_alpestris,Anthyllis,alpestris,6
Angiosperms,Fabaceae,Anthyllis_cornicina,Anthyllis,cornicina,14
Angiosperms,Fabaceae,Anthyllis_cytisoides,Anthyllis,cytisoides,7
Angiosperms,Fabaceae,Anthyllis_hamosa,Anthyllis,hamosa,6
Angiosperms,Fabaceae,Anthyllis_henoniana,Anthyllis,henoniana,7
Angiosperms,Fabaceae,Anthyllis_hermanniae,Anthyllis,hermanniae,7
