"Order","Family","species","Diploid.number","Fundamental.number","haploid"
"Anura","Hylidae","dendropsophus_melanargyreus",30,NA,"15"
"Anura","Hylidae","dendropsophus_meridianus",30,NA,"15"
"Anura","Hylidae","dendropsophus_microcephalus",30,NA,"15"
"Anura","Hylidae","dendropsophus_microcephalus",30,NA,"15"
"Anura","Hylidae","dendropsophus_microcephalus",30,60,"15"
"Anura","Hylidae","dendropsophus_microps",30,52,"15"
"Anura","Hylidae","dendropsophus_minutus",30,60,"15"
"Anura","Hylidae","dendropsophus_molitor",30,50,"15"
"Anura","Hylidae","dendropsophus_nahdereri",30,50,"15"
"Anura","Hylidae","dendropsophus_nanus",30,52,"15"
"Anura","Hylidae","dendropsophus_novaisi",30,50,"15"
"Anura","Hylidae","dendropsophus_parviceps",30,52,"15"
"Anura","Hylidae","dendropsophus_phlebodes",30,NA,"15"
"Anura","Hylidae","dendropsophus_rhodopeplus",30,58,"15"
"Anura","Hylidae","dendropsophus_rubicundulus",30,54,"15"
"Anura","Hylidae","dendropsophus_rubicundulus",30,58,"15"
"Anura","Hylidae","dendropsophus_rubicundulus",30,56,"15"
"Anura","Hylidae","dendropsophus_sanborni",30,50,"15"
"Anura","Hylidae","dendropsophus_seniculus",30,50,"15"
"Anura","Hylidae","dendropsophus_seniculus",30,50,"15"
"Anura","Hylidae","dendropsophus_soaresi",30,50,"15"
"Anura","Hylidae","dendropsophus_sp",30,60,"15"
"Anura","Hylidae","dendropsophus_sp_1",30,56,"15"
"Anura","Hylidae","dendropsophus_sp_2",30,50,"15"
"Anura","Hylidae","dendropsophus_sp_3",30,60,"15"
"Anura","Hylidae","dendropsophus_sp_4",30,60,"15"
"Anura","Hylidae","dendropsophus_subocularis",30,NA,"15"
"Anura","Hylidae","dendropsophus_walfordi",30,52,"15"
"Anura","Hylidae","dendropsophus_werneri",30,60,"15"
"Anura","Hylidae","dryophytes_andersonii",24,48,"12"
"Anura","Hylidae","dryophytes_arenicolor",24,48,"12"
"Anura","Hylidae","dryophytes_avivoca",24,48,"12"
"Anura","Hylidae","dryophytes_chrysoscelis",24,48,"12"
"Anura","Hylidae","dryophytes_chrysoscelis",36,NA,"18"
"Anura","Hylidae","dryophytes_cinereus",24,48,"12"
"Anura","Hylidae","dryophytes_euphorbiaceus",24,48,"12"
"Anura","Hylidae","dryophytes_eximius",24,48,"12"
"Anura","Hylidae","dryophytes_femoralis",24,48,"12"
"Anura","Hylidae","dryophytes_femoralis",24,44,"12"
"Anura","Hylidae","dryophytes_gratiosus",24,48,"12"
"Anura","Hylidae","dryophytes_immaculatus",24,48,"12"
"Anura","Hylidae","dryophytes_immaculatus",24,NA,"12"
"Anura","Hylidae","dryophytes_japonicus",24,48,"12"
"Anura","Hylidae","dryophytes_japonicus",24,48,"12"
"Anura","Hylidae","dryophytes_plicatus",24,NA,"12"
"Anura","Hylidae","dryophytes_squirellus",24,48,"12"
"Anura","Hylidae","dryophytes_versicolor",48,96,"24"
"Anura","Hylidae","duellmanohyla_ignicolor",24,NA,"12"
"Anura","Hylidae","duellmanohyla_rufioculis",24,NA,"12"
"Anura","Hylidae","duellmanohyla_uranochroa",24,NA,"12"
"Anura","Hylidae","exerodonta_smaragdina",24,NA,"12"
"Anura","Hylidae","hyla_annectans",24,NA,"12"
"Anura","Hylidae","hyla_arborea",24,48,"12"
"Anura","Hylidae","hyla_chinensis",24,48,"12"
"Anura","Hylidae","hyla_hallowellii",24,48,"12"
"Anura","Hylidae","hyla_meridionalis",24,48,"12"
"Anura","Hylidae","hyla_raniceps",24,NA,"12"
"Anura","Hylidae","hyla_sanchiangensis",24,48,"12"
"Anura","Hylidae","hyla_savignyi",24,48,"12"
"Anura","Hylidae","hyla_tsinlingensis",24,48,"12"
"Anura","Hylidae","hyloscirtus_alytolylax",20,NA,"10"
"Anura","Hylidae","hyloscirtus_jahni",24,48,"12"
"Anura","Hylidae","hyloscirtus_larinopygion",24,NA,"12"
"Anura","Hylidae","hyloscirtus_palmeri",24,NA,"12"
"Anura","Hylidae","isthmohyla_angustilineata",24,NA,"12"
"Anura","Hylidae","isthmohyla_lancasteri",24,48,"12"
"Anura","Hylidae","isthmohyla_pictipes",24,NA,"12"
"Anura","Hylidae","isthmohyla_pseudopuma",24,NA,"12"
"Anura","Hylidae","isthmohyla_rivularis",24,NA,"12"
"Anura","Hylidae","isthmohyla_tica",24,NA,"12"
"Anura","Hylidae","isthmohyla_zeteki",24,48,"12"
"Anura","Hylidae","itapotihyla_langsdorffii",24,48,"12"
"Anura","Hylidae","julianus_uruguayus",24,48,"12"
"Anura","Hylidae","lysapsus_laevis",24,NA,"12"
"Anura","Hylidae","lysapsus_limellum",24,NA,"12"
"Anura","Hylidae","ololygon_albicans",24,48,"12"
"Anura","Hylidae","ololygon_arduous",24,48,"12"
"Anura","Hylidae","ololygon_argyreornata",24,48,"12"
"Anura","Hylidae","ololygon_ariadne",24,48,"12"
"Anura","Hylidae","ololygon_aromothyella",24,48,"12"
"Anura","Hylidae","ololygon_belloni",24,48,"12"
"Anura","Hylidae","ololygon_berthae",24,48,"12"
"Anura","Hylidae","ololygon_boulengeri",24,NA,"12"
"Anura","Hylidae","ololygon_brieni",24,NA,"12"
"Anura","Hylidae","ololygon_brieni",24,48,"12"
"Anura","Hylidae","ololygon_caissara",24,48,"12"
"Anura","Hylidae","ololygon_canastrensis",24,48,"12"
"Anura","Hylidae","ololygon_catharinae",24,NA,"12"
"Anura","Hylidae","ololygon_catharinae",24,48,"12"
"Anura","Hylidae","ololygon_cosenzai",24,48,"12"
"Anura","Hylidae","ololygon_hiemalis",24,48,"12"
"Anura","Hylidae","ololygon_littoralis",24,48,"12"
"Anura","Hylidae","ololygon_longilinea",24,48,"12"
"Anura","Hylidae","ololygon_obtriangulata",24,48,"12"
"Anura","Hylidae","ololygon_perpusilla",24,NA,"12"
"Anura","Hylidae","ololygon_perpusilla",24,48,"12"
"Anura","Hylidae","ololygon_rizibilis",24,48,"12"
"Anura","Hylidae","ololygon_trapicheiroi",24,48,"12"
"Anura","Hylidae","ololygon_tripui",24,48,"12"
"Anura","Hylidae","ololygon_vsignata",24,48,"12"
"Anura","Hylidae","osteocephalus_oophagus",24,NA,"12"
"Anura","Hylidae","osteopilus_ocellatus",34,NA,"17"
"Anura","Hylidae","osteopilus_ocellatus",34,48,"17"
"Anura","Hylidae","osteopilus_septentrionalis",24,NA,"12"
"Anura","Hylidae","osteopilus_septentrionalis",24,48,"12"
"Anura","Hylidae","phyllodytes_edelmoi",22,44,"11"
"Anura","Hylidae","phyllodytes_luteolus",22,44,"11"
"Anura","Hylidae","plectrohyla_ixil",24,NA,"12"
"Anura","Hylidae","plectrohyla_sagorum",24,NA,"12"
"Anura","Hylidae","pseudacris_brachyphona",24,48,"12"
"Anura","Hylidae","pseudacris_brimleyi",26,NA,"13"
"Anura","Hylidae","pseudacris_brimleyi",24,48,"12"
"Anura","Hylidae","pseudacris_cadaverina",24,NA,"12"
"Anura","Hylidae","pseudacris_cadaverina",24,48,"12"
"Anura","Hylidae","pseudacris_clarkii",24,48,"12"
"Anura","Hylidae","pseudacris_crucifer",24,48,"12"
"Anura","Hylidae","pseudacris_feriarum",24,NA,"12"
"Anura","Hylidae","pseudacris_kalmi",24,NA,"12"
"Anura","Hylidae","pseudacris_nigrita",24,48,"12"
"Anura","Hylidae","pseudacris_ocularis_",24,48,"12"
"Anura","Hylidae","pseudacris_ornata",24,48,"12"
"Anura","Hylidae","pseudacris_regilla",24,NA,"12"
"Anura","Hylidae","pseudacris_streckeri",24,48,"12"
"Anura","Hylidae","pseudacris_triseriata",24,48,"12"
"Anura","Hylidae","pseudacris_triseriata_triseriata",24,NA,"12"
"Anura","Hylidae","pseudis_aff_minuta",28,48,"14"
"Anura","Hylidae","pseudis_bolbodactyla",24,48,"12"
"Anura","Hylidae","pseudis_fusca",24,48,"12"
"Anura","Hylidae","pseudis_minuta",24,NA,"12"
"Anura","Hylidae","pseudis_minuta",24,48,"12"
"Anura","Hylidae","pseudis_paradoxa",24,48,"12"
"Anura","Hylidae","pseudis_platensis",24,48,"12"
"Anura","Hylidae","pseudis_tocantins",24,48,"12"
"Anura","Hylidae","ptychohyla_legleri",24,NA,"12"
"Anura","Hylidae","ptychohyla_leonhardschultzei",24,NA,"12"
"Anura","Hylidae","quilticohyla_erythromma",24,NA,"12"
"Anura","Hylidae","sarcohyla_arborescandens",24,NA,"12"
"Anura","Hylidae","sarcohyla_bistincta",24,NA,"12"
"Anura","Hylidae","sarcohyla_hazelae",24,NA,"12"
"Anura","Hylidae","sarcohyla_pentheter",24,NA,"12"
"Anura","Hylidae","sarcohyla_robertsorum",24,NA,"12"
"Anura","Hylidae","scarthyla_goinorum",22,NA,"11"
"Anura","Hylidae","scinax_acuminatus",24,48,"12"
"Anura","Hylidae","scinax_alter",24,48,"12"
"Anura","Hylidae","scinax_auratus",24,48,"12"
"Anura","Hylidae","scinax_baumgardneri",24,48,"12"
"Anura","Hylidae","scinax_boesemani",24,48,"12"
"Anura","Hylidae","scinax_camposseabrai",24,48,"12"
"Anura","Hylidae","scinax_curicica",24,48,"12"
"Anura","Hylidae","scinax_duartei",24,48,"12"
"Anura","Hylidae","scinax_elaeochroa",24,48,"12"
"Anura","Hylidae","scinax_eurydice",24,48,"12"
"Anura","Hylidae","scinax_funereus",24,NA,"12"
"Anura","Hylidae","scinax_fuscomarginatus",24,NA,"12"
"Anura","Hylidae","scinax_fuscomarginatus",24,NA,"12"
"Anura","Hylidae","scinax_fuscomarginatus",24,48,"12"
"Anura","Hylidae","scinax_fuscovarius",24,48,"12"
"Anura","Hylidae","scinax_fuscovarius",24,NA,"12"
"Anura","Hylidae","scinax_fuscovarius",24,48,"12"
"Anura","Hylidae","scinax_fuscovarius",24,NA,"12"
"Anura","Hylidae","scinax_garbei",24,NA,"12"
"Anura","Hylidae","scinax_garbei",24,48,"12"
"Anura","Hylidae","scinax_granulatus",24,48,"12"
"Anura","Hylidae","scinax_hayii",24,NA,"12"
"Anura","Hylidae","scinax_hayii",24,48,"12"
"Anura","Hylidae","scinax_hayii",24,NA,"12"
"Anura","Hylidae","scinax_nasicus",24,48,"12"
"Anura","Hylidae","scinax_pachycrus",24,48,"12"
"Anura","Hylidae","scinax_perereca",24,48,"12"
"Anura","Hylidae","scinax_rostratus",24,NA,"12"
"Anura","Hylidae","scinax_rostratus",24,48,"12"
"Anura","Hylidae","scinax_ruber",24,NA,"12"
"Anura","Hylidae","scinax_ruber",24,48,"12"
"Anura","Hylidae","scinax_similis",24,48,"12"
"Anura","Hylidae","scinax_sp",24,48,"12"
"Anura","Hylidae","scinax_squalirostris",24,NA,"12"
"Anura","Hylidae","scinax_squalirostris",24,48,"12"
"Anura","Hylidae","scinax_squalirostris",24,NA,"12"
"Anura","Hylidae","scinax_staufferi",24,48,"12"
"Anura","Hylidae","scinax_xsignatus",24,48,"12"
"Anura","Hylidae","smilisca_baudinii",24,48,"12"
"Anura","Hylidae","smilisca_cyanosticta",24,NA,"12"
"Anura","Hylidae","smilisca_fodiens",24,48,"12"
"Anura","Hylidae","smilisca_phaeota",24,NA,"12"
"Anura","Hylidae","smilisca_puma",24,NA,"12"
"Anura","Hylidae","smilisca_sila",24,NA,"12"
"Anura","Hylidae","smilisca_sordida",24,48,"12"
"Anura","Hylidae","sphaenorhynchus_caramaschii",24,NA,"12"
"Anura","Hylidae","sphaenorhynchus_carneus",26,NA,"13"
"Anura","Hylidae","sphaenorhynchus_dorisae",24,NA,"12"
"Anura","Hylidae","sphaenorhynchus_lacteus",24,NA,"12"
"Anura","Hylidae","tlalocohyla_loquax",24,NA,"12"
"Anura","Hylidae","tlalocohyla_smithii",24,NA,"12"
"Anura","Hylidae","tlalocohyla_smithii",30,52,"15"
"Anura","Hylidae","trachycephalus_vermiculatus",24,NA,"12"
"Anura","Hylidae","trachycephalus_mesophaeus",24,48,"12"
"Anura","Hylidae","trachycephalus_sp",24,48,"12"
"Anura","Hylidae","trachycephalus_typhonius",24,NA,"12"
"Anura","Hylidae","trachycephalus_typhonius",24,48,"12"
"Anura","Hylidae","trachycephalus_typhonius",22,NA,"11"
"Anura","Hylidae","triprion_petasatus",24,48,"12"
"Anura","Hylidae","triprion_spatulatus",24,NA,"12"
"Anura","Hylidae","triprion_spinosus",24,48,"12"
"Anura","Hylidae","triprion_spinosus",26,NA,"13"
"Anura","Hylidae","xenohyla_truncata",24,NA,"12"
"Anura","Hylodidae","crossodactylus_cf_caramaschi",26,52,"13"
"Anura","Hylodidae","crossodactylus_dispar",26,NA,"13"
"Anura","Hylodidae","crossodactylus_gaudichaudii",26,52,"13"
"Anura","Hylodidae","crossodactylus_gaudichaudii",22,NA,"11"
"Anura","Hylodidae","crossodactylus_grandis",26,52,"13"
"Anura","Hylodidae","crossodactylus_sp",26,52,"13"
"Anura","Hylodidae","hylodes_asper",26,52,"13"
"Anura","Hylodidae","hylodes_glaber",26,NA,"13"
"Anura","Hylodidae","hylodes_glaber",26,NA,"13"
"Anura","Hylodidae","hylodes_lateristrigatus",26,NA,"13"
"Anura","Hylodidae","hylodes_nasus",24,46,"12"
"Anura","Hylodidae","hylodes_ornatus",26,NA,"13"
"Anura","Hylodidae","hylodes_phyllodes",26,48,"13"
"Anura","Hylodidae","megaelosia_boticariana",30,60,"15"
"Anura","Hylodidae","megaelosia_lutzae",32,58,"16"
"Anura","Hylodidae","megaelosia_massarti",28,56,"14"
"Anura","Hyperoliidae","afrixalus_dorsalis",24,48,"12"
"Anura","Hyperoliidae","afrixalus_fornasini",24,48,"12"
"Anura","Hyperoliidae","afrixalus_fulvovittatus",24,48,"12"
"Anura","Hyperoliidae","afrixalus_osorioi",24,NA,"12"
"Anura","Hyperoliidae","afrixalus_quadrivittatus",24,NA,"12"
"Anura","Hyperoliidae","afrixalus_uluguruensis",24,NA,"12"
"Anura","Hyperoliidae","heterixalus_betsileo",24,48,"12"
"Anura","Hyperoliidae","heterixalus_tricolor",24,48,"12"
"Anura","Hyperoliidae","hyperolius_argus",26,52,"13"
"Anura","Hyperoliidae","hyperolius_bolifambae",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_concolor",24,48,"12"
"Anura","Hyperoliidae","hyperolius_kivuensis",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_madagascariensis",24,48,"12"
"Anura","Hyperoliidae","hyperolius_marginatus",26,52,"13"
"Anura","Hyperoliidae","hyperolius_mariae",24,48,"12"
"Anura","Hyperoliidae","hyperolius_marmoratus",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_nasutus",24,48,"12"
"Anura","Hyperoliidae","hyperolius_ocellatus",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_parallelus",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_picturatus",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_pictus",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_platyceps",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_pusillus",24,NA,"12"
"Anura","Hyperoliidae","hyperolius_steindachneri",24,48,"12"
"Anura","Hyperoliidae","hyperolius_tuberculatus",24,48,"12"
"Anura","Hyperoliidae","kassina_senegalensis",24,48,"12"
"Anura","Hyperoliidae","kassina_sp",24,48,"12"
"Anura","Hyperoliidae","opisthothylax_immaculatus",24,48,"12"
"Anura","Hyperoliidae","phlyctimantis_leonardi",24,48,"12"
"Anura","Hyperoliidae","semnodactylus_wealii",24,48,"12"
"Anura","Hyperoliidae","tachycnemis_seychellensis",24,48,"12"
"Anura","Leiopelmatidae","leiopelma_archeyi",18,36,"9"
"Anura","Leiopelmatidae","leiopelma_hochstetteri",22,32,"11"
"Anura","Leiopelmatidae","leiopelma_pakeka",18,34,"9"
"Anura","Leptodactylidae","adenomera_aff_bokermanni",23,36,"11.5"
"Anura","Leptodactylidae","adenomera_andreae",26,34,"13"
"Anura","Leptodactylidae","adenomera_andreae",26,40,"13"
"Anura","Leptodactylidae","adenomera_cf_bokermanni",23,34,"11.5"
"Anura","Leptodactylidae","adenomera_cf_marmorata",24,34,"12"
"Anura","Leptodactylidae","adenomera_cf_marmorata",24,48,"12"
"Anura","Leptodactylidae","adenomera_diptyx",26,34,"13"
"Anura","Leptodactylidae","adenomera_hylaedactyla",26,34,"13"
"Anura","Leptodactylidae","adenomera_hylaedactyla",26,34,"13"
"Anura","Leptodactylidae","adenomera_lutzi",26,NA,"13"
"Anura","Leptodactylidae","edalorhina_perezi",22,NA,"11"
"Anura","Leptodactylidae","engystomops_coloradorum",30,NA,"15"
"Anura","Leptodactylidae","engystomops_coloradorum",20,40,"10"
"Anura","Leptodactylidae","engystomops_freibergi",22,NA,"11"
"Anura","Leptodactylidae","engystomops_guayaco",20,40,"10"
"Anura","Leptodactylidae","engystomops_montubio",20,40,"10"
"Anura","Leptodactylidae","engystomops_petersi",22,NA,"11"
"Anura","Leptodactylidae","engystomops_pustulatus",20,NA,"10"
"Anura","Leptodactylidae","engystomops_pustulosus",22,NA,"11"
"Anura","Leptodactylidae","engystomops_puyango",20,NA,"10"
"Anura","Leptodactylidae","engystomops_randi",20,40,"10"
"Anura","Leptodactylidae","leptodactylus_albilabris",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_bolivianus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_bolivianus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_bufonius",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_cf_marmoratus",24,34,"12"
"Anura","Leptodactylidae","leptodactylus_chaquensis",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_discodactylus",22,NA,"11"
"Anura","Leptodactylidae","leptodactylus_elenae",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_fragilis",22,NA,"11"
"Anura","Leptodactylidae","leptodactylus_fuscus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_gracilis",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_gracilis_delattini",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_gracilis_gracilis",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_griseigularis",22,36,"11"
"Anura","Leptodactylidae","leptodactylus_insularum",22,NA,"11"
"Anura","Leptodactylidae","leptodactylus_knudseni",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_labyrinthicus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_laticeps",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_latinasus",22,42,"11"
"Anura","Leptodactylidae","leptodactylus_latinasus",22,NA,"11"
"Anura","Leptodactylidae","leptodactylus_latrans",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_leptodactyloides",22,36,"11"
"Anura","Leptodactylidae","leptodactylus_macrosternum",22,42,"11"
"Anura","Leptodactylidae","leptodactylus_macrosternum",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_marmoratus",24,34,"12"
"Anura","Leptodactylidae","leptodactylus_melanonotus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_mystaceus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_mystacinus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_mystacinus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_natalensis",22,38,"11"
"Anura","Leptodactylidae","leptodactylus_notoaktites",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_paraensis",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_pentadactylus",22,42,"11"
"Anura","Leptodactylidae","leptodactylus_pentadactylus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_petersii",22,42,"11"
"Anura","Leptodactylidae","leptodactylus_petersii",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_plaumanni",22,NA,"11"
"Anura","Leptodactylidae","leptodactylus_plaumanni",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_podicipinus",22,34,"11"
"Anura","Leptodactylidae","leptodactylus_podicipinus",22,38,"11"
"Anura","Leptodactylidae","leptodactylus_podicipinus",22,36,"11"
"Anura","Leptodactylidae","leptodactylus_pustulatus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_rhodomystax",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_rhodonotus",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_riveroi",22,42,"11"
"Anura","Leptodactylidae","leptodactylus_silvanimbus",24,48,"12"
"Anura","Leptodactylidae","leptodactylus_syphax",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_troglodytes",22,44,"11"
"Anura","Leptodactylidae","leptodactylus_wagneri",22,36,"11"
"Anura","Leptodactylidae","lithodytes_lineatus",18,NA,"9"
"Anura","Leptodactylidae","paratelmatobius_cardosoi",24,NA,"12"
"Anura","Leptodactylidae","paratelmatobius_lutzii",24,48,"12"
"Anura","Leptodactylidae","paratelmatobius_poecilogaster",24,48,"12"
"Anura","Leptodactylidae","physalaemus_aguirrei",22,44,"11"
"Anura","Leptodactylidae","physalaemus_albifrons",22,44,"11"
"Anura","Leptodactylidae","physalaemus_albonotatus",22,44,"11"
"Anura","Leptodactylidae","physalaemus_barrioi",22,44,"11"
"Anura","Leptodactylidae","physalaemus_biligonigerus",22,44,"11"
"Anura","Leptodactylidae","physalaemus_biligonigerus",22,44,"11"
"Anura","Leptodactylidae","physalaemus_centralis",22,44,"11"
"Anura","Leptodactylidae","physalaemus_cicada",22,44,"11"
"Anura","Leptodactylidae","physalaemus_cuqui",22,44,"11"
"Anura","Leptodactylidae","physalaemus_cuvieri",22,44,"11"
"Anura","Leptodactylidae","physalaemus_ephippifer",22,44,"11"
"Anura","Leptodactylidae","physalaemus_fernandezae",22,44,"11"
"Anura","Leptodactylidae","physalaemus_gracilis",22,44,"11"
"Anura","Leptodactylidae","physalaemus_henselii",22,44,"11"
"Anura","Leptodactylidae","physalaemus_kroyeri",22,44,"11"
"Anura","Leptodactylidae","physalaemus_marmoratus",22,NA,"11"
"Anura","Leptodactylidae","physalaemus_nattereri",22,42,"11"
"Anura","Leptodactylidae","physalaemus_nattereri",22,44,"11"
"Anura","Leptodactylidae","physalaemus_olfersii",22,44,"11"
"Anura","Leptodactylidae","physalaemus_riograndensis",22,44,"11"
"Anura","Leptodactylidae","physalaemus_santafecinus",22,44,"11"
"Anura","Leptodactylidae","physalaemus_signifer",22,44,"11"
"Anura","Leptodactylidae","physalaemus_soaresi",22,44,"11"
"Anura","Leptodactylidae","physalaemus_sp",22,44,"11"
"Anura","Leptodactylidae","pleurodema_bibroni",22,NA,"11"
"Anura","Leptodactylidae","pleurodema_bibroni",44,88,"22"
"Anura","Leptodactylidae","pleurodema_borellii",22,NA,"11"
"Anura","Leptodactylidae","pleurodema_bufonina",22,44,"11"
"Anura","Leptodactylidae","pleurodema_cinereum",22,NA,"11"
"Anura","Leptodactylidae","pleurodema_cinereum",22,44,"11"
"Anura","Leptodactylidae","pleurodema_cordobae",88,NA,"44"
"Anura","Leptodactylidae","pleurodema_cordobae_sp_nov",88,NA,"44"
"Anura","Leptodactylidae","pleurodema_diplolister",22,42,"11"
"Anura","Leptodactylidae","pleurodema_guayapae",22,44,"11"
"Anura","Leptodactylidae","pleurodema_kriegi",44,88,"22"
"Anura","Leptodactylidae","pleurodema_marmoratum",22,NA,"11"
"Anura","Leptodactylidae","pleurodema_nebulosum",22,44,"11"
"Anura","Leptodactylidae","pleurodema_somuncurense",22,NA,"11"
"Anura","Leptodactylidae","pleurodema_thaul",22,44,"11"
"Anura","Leptodactylidae","pleurodema_tucumanum",22,44,"11"
"Anura","Leptodactylidae","pseudopaludicola_ameghini",20,NA,"10"
"Anura","Leptodactylidae","pseudopaludicola_atragula",18,NA,"9"
"Anura","Leptodactylidae","pseudopaludicola_boliviana",20,NA,"10"
"Anura","Leptodactylidae","pseudopaludicola_canga",18,32,"9"
"Anura","Leptodactylidae","pseudopaludicola_facureae",18,NA,"9"
"Anura","Leptodactylidae","pseudopaludicola_falcipes",22,NA,"11"
"Anura","Leptodactylidae","pseudopaludicola_falcipes",18,NA,"9"
"Anura","Leptodactylidae","pseudopaludicola_ibisoroca",18,32,"9"
"Anura","Leptodactylidae","pseudopaludicola_jaredi",22,NA,"11"
"Anura","Leptodactylidae","pseudopaludicola_mineira",22,44,"11"
"Anura","Leptodactylidae","pseudopaludicola_murundu",22,NA,"11"
"Anura","Leptodactylidae","pseudopaludicola_mystacalis",16,NA,"8"
"Anura","Leptodactylidae","pseudopaludicola_saltica",22,42,"11"
"Anura","Leptodactylidae","pseudopaludicola_ternetzi",20,NA,"10"
"Anura","Leptodactylidae","pseudopaludicola_ternetzi",18,NA,"9"
"Anura","Leptodactylidae","pseudopaludicola_ternetzi",16,NA,"8"
"Anura","Leptodactylidae","scythrophrys_sawayae",24,48,"12"
"Anura","Leptodactylidae","scythrophrys_sp",24,NA,"12"
"Anura","Limnodynastidae","adelotus_brevis",24,48,"12"
"Anura","Limnodynastidae","heleioporus_albopunctatus",24,48,"12"
"Anura","Limnodynastidae","heleioporus_australiacus",24,NA,"12"
"Anura","Limnodynastidae","heleioporus_barycragus",24,48,"12"
"Anura","Limnodynastidae","heleioporus_eyrei",24,48,"12"
"Anura","Limnodynastidae","heleioporus_inornatus",24,48,"12"
"Anura","Limnodynastidae","heleioporus_psammophilus",24,48,"12"
"Anura","Limnodynastidae","kyarranus_kundagungan",24,48,"12"
"Anura","Limnodynastidae","lechriodus_aganoposis",22,44,"11"
"Anura","Limnodynastidae","lechriodus_fletcheri",22,44,"11"
"Anura","Limnodynastidae","lechriodus_melanopyga",22,44,"11"
"Anura","Limnodynastidae","limnodynastes_convexiusculus",24,48,"12"
"Anura","Limnodynastidae","limnodynastes_dorsalis",22,44,"11"
"Anura","Limnodynastidae","limnodynastes_dumerilii",22,44,"11"
"Anura","Limnodynastidae","limnodynastes_fletcheri",24,48,"12"
"Anura","Limnodynastidae","limnodynastes_interioris",22,44,"11"
"Anura","Limnodynastidae","limnodynastes_lignarius",24,48,"12"
"Anura","Limnodynastidae","limnodynastes_peronii",24,48,"12"
"Anura","Limnodynastidae","limnodynastes_peronii",22,NA,"11"
"Anura","Limnodynastidae","limnodynastes_salmini",22,44,"11"
"Anura","Limnodynastidae","limnodynastes_tasmaniensis",24,48,"12"
"Anura","Limnodynastidae","limnodynastes_terraereginae",22,44,"11"
"Anura","Limnodynastidae","neobatrachus_aquilonius",48,92,"24"
"Anura","Limnodynastidae","neobatrachus_aquilonius",24,48,"12"
"Anura","Limnodynastidae","neobatrachus_fulvus",24,48,"12"
"Anura","Limnodynastidae","neobatrachus_kunapalari",48,96,"24"
"Anura","Limnodynastidae","neobatrachus_pelobatoides",24,48,"12"
"Anura","Limnodynastidae","neobatrachus_pictus",24,48,"12"
"Anura","Limnodynastidae","neobatrachus_sudelli",24,48,"12"
"Anura","Limnodynastidae","neobatrachus_sudelli",48,96,"24"
"Anura","Limnodynastidae","neobatrachus_sudelli",48,NA,"24"
"Anura","Limnodynastidae","neobatrachus_sutor",48,48,"24"
"Anura","Limnodynastidae","neobatrachus_wilsmorei",24,48,"12"
"Anura","Limnodynastidae","notaden_bennettii",24,48,"12"
"Anura","Limnodynastidae","notaden_melanoscaphus",24,48,"12"
"Anura","Limnodynastidae","notaden_nichollsi",24,48,"12"
"Anura","Limnodynastidae","philoria_frosti",24,48,"12"
"Anura","Limnodynastidae","philoria_loveridgei",24,48,"12"
"Anura","Limnodynastidae","philoria_sphagnicolus",24,48,"12"
"Anura","Limnodynastidae","platyplectrum_ornatum",24,NA,"12"
"Anura","Limnodynastidae","platyplectrum_ornatum",22,44,"11"
"Anura","Limnodynastidae","platyplectrum_ornatum",22,NA,"11"
"Anura","Limnodynastidae","platyplectrum_spenceri",22,NA,"11"
"Anura","Mantellidae","aglyptodactylus_madagascariensis",26,52,"13"
