order,family,species,totalchrom,status,IslandEndemic,haploid
Passeriformes,Thraupidae,Camarhynchus_pauper,78,CR,Yes,39
Passeriformes,Thraupidae,Camarhynchus_pallidus,78,NT,Yes,39
Passeriformes,Thraupidae,Camarhynchus_psittacula,78,VU,Yes,39
Passeriformes,Thraupidae,Certhidea_olivacea,78,VU,Yes,39
Passeriformes,Parulidae,Cardellina_rubrifrons,78-80,LC,No,39-40
Passeriformes,Parulidae,Leiothlypis_luciae,78-80,LC,No,39-40
Passeriformes,Passerellidae,Melozone_aberti,78-80,LC,No,39-40
Passeriformes,Parulidae,Myioborus_pictus,78-80,LC,No,39-40
Passeriformes,Passerellidae,Peucaea_botterii,78-80,LC,No,39-40
Passeriformes,Cardinalidae,Pheucticus_melanocephalus,80-82,LC,No,40-41
Passeriformes,Ploceidae,Ploceus_intermedius,74-76-78,LC,No,37-38-39
Passeriformes,Parulidae,Setophaga_graciae,78-80,LC,No,39-40
Passeriformes,Motacillidae,Anthus_spinoletta,86,LC,No,43
Passeriformes,Muscicapidae,Monticola_saxatilis,86,LC,No,43
Passeriformes,Muscicapidae,Monticola_solitarius,86,LC,No,43
Passeriformes,Troglodytidae,Troglodytes_troglodytes,86,LC,No,43
Passeriformes,Muscicapidae,Calliope_calliope,84,LC,No,42
Passeriformes,Muscicapidae,Calliope_pectoralis,84,LC,No,42
Passeriformes,Tyrannidae,Cnemotriccus_fuscatus,84,LC,No,42
Passeriformes,Muscicapidae,Cyanoptila_cyanomelana,84,LC,No,42
Passeriformes,Muscicapidae,Luscinia_luscinia,84,LC,No,42
Passeriformes,Muscicapidae,Luscinia_megarhynchos,84,LC,No,42
Passeriformes,Cisticolidae,Orthotomus_sutorius,84,LC,No,42
Passeriformes,Prunellidae,Prunella_rubida,84,LC,No,42
Passeriformes,Furnariidae,Cranioleuca_obsoleta,82,LC,No,41
Passeriformes,Tyrannidae,Empidonax_alnorum,82,LC,No,41
Passeriformes,Tyrannidae,Empidonax_flaviventris,82,LC,No,41
Passeriformes,Tyrannidae,Empidonax_hammondii,82,LC,No,41
Passeriformes,Tyrannidae,Empidonax_minimus,82,LC,No,41
Passeriformes,Tyrannidae,Empidonax_traillii,82,LC,No,41
Passeriformes,Muscicapidae,Larvivora_cyane,82,LC,No,41
Passeriformes,Furnariidae,Lepidocolaptes_angustirostris,82,LC,No,41
Passeriformes,Muscicapidae,Luscinia_svecica,82,LC,No,41
Passeriformes,Tyrannidae,Megarynchus_pitangua,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_chrysopygia,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_deserti,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_finschii,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_isabellina,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_oenanthe,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_picata,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_pleschanka,82,LC,No,41
Passeriformes,Muscicapidae,Oenanthe_xanthoprymna,82,LC,No,41
Passeriformes,Hirundinidae,Pygochelidon_cyanoleuca,82,LC,No,41
Passeriformes,Thamnophilidae,Pyriglena_leucoptera,82,LC,No,41
Passeriformes,Tyrannidae,Satrapa_icterophrys,82,LC,No,41
Passeriformes,Tyrannidae,Serpophaga_subcristata,82,LC,No,41
Passeriformes,Furnariidae,Sittasomus_griseicapillus,82,LC,No,41
Passeriformes,Furnariidae,Synallaxis_frontalis,82,LC,No,41
Passeriformes,Furnariidae,Syndactyla_rufosuperciliata,82,LC,No,41
Passeriformes,Thamnophilidae,Thamnophilus_doliatus,82,LC,No,41
Passeriformes,Sturnidae,Acridotheres_tristis,80,LC,No,40
Passeriformes,Acrocephalidae,Acrocephalus_arundinaceus,80,LC,No,40
Passeriformes,Aegithalidae,Aegithalos_caudatus,80,LC,No,40
Passeriformes,Aegithalidae,Aegithina_tiphia,80,LC,No,40
Passeriformes,Troglodytidae,Catherpes_mexicanus,80,LC,No,40
Passeriformes,Corvidae,Dendrocitta_vagabunda,80,LC,No,40
Passeriformes,Emberizidae,Emberiza_rutila,80,LC,No,40
Passeriformes,Emberizidae,Emberiza_spodocephala,80,LC,No,40
Passeriformes,Muscicapidae,Ficedula_mugimaki,80,LC,No,40
Passeriformes,Muscicapidae,Ficedula_narcissina,80,LC,No,40
Passeriformes,Muscicapidae,Ficedula_parva,80,LC,No,40
Passeriformes,Furnariidae,Glyphorynchus_spirurus,80,LC,No,40
Passeriformes,Locustellidae,Helopsaltes_fasciolatus,80,LC,No,40
Passeriformes,Hirundinidae,Hirundo_rustica,80,LC,No,40
Passeriformes,Icteridae,Icteria_virens,80,LC,No,40
Passeriformes,Acrocephalidae,Iduna_caligata,80,LC,No,40
