Order,Family,species,Meioformula,,hapauto,scs,haploid
Coleoptera,Elateridae,Adelocera colonicus     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Adelocera modesta     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Adelocera muri     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Adelocera muri     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Adelocera rectangularis     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Adelocera sp.     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Agriotella bigemita     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Agriotes lineatus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Agriotes mancus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Agriotes obscurus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Agriotes sputator     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Agrypnus fuscipes     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Agrypnus sp.     ,2n,11M,5,XO,6
Coleoptera,Elateridae,Ampedus apicatus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ampedus deletus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ampedus fusculus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ampedus luctuosus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ampedus melsheimeri     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ampedus pullus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,"Ampedus sp., nr. deletus",2n,19M,9,XO,10
Coleoptera,Elateridae,"Ampedus sp., nr. Deletus",2n,21M,10,XO,11
Coleoptera,Elateridae,"Ampedus sp., nr. miniipennis   ",2n,19M,9,XO,10
Coleoptera,Elateridae,Athous rufiventris     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Cardiophorus cardisce     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Cardiophorus convexulus     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Cardiophorus convexus     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Cardiophorus fenestratus     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Cardiophorus gagates     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Cardiophorus haridwarensis     ,2n,21M,10,XO,11
Coleoptera,Elateridae,Cardiophorus limbatus     ,2n,21M,10,XO,11
Coleoptera,Elateridae,Cardiophorus togatus     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Cardiorhinus rufilateris     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Chalcolepidius silbermanni     ,2n,12M,5,XY,6
Coleoptera,Elateridae,Chalcolepidius zotus     ,2n,4M,1,XY,2
Coleoptera,Elateridae,Colaulon lezeleuci     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus fuscofasciatus     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus malleatus     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus pilatei     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus rodriguezi     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus rufidens     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus sp.     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Conoderus stigmosus     ,2n,14M,6,NeoXY,7
Coleoptera,Elateridae,Ctenicera aenea     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ctenicera aeripennis aeripennis    ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ctenicera aeripennis destructor    ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ctenicera appressa     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Ctenicera appropinquans     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ctenicera arata     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Ctenicera bombyci     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Ctenicera hieroglyphica     ,2n,21M,10,XO,11
Coleoptera,Elateridae,Ctenicera inflata     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Ctenicera media     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Ctenicera nitidula     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Ctenicera ochreipennis     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Ctenicera propola columbia    ,2n,21M,10,XO,11
Coleoptera,Elateridae,Ctenicera propola propola    ,2n,21M,10,XO,11
Coleoptera,Elateridae,Ctenicera rufopleuralis     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Ctenicera semimetallica     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ctenicera splendens     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Ctenicera tarsalis     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Ctenicera tessellata     ,2n,22M,10,Xyp,11
Coleoptera,Elateridae,Dicrepidius politus     ,2n,23M,11,XO,12
Coleoptera,Elateridae,Dicrepidius ramicornis     ,2n,23M,11,XO,12
Coleoptera,Elateridae,Eanus estriatus     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Eanus maculipennis     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Elater sp.1     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Elater sp.2     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Hemirrhipus lineatus     ,2n,10M,4,NeoXY,5
Coleoptera,Elateridae,Heteroderes lenis     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Heteroderes macroderes     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Heteroderes macroderes     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Heteroderes modestus     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Heteroderes sericeus     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Lacon profusa     ,2n,14M,6,NeoXY,7
Coleoptera,Elateridae,Limonius aeger     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Limonius griseus     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Melanotus fissilis     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Melanotus kamaunensis     ,2n,12M,5,XY,6
Coleoptera,Elateridae,Melanotus leordi     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Melanotus longicornis     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Melanotus oregonensis     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Melanotus sp.     ,2n,19M,9,XO,10
Coleoptera,Elateridae,"Melanotus sp., nr. Communis   ",2n,19M,9,XO,10
Coleoptera,Elateridae,Melanotus tenebrosus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Melanotus trapezoideus     ,2n,19M,9,XO,10
Coleoptera,Elateridae,Monocrepidius sp.     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Monocrepidus sp.     ,2n,17M,8,XO,9
Coleoptera,Elateridae,Pomachilius sp.2     ,2n,20M,9,Xyp,10
Coleoptera,Elateridae,Prosternon tesselatum     ,2n,22M,10,XY,11
Coleoptera,Elateridae,Pyrearinus candelarius     ,2n,15M,7,XO,8
Coleoptera,Elateridae,Pyrophorus divergens     ,2n,15M,7,XO,8
Coleoptera,Elateridae,Pyrophorus luminosus     ,2n,17M,7,XXY,9
Coleoptera,Elateridae,Pyrophorus phosporescens     ,2n,15M,7,XO,8
Coleoptera,Elateridae,Pyrophorus punctatissimus     ,2n,15M,7,XO,8
Coleoptera,Elateridae,Pyrophorus radians     ,2n,11M,5,XO,6
