Family,Genus,epithet,species,haploid
Magnoliaceae,Liriodendron,chinense,Liriodendron_chinense,19
Magnoliaceae,Liriodendron,chinenses,Liriodendron_chinenses,19
Magnoliaceae,Liriodendron,tulipifera,Liriodendron_tulipifera,19
Magnoliaceae,Magnolia,acuminata,Magnolia_acuminata,38
Magnoliaceae,Magnolia,albosericea,Magnolia_albosericea,19
Magnoliaceae,Magnolia,amoena,Magnolia_amoena,19
Magnoliaceae,Magnolia,angatensis,Magnolia_angatensis,19
Magnoliaceae,Magnolia,aromatica,Magnolia_aromatica,19
Magnoliaceae,Magnolia,ashei,Magnolia_ashei,19
Magnoliaceae,Magnolia,ashet,Magnolia_ashet,19
Magnoliaceae,Magnolia,baillonii,Magnolia_baillonii,19
Magnoliaceae,Magnolia,balansae,Magnolia_balansae,19
Magnoliaceae,Magnolia,biondii,Magnolia_biondii,38
Magnoliaceae,Magnolia,campbelli,Magnolia_campbelli,57
Magnoliaceae,Magnolia,campbellii,Magnolia_campbellii,57
Magnoliaceae,Magnolia,campbellti,Magnolia_campbellti,57
Magnoliaceae,Magnolia,candollei,Magnolia_candollei,19
Magnoliaceae,Magnolia,cathcartii,Magnolia_cathcartii,19
Magnoliaceae,Magnolia,cavaleriei,Magnolia_cavaleriei,19
Magnoliaceae,Magnolia,champaca,Magnolia_champaca,19
Magnoliaceae,Magnolia,championii,Magnolia_championii,19
Magnoliaceae,Magnolia,chapensis,Magnolia_chapensis,19
Magnoliaceae,Magnolia,chingii,Magnolia_chingii,19
Magnoliaceae,Magnolia,coco,Magnolia_coco,19
Magnoliaceae,Magnolia,compressa,Magnolia_compressa,19
Magnoliaceae,Magnolia,conifera,Magnolia_conifera,19
Magnoliaceae,Magnolia,cordata,Magnolia_cordata,38
Magnoliaceae,Magnolia,coriacea,Magnolia_coriacea,19
Magnoliaceae,Magnolia,crassipes,Magnolia_crassipes,19
Magnoliaceae,Magnolia,cylindrica,Magnolia_cylindrica,38
Magnoliaceae,Magnolia,dawsoniana,Magnolia_dawsoniana,57
Magnoliaceae,Magnolia,decidua,Magnolia_decidua,19
Magnoliaceae,Magnolia,delavayi,Magnolia_delavayi,19
Magnoliaceae,Magnolia,denudata,Magnolia_denudata,57
Magnoliaceae,Magnolia,doltsopa,Magnolia_doltsopa,19
Magnoliaceae,Magnolia,duclouxii,Magnolia_duclouxii,19
Magnoliaceae,Magnolia,excelsa,Magnolia_excelsa,19
Magnoliaceae,Magnolia,figo,Magnolia_figo,19
Magnoliaceae,Magnolia,fistulosa,Magnolia_fistulosa,19
Magnoliaceae,Magnolia,floribunda,Magnolia_floribunda,19
Magnoliaceae,Magnolia,foetida,Magnolia_foetida,57
Magnoliaceae,Magnolia,fordiana,Magnolia_fordiana,19
Magnoliaceae,Magnolia,forrestii,Magnolia_forrestii,19
Magnoliaceae,Magnolia,foveolata,Magnolia_foveolata,19
Magnoliaceae,Magnolia,fraseri,Magnolia_fraseri,19
Magnoliaceae,Magnolia,fraseri',Magnolia_fraseri',19
Magnoliaceae,Magnolia,fujianensis,Magnolia_fujianensis,19
Magnoliaceae,Magnolia,fulgens,Magnolia_fulgens,19
Magnoliaceae,Magnolia,fuscata,Magnolia_fuscata,19
Magnoliaceae,Magnolia,gitingensis,Magnolia_gitingensis,19
Magnoliaceae,Magnolia,glauca,Magnolia_glauca,19
Magnoliaceae,Magnolia,globosa,Magnolia_globosa,19
Magnoliaceae,Magnolia,grandi.flora,Magnolia_grandi.flora,57
Magnoliaceae,Magnolia,grandiflora,Magnolia_grandiflora,57
Magnoliaceae,Magnolia,grandis,Magnolia_grandis,19
Magnoliaceae,Magnolia,griffithii,Magnolia_griffithii,19
Magnoliaceae,Magnolia,guangnanensis,Magnolia_guangnanensis,19
Magnoliaceae,Magnolia,guangxiensis,Magnolia_guangxiensis,19
Magnoliaceae,Magnolia,guatamalensis,Magnolia_guatamalensis,19
Magnoliaceae,Magnolia,hamori,Magnolia_hamori,19
Magnoliaceae,Magnolia,henryi,Magnolia_henryi,57
Magnoliaceae,Magnolia,hodgsoni,Magnolia_hodgsoni,19
Magnoliaceae,Magnolia,hodgsonii,Magnolia_hodgsonii,19
Magnoliaceae,Magnolia,hookeri,Magnolia_hookeri,19
Magnoliaceae,Magnolia,insignis,Magnolia_insignis,19
Magnoliaceae,Magnolia,kisopa,Magnolia_kisopa,19
Magnoliaceae,Magnolia,kobus,Magnolia_kobus,19
Magnoliaceae,Magnolia,lacei,Magnolia_lacei,19
Magnoliaceae,Magnolia,lanuginosa,Magnolia_lanuginosa,19
Magnoliaceae,Magnolia,liliflora,Magnolia_liliflora,38
Magnoliaceae,Magnolia,liliiflora,Magnolia_liliiflora,38
Magnoliaceae,Magnolia,loebneri,Magnolia_loebneri,19
Magnoliaceae,Magnolia,longistamina,Magnolia_longistamina,19
Magnoliaceae,Magnolia,lotungensis,Magnolia_lotungensis,57
Magnoliaceae,Magnolia,macclurei,Magnolia_macclurei,19
Magnoliaceae,Magnolia,macrophylla,Magnolia_macrophylla,19
Magnoliaceae,Magnolia,maguanica,Magnolia_maguanica,19
Magnoliaceae,Magnolia,maoena,Magnolia_maoena,19
Magnoliaceae,Magnolia,martini,Magnolia_martini,19
Magnoliaceae,Magnolia,maudiae,Magnolia_maudiae,19
Magnoliaceae,Magnolia,megaphylla,Magnolia_megaphylla,19
Magnoliaceae,Magnolia,mollicomata,Magnolia_mollicomata,57
Magnoliaceae,Magnolia,montana,Magnolia_montana,19
Magnoliaceae,Magnolia,moto,Magnolia_moto,19
Magnoliaceae,Magnolia,mutabilis,Magnolia_mutabilis,19
Magnoliaceae,Magnolia,nitida,Magnolia_nitida,19
Magnoliaceae,Magnolia,oblongifolia,Magnolia_oblongifolia,19
Magnoliaceae,Magnolia,obovata,Magnolia_obovata,19
Magnoliaceae,Magnolia,odora,Magnolia_odora,19
Magnoliaceae,Magnolia,odoratissima,Magnolia_odoratissima,19
Magnoliaceae,Magnolia,odorum,Magnolia_odorum,19
Magnoliaceae,Magnolia,officinalis,Magnolia_officinalis,19
Magnoliaceae,Magnolia,omeiensis,Magnolia_omeiensis,38
Magnoliaceae,Magnolia,ovata,Magnolia_ovata,19
Magnoliaceae,Magnolia,ovoidea,Magnolia_ovoidea,19
Magnoliaceae,Magnolia,pachycarpa,Magnolia_pachycarpa,19
Magnoliaceae,Magnolia,pachyphylla,Magnolia_pachyphylla,19
Magnoliaceae,Magnolia,parviflora,Magnolia_parviflora,19
Magnoliaceae,Magnolia,patungensis,Magnolia_patungensis,19
Magnoliaceae,Magnolia,phellocarpa,Magnolia_phellocarpa,19
Magnoliaceae,Magnolia,pleiocarpa,Magnolia_pleiocarpa,19
Magnoliaceae,Magnolia,praecocissima,Magnolia_praecocissima,19
Magnoliaceae,Magnolia,proctoriana,Magnolia_proctoriana,19
Magnoliaceae,Magnolia,pterocarpa,Magnolia_pterocarpa,19
Magnoliaceae,Magnolia,pyramidata,Magnolia_pyramidata,19
Magnoliaceae,Magnolia,rostrata,Magnolia_rostrata,19
Magnoliaceae,Magnolia,rufibarbata,Magnolia_rufibarbata,19
Magnoliaceae,Magnolia,salicifolia,Magnolia_salicifolia,19
Magnoliaceae,Magnolia,sargentiana,Magnolia_sargentiana,57
Magnoliaceae,Magnolia,schiedeana,Magnolia_schiedeana,57
Magnoliaceae,Magnolia,septentrionalis,Magnolia_septentrionalis,19
Magnoliaceae,Magnolia,shiluensis,Magnolia_shiluensis,19
Magnoliaceae,Magnolia,sieboldi,Magnolia_sieboldi,19
Magnoliaceae,Magnolia,sinensis,Magnolia_sinensis,19
Magnoliaceae,Magnolia,sinicum,Magnolia_sinicum,19
Magnoliaceae,Magnolia,skinneriana,Magnolia_skinneriana,19
Magnoliaceae,Magnolia,soulangeana,Magnolia_soulangeana,38
Magnoliaceae,Magnolia,sprengeri,Magnolia_sprengeri,57
Magnoliaceae,Magnolia,stellata,Magnolia_stellata,19
Magnoliaceae,Magnolia,thompsoniana,Magnolia_thompsoniana,19
Magnoliaceae,Magnolia,tripetala,Magnolia_tripetala,19
Magnoliaceae,Magnolia,tsarogensis,Magnolia_tsarogensis,19
Magnoliaceae,Magnolia,tsarongensis,Magnolia_tsarongensis,19
Magnoliaceae,Magnolia,veitchii,Magnolia_veitchii,57
Magnoliaceae,Magnolia,velutina,Magnolia_velutina,19
Magnoliaceae,Magnolia,villariana,Magnolia_villariana,19
Magnoliaceae,Magnolia,virginiana,Magnolia_virginiana,19
Magnoliaceae,Magnolia,viridula,Magnolia_viridula,19
Magnoliaceae,Magnolia,wilsoni,Magnolia_wilsoni,19
Magnoliaceae,Magnolia,wilsonii,Magnolia_wilsonii,19
Magnoliaceae,Magnolia,x,Magnolia_x,38
Magnoliaceae,Magnolia,yunnanensis,Magnolia_yunnanensis,19
Magnoliaceae,Magnolia,yuyuanensis,Magnolia_yuyuanensis,19
Magnoliaceae,Michelia,alba,Michelia_alba,19
Magnoliaceae,Michelia,champaca,Michelia_champaca,19
Magnoliaceae,Michelia,glaucifolia,Michelia_glaucifolia,19
Magnoliaceae,Michelia,platypetala,Michelia_platypetala,19
Magnoliaceae,Michelia,xanthina,Michelia_xanthina,19
Magnoliaceae,Talauma,lasia,Talauma_lasia,19
