Phylum,Class,Order,Family,Genus,species,haploid
Chordata,Reptilia,Squamata,Gekkonidae,Ailuronyx,Ailuronyx_seychellensis,20
Chordata,Reptilia,Squamata,Gekkonidae,Alsophylax,Alsophylax_laevis,18
Chordata,Reptilia,Squamata,Gekkonidae,Alsophylax,Alsophylax_pipiens,18
Chordata,Reptilia,Squamata,Gekkonidae,Alsophylax,Alsophylax_szczerbaki,18
Chordata,Reptilia,Squamata,Gekkonidae,Alsophylax,Alsophylax_tadjikiensis,18
Chordata,Reptilia,Squamata,Gekkonidae,Altiphylax,Altiphylax_tokobajevi,17
Chordata,Reptilia,Squamata,Gekkonidae,Bunopus,Bunopus_tuberculatus,21
Chordata,Reptilia,Squamata,Gekkonidae,Chondrodactylus,Chondrodactylus_bibronii,18
Chordata,Reptilia,Squamata,Gekkonidae,Christinus,Christinus_marmoratus,16
Chordata,Reptilia,Squamata,Gekkonidae,Crossobamon,Crossobamon_eversmanni,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_australis,20
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_borroloola,19
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_catenata,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_dubia,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_minuta,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_nana,22
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_occidentalis,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_oceanica,22
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_pamela,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_pilbara,22
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_punctata,19
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_purpurascens,20
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_robusta,21
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_variegata,"20,32"
Chordata,Reptilia,Squamata,Gekkonidae,Gehyra,Gehyra_vorax,22
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_chinensis,20
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_gecko,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_hokouensis,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_japonicus,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_kikuchii,22
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_monarchus,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_petricolus,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_smithii,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_subpalmatus,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_swinhonis,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_tawaensis,19
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_taylori,21
Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko_yakuensis,19
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_angulatus,20
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_bowringii,23
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_brookii,20
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_flaviviridis,"23,20"
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_frenatus,23
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_mabouia,21
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_macropholis,22
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_platyurus,23
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_stejnegeri,28
