class,order,Collection site,Valid,species,2n,haploid
arachnida,scorpiones,Brazil,Bothriurus,Bothriurus_araguayae,44,22
arachnida,scorpiones,Brazil,Bothriurus,B._araguayae,42,21
arachnida,scorpiones,Argentina,Bothriurus,Bothriurus_flavidus,48,24
arachnida,scorpiones,Argentina,Bothriurus,Bothriurus_prospicuus,50,25
arachnida,scorpiones,Brazil,Bothriurus,Bothriurus_rochensis,46,23
arachnida,scorpiones,Brazil,Bothriurus,Bothriurus_sp.,36,18
arachnida,scorpiones,Argentina,Brachistosternus,Brachistosternus_alienus,28,14
arachnida,scorpiones,Argentina,B.,B._alienus,46,23
arachnida,scorpiones,Argentina,Brachistosternus,Brachistosternus_ferrugineus,46,23
arachnida,scorpiones,Argentina,Brachistosternus,Brachistosternus_montanus,46,23
arachnida,scorpiones,Argentina,Brachistosternus,Brachistosternus_pentheri,"46, 42","23, 21"
arachnida,scorpiones,Argentina,Timogenes,Timogenes_elegans,48,24
arachnida,scorpiones,Turkey,Aegeobuthus,Aegeobuthus_gibbosus,28,14
arachnida,scorpiones,Brazil,Ananteris,Ananteris_balzanii,12,6
arachnida,scorpiones,Brazil,A.,A._balzanii,14,7
arachnida,scorpiones,Egypt,Androctonus,Androctonus_amoreuxi,24,12
arachnida,scorpiones,Morocco,Androctonus,Androctonus_amoreuxi,24,12
arachnida,scorpiones,Egypt,Androctonus,Androctonus_australis,24,12
arachnida,scorpiones,Egypt,A.,A._australis,24,12
arachnida,scorpiones,Egypt,Androctonus,Androctonus_bicolor,24,12
arachnida,scorpiones,Israel,Androctonus,Androctonus_bicolor,24,12
arachnida,scorpiones,Morocco,Androctonus,Androctonus_bourdoni,24,12
arachnida,scorpiones,Morocco,Androctonus,Androctonus_bourdoni,24,12
arachnida,scorpiones,Egypt,Androctonus,Androctonus_crassicauda,24,12
arachnida,scorpiones,Turkey,A.,A._crassicauda,24,12
arachnida,scorpiones,Morocco,Androctonus,Androctonus_gonneti,24,12
arachnida,scorpiones,Morocco,Androctonus,Androctonus_liouvillei,24,12
arachnida,scorpiones,Pakistan,Androctonus,Androctonus_maelfaiti,24,12
arachnida,scorpiones,----,Androctonus,Androctonus_mauritanicus,24,12
arachnida,scorpiones,----,A.,A._mauritanicus,24,12
arachnida,scorpiones,Morocco,A.,A._mauritanicus,24,12
arachnida,scorpiones,Morocco,Androctonus,Androctonus_sergenti,24,12
arachnida,scorpiones,Egypt,Androctonus,Androctonus_tenuissimus,24,12
arachnida,scorpiones,Oman,Apistobuthus,Apistobuthus_pterygocercus,22,11
arachnida,scorpiones,Cameroon,Babycurus,Babycurus_buettneri,28,14
arachnida,scorpiones,Tanzania,Babycurus,Babycurus_gigas,30,15
arachnida,scorpiones,Tanzania,Babycurus,Babycurus_jacksoni,16,8
arachnida,scorpiones,Ethiopia,Barbaracurus,Barbaracurus_sofomarensis,22,11
