Order,genus,species,SCS,2n,haploid
Araneae,Aliatypus,Aliatypus_californicus,X,27,13
Araneae,Atypoides,Atypoides_riversi,X,47,23
Araneae,Gasteracantha,Gasteracantha_cancriformis,X,31,15
Araneae,Larinioides,Larinioides_cornutus,X,23,11
Araneae,Neoscona,Neoscona_arabesca,X,21,10
Araneae,Neoscona,Neoscona_theisi,X,23,11
Araneae,Neoscona,Neoscona_sp.,X,13,6
Araneae,Neoscona,Neoscona_sp.,X,13,6
Araneae,Neoscona,Neoscona_sp.,X,13,6
Araneae,Atypus,Atypus_muralis,X,41,20
Araneae,Atypus,Atypus_muralis,X,41,20
Araneae,Atypus,Atypus_piceus,X,41,20
Araneae,Argyroneta,Argyroneta_aquatica,X,21,10
Araneae,Dasumia,Dasumia_carpatica,X,7,3
Araneae,----,----_,X,7,3
Araneae,Dysdera,Dysdera_adriatica,X,20,9.5
Araneae,Dysdera,Dysdera_catalonica,X,9,4
Araneae,Dysdera,Dysdera_cechica,X,11,5
Araneae,Dysdera,Dysdera_corallina,X,19,9
Araneae,Dysdera,Dysdera_crocata,X,11,5
Araneae,Dysdera,Dysdera_crocata,X,13,6
Araneae,Dysdera,Dysdera_crocata,X,9,4
Araneae,Dysdera,Dysdera_crocata,X,9,4
Araneae,Dysdera,Dysdera_crocata,X,11,5
Araneae,Dysdera,Dysdera_crocata,X,13,6
Araneae,Dysdera,Dysdera_dubrovninnii,X,17,8
Araneae,Dysdera,Dysdera_erythrina,X,19,9
Araneae,Dysdera,Dysdera_garrafensis,X,15,7
Araneae,Dysdera,Dysdera_hungarica,X,17,8
Araneae,Dysdera,Dysdera_kropfi,X,15,7
Araneae,Dysdera,Dysdera_lantosquensis,X,13,6
Araneae,Dysdera,Dysdera_lata,X,23,11
Araneae,Dysdera,Dysdera_microdonta,X,15,7
Araneae,Dysdera,Dysdera_minairo,X,11,5
Araneae,Dysdera,Dysdera_moravica,X,15,7
Araneae,Dysdera,Dysdera_moravica,X,14,6.5
Araneae,Dysdera,Dysdera_ninnii,X,15,7
Araneae,Dysdera,Dysdera_ninnii,X,15,7
Araneae,Dysdera,Dysdera_portsensis,X,15,7
Araneae,Dysdera,Dysdera_pradesensis,X,11,5
Araneae,Dysdera,Dysdera_pyrenaica,X,9,4
Araneae,Dysdera,Dysdera_quindecima,X,15,7
Araneae,Dysdera,Dysdera_septima,X,7,3
Araneae,Dysdera,Dysdera_silvatica,X,13,6
Araneae,Dysdera,Dysdera_stahlavskyi,X,9,4
Araneae,Dysdera,Dysdera_tredecima,X,13,6
Araneae,Dysdera,Dysdera_undecima,X,11,5
Araneae,Dysderocrates,Dysderocrates_storkani,X,21,10
Araneae,Dysderocrates,Dysderocrates_sp.,X,9,4
Araneae,Harpactea,Harpactea_cecconii,X,7,3
Araneae,Harpactea,Harpactea_henschi,X,25,12
Araneae,Harpactea,Harpactea_hombergi,X,7,3
Araneae,Harpactea,Harpactea_lepida,X,25,12
Araneae,Harpactea,Harpactea_rubicunda,X,7,3
Araneae,Harpactocrates,Harpactocrates_sp.,X,9,4
Araneae,Kaemis,Kaemis_sp.,X,7,3
Araneae,Drassodes,Drassodes_lutescens,X,21,10
Araneae,Drassodes,Drassodes_sp.,X,21,10
Araneae,Drassodes,Drassodes_sp.,X,21,10
Araneae,Urozelotes,Urozelotes_rusticus,X,21,10
Araneae,Zelotes,Zelotes_petrensis,X,23,11
Araneae,Ummidia,Ummidia_sp.,X,53,26
Araneae,Hogna,Hogna_sternalis,X,19,9
Araneae,Lycosa,Lycosa_barnesi,X,27,13
Araneae,Lycosa,Lycosa_nordenskjoldi,X,19,9
Araneae,Lycosa,Lycosa_nordenskjoldi,X,19,9
Araneae,Lycosa,Lycosa_gr.,X,19,9
Araneae,Schizocosa,Schizocosa_sp.,X,23,11
Araneae,Wadicosa,Wadicosa_quadrifer,X,27,13
Araneae,Megahexura,Megahexura_fulva,X,43,21
Araneae,Poecilomigas,Poecilomigas_abrahami,X,33,16
Araneae,Ochyrocera,Ochyrocera_sp.,X,13,6
Araneae,Oecobius,Oecobius_navus,X,19,9
Araneae,Cinetomorpha,Cinetomorpha_simplex,X,9,4
Araneae,Ischnothyreus,Ischnothyreus_sp.,X,7,3
Araneae,Neotrops,Neotrops_sp.,X,7,3
Araneae,Neoxyphinus,Neoxyphinus_termitophilus,X,7,3
Araneae,Oonops,Oonops_ebenecus,X,7,3
Araneae,Oonops,Oonops_pulcher,X,7,3
Araneae,Xestaspis,Xestaspis_parmata,X,7,3
Araneae,Afrilobus,Afrilobus_sp.,X,5,2
Araneae,----,----_,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_hindostanicus,X,21,10
Araneae,Oxyopes,Oxyopes_javanus,X,23,11
Araneae,Oxyopes,Oxyopes_lepidus,X,21,10
Araneae,Oxyopes,Oxyopes_macilentus,X,21,10
Araneae,Oxyopes,Oxyopes_macilentus,X,23,11
Araneae,Oxyopes,Oxyopes_pandae,X,21,10
Araneae,Oxyopes,Oxyopes_ramosus,X,21,10
Araneae,Oxyopes,Oxyopes_rufisternis,X,21,10
Araneae,Oxyopes,Oxyopes_rufisternis,X,21,10
Araneae,Oxyopes,Oxyopes_ryvesi,X,21,10
Araneae,Oxyopes,Oxyopes_salticus,X,11,5
Araneae,Oxyopes,Oxyopes_sertatus,X,21,10
Araneae,Oxyopes,Oxyopes_sertatus,X,21,10
Araneae,Oxyopes,Oxyopes_sertatus,X,21,10
Araneae,Oxyopes,Oxyopes_sertatus,X,21,10
Araneae,Oxyopes,Oxyopes_sertatus,X,21,10
Araneae,Oxyopes,Oxyopes_shweta,X,21,10
Araneae,Oxyopes,Oxyopes_shweta,X,21,10
Araneae,Oxyopes,Oxyopes_sushilae,X,21,10
Araneae,Oxyopes,Oxyopes_sp.,X,21,10
Araneae,Oxyopes,Oxyopes_sp.,X,21,10
Araneae,Oxyopes,Oxyopes_sp.,X,21,10
Araneae,Peucetia,Peucetia_rubrolineata,X,21,10
Araneae,Philodromus,Philodromus_auricomus,X,27,13
Araneae,Philodromus,Philodromus_subaureolus,X,27,13
Araneae,Anopsicus,Anopsicus_sp.,X,17,8
Araneae,Belisana,Belisana_sabah,X,23,11
Araneae,Cantikus,Cantikus_sabah,X,13,6
Araneae,Carapoia,Carapoia_lutea,X,15,7
Araneae,Carapoia,Carapoia_sp.,X,15,7
Araneae,Chisosa,Chisosa_diluta,X,13,6
Araneae,Crossopriza,Crossopriza_lyoni,X,27,13
Araneae,Crossopriza,Crossopriza_lyoni,X,25,12
Araneae,Crossopriza,Crossopriza_lyoni,X,23,11
Araneae,Crossopriza,Crossopriza_lyoni,X,23,11
Araneae,Crossopriza,Crossopriza_lyoni,X,23,11
Araneae,Crossopriza,Crossopriza_lyoni,X,23,11
Araneae,Crossopriza,Crossopriza_lyoni,X,23,11
Araneae,Crossopriza,Crossopriza_lyoni,X,23,11
Araneae,Crossopriza,Crossopriza_sp.,X,23,11
Araneae,Guaranita,Guaranita_goloboffi,X,11,5
Araneae,Holocneminus,Holocneminus_sp.,X,15,7
Araneae,Holocnemus,Holocnemus_caudatus,X,23,11
Araneae,Holocnemus,Holocnemus_caudatus,X,23,11
Araneae,Holocnemus,Holocnemus_hispanicus,X,23,11
Araneae,Holocnemus,Holocnemus_pluchei,X,27,13
Araneae,Mesabolivar,Mesabolivar_brasiliensis,X,17,8
Araneae,Mesabolivar,Mesabolivar_cyaneotaeniatus,X,17,8
Araneae,Mesabolivar,Mesabolivar_spinulosus,X,17,8
Araneae,Mesabolivar,Mesabolivar_togatus,X,17,8
Araneae,Micropholcus,Micropholcus_fauroti,X,17,8
Araneae,Micropholcus,Micropholcus_fauroti,X,9,4
Araneae,Micropholcus,Micropholcus_piaui,X,9,4
Araneae,Micropholcus,Micropholcus_ubajara,X,9,4
Araneae,Modisimus,Modisimus_cf.,X,17,8
Araneae,Pholcus,Pholcus_manueli,X,25,12
Araneae,Physocyclus,Physocyclus_californicus,X,15,7
Araneae,Physocyclus,Physocyclus_dugesi,X,15,7
Araneae,Physocyclus,Physocyclus_enaulus,X,15,7
Araneae,Physocyclus,Physocyclus_globosus,X,15,7
Araneae,Physocyclus,Physocyclus_mexicanus,X,15,7
Araneae,Physocyclus,Physocyclus_sp.,X,15,7
Araneae,Physocyclus,Physocyclus_sp.,X,15,7
Araneae,Psilochorus,Psilochorus_californiae,X,17,8
Araneae,Psilochorus,Psilochorus_pallidulus,X,17,8
Araneae,Psilochorus,Psilochorus_simoni,X,17,8
Araneae,Stygopholcus,Stygopholcus_skotophilus,X,23,11
Araneae,Aelurillus,Aelurillus_politiventris,X,21,10
Araneae,Attinella,Attinella_concolor,X,15,7
Araneae,Habronattus,Habronattus_tarascanus,X,27,13
Araneae,Habronattus,Habronattus_sp.,X,27,13
Araneae,Marpissa,Marpissa_sp.,X,21,10
Araneae,Myrmarachne,Myrmarachne_formicaria,X,23,11
Araneae,Myrmarachne,Myrmarachne_laeta,X,23,11
Araneae,Myrmarachne,Myrmarachne_melanocephala,X,23,11
Araneae,Myrmarachne,Myrmarachne_prava,X,25,12
Araneae,Myrmarachne,Myrmarachne_ramunni,X,23,11
Araneae,Neon,Neon_reticulatus,X,21,10
Araneae,Rhene,Rhene_flavigera,X,23,11
Araneae,Scytodes,Scytodes_fusca,X,31,15
Araneae,Scytodes,Scytodes_globula,X,13,6
Araneae,Scytodes,Scytodes_globula,X,13,6
Araneae,Scytodes,Scytodes_itapevi,X,17,8
Araneae,Scytodes,Scytodes_thoracica,X,19,9
Araneae,Scytodes,Scytodes_sp.,X,19,9
Araneae,Ariadna,Ariadna_boesenbergi,X,9,4
Araneae,Ariadna,Ariadna_lateralis,X,7,3
Araneae,Ariadna,Ariadna_lateralis,X,7,3
Araneae,Ariadna,Ariadna_mollis,X,9,4
Araneae,Ariadna,Ariadna_sp.,X,7,3
Araneae,Heteropoda,Heteropoda_sexpunctata,X,21,10
Araneae,Monoblemma,Monoblemma_muchmorei,X,23,11
Araneae,Idiothele,Idiothele_mira,X,25,12
Araneae,Pterinochilus,Pterinochilus_murinus,X,43,21
Araneae,Argyrodes,Argyrodes_cf.,X,21,10
Araneae,Argyrodes,Argyrodes_elevatus,X,21,10
Araneae,Argyrodes,Argyrodes_sp.,X,21,10
Araneae,Latrodectus,Latrodectus_geometricus,X,17,8
Araneae,Theridion,Theridion_pictum,X,29,14
Araneae,Theridion,Theridion_pictum,X,-23,-12
Araneae,Bassaniana,Bassaniana_decorata,X,23,11
Araneae,Coriarachne,Coriarachne_fulvipes,X,23,11
Araneae,Ebrechtella,Ebrechtella_tricuspidata,X,23,11
Araneae,Ebrechtella,Ebrechtella_tricuspidata,X,23,11
Araneae,Ebrechtella,Ebrechtella_tricuspidata,X,23,11
Araneae,Heriaeus,Heriaeus_setiger,X,23,11
Araneae,Indoxysticus,Indoxysticus_minutus,X,23,11
Araneae,Massuria,Massuria_sreepanchamii,X,23,11
Araneae,Mastira,Mastira_menoka,X,23,11
Araneae,Misumena,Misumena_vatia,X,23,11
Araneae,Ozyptila,Ozyptila_maratha,X,21,10
