Order,genus,species,SCS,2n,haploid
Araneae,Thomisus,Thomisus_beautifularis,X,23,11
Araneae,Thomisus,Thomisus_sp.,X,23,11
Araneae,Xysticus,Xysticus_cristatus,X,23,11
Araneae,Xysticus,Xysticus_croceus,X,23,11
Araneae,Xysticus,Xysticus_ephippiatus,X,23,11
Araneae,Xysticus,Xysticus_ephippiatus,X,23,11
Araneae,Xysticus,Xysticus_gallicus,X,23,11
Araneae,Xysticus,Xysticus_insulicola,X,23,11
Araneae,Xysticus,Xysticus_roonwali,X,23,11
Araneae,Xysticus,Xysticus_ulmi,X,23,11
Araneae,Xysticus,Xysticus_ulmi,X,23,11
Araneae,Xysticus,Xysticus_ulmi,X,23,11
Araneae,Xysticus,Xysticus_sp.,X,23,11
Araneae,Xysticus,Xysticus_sp.,X,23,11
Araneae,Orthobula,Orthobula_sp.,X,21,10
Araneae,Octonoba,Octonoba_sinensis,X,17,8
Araneae,Octonoba,Octonoba_sinensis,X,17,8
Araneae,Zosis,Zosis_geniculata,X,17,8
Araneae,Zosis,Zosis_geniculata,X,17,8
Araneae,Zodarion,Zodarion_germanicum,X,29,14
Araneae,Zodarion,Zodarion_hamatum,X,21,10
Araneae,Zodarion,Zodarion_italicum,X,21,10
Araneae,Zodarion,Zodarion_lutipes,X,25,12
Araneae,Zodarion,Zodarion_nitidum,X,25,12
Araneae,Delena,Delena_cancerides,X neoX1-2 Y,22,11
Araneae,Delena,Delena_cancerides,X neoX1-3 Y1-2,24,12
Araneae,Delena,Delena_cancerides,X neoX1-3 Y1-2,22,11
Araneae,Delena,Delena_cancerides,X neoX1-3 Y1-2,22,11
Araneae,Delena,Delena_cancerides,X neoX1-3 Y1-2,22,11
Araneae,Delena,Delena_cancerides,X neoX1-5 Y1-4,34,17
Araneae,Delena,Delena_cancerides,X neoX1-5 Y1-4,22,11
Araneae,Delena,Delena_cancerides,X neoX1-5 Y1-4,22,11
Araneae,Delena,Delena_cancerides,X neoX1-5 Y1-4,22,11
Araneae,Delena,Delena_cancerides,X neoX1-5 Y1-4,22,11
Araneae,Delena,Delena_cancerides,X neoX1-5 Y1-4,22,11
Araneae,Titanidiops,Titanidiops_syriacus,X?,61,30
Araneae,Alpaida,Alpaida_veniliae,X`1X2,22,11
Araneae,Arctosa,Arctosa_maculata,X`1X2,28,14
Araneae,Pterinochilus,Pterinochilus_lugardi,X+CSCP,23,11
Araneae,Cyrtophora,Cyrtophora_citricola,X1X1X2X2,-26,13
Araneae,Nephilingis,Nephilingis_cruentata,X1X1X2X2,-26,13
Araneae,Polybetes,Polybetes_punctulatus,X1X1X2X2,-44,22
Araneae,Polybetes,Polybetes_rapidus,X1X1X2X2,-44,22
Araneae,Syntrechalea,Syntrechalea_syntrechaloides,X1X1X2X2,-30,15
Araneae,Agelena,Agelena_labyrinthica,X1X2,42,21
Araneae,Agelena,Agelena_limbata,X1X2,46,23
Araneae,Agelena,Agelena_limbata,X1X2,44,22
Araneae,Agelena,Agelena_limbata,X1X2,42,21
Araneae,Agelenopsis,Agelenopsis_naevia,X1X2,40,20
Araneae,Agelenopsis,Agelenopsis_naevia,X1X2,52,26
Araneae,Allagelena,Allagelena_difficilis,X1X2,44,22
Araneae,Allagelena,Allagelena_opulenta,X1X2,44,22
Araneae,Allagelena,Allagelena_opulenta,X1X2,44,22
Araneae,Eratigena,Eratigena_atrica,X1X2,42,21
Araneae,Tegecoelotes,Tegecoelotes_corasides,X1X2,42,21
Araneae,Tegenaria,Tegenaria_elysii,X1X2,42,21
Araneae,Tegenaria,Tegenaria_silvestris,X1X2,42,21
Araneae,Anyphaena,Anyphaena_accentuata,X1X2,26,13
Araneae,Anyphaena,Anyphaena_pugil,X1X2,26,13
Araneae,Wulfila,Wulfila_saltabundus,X1X2,20,10
Araneae,Acacesia,Acacesia_benigna,X1X2,24,12
Araneae,Actinosoma,Actinosoma_pentacanthum,X1X2,24,12
Araneae,Acusilas,Acusilas_coccineus,X1X2,24,12
Araneae,Alenatea,Alenatea_fuscocolorata,X1X2,24,12
Araneae,Alpaida,Alpaida_bicornuta,X1X2,24,12
Araneae,Alpaida,Alpaida_leucogramma,X1X2,24,12
Araneae,Alpaida,Alpaida_truncata,X1X2,22,11
Araneae,Araneus,Araneus_angulatus,X1X2,24,12
Araneae,Araneus,Araneus_diadematus,X1X2,24,12
Araneae,Araneus,Araneus_diadematus,X1X2,24,12
Araneae,Araneus,Araneus_diadematus,X1X2,24,12
Araneae,Araneus,Araneus_diadematus,X1X2,24,12
Araneae,Araneus,Araneus_lathyrinus,X1X2,24,12
Araneae,Araneus,Araneus_quadratus,X1X2,24,12
Araneae,Araneus,Araneus_ventricosus,X1X2,48,24
Araneae,Araneus,Araneus_ventricosus,X1X2,46,23
Araneae,Araneus,Araneus_sp.,X1X2,24,12
Araneae,Araneus,Araneus_sp.,X1X2,24,12
Araneae,Araneus,Araneus_sp.,X1X2,24,12
Araneae,Araniella,Araniella_cucurbitina,X1X2,24,12
Araneae,Argiope,Argiope_amoena,X1X2,24,12
Araneae,Argiope,Argiope_amoena,X1X2,24,12
Araneae,Argiope,Argiope_bruennichi,X1X2,24,12
Araneae,Argiope,Argiope_minuta,X1X2,24,12
Araneae,Argiope,Argiope_minuta,X1X2,24,12
Araneae,Argiope,Argiope_pulchella,X1X2,24,12
Araneae,Bijoaraneus,Bijoaraneus_mitificus,X1X2,24,12
Araneae,Cyclosa,Cyclosa_atrata,X1X2,24,12
Araneae,Cyclosa,Cyclosa_atrata,X1X2,24,12
Araneae,Cyclosa,Cyclosa_bifida,X1X2,24,12
Araneae,Cyclosa,Cyclosa_bifida,X1X2,24,12
Araneae,Cyclosa,Cyclosa_bifida,X1X2,24,12
Araneae,Cyclosa,Cyclosa_confraga,X1X2,24,12
Araneae,Cyclosa,Cyclosa_confraga,X1X2,24,12
Araneae,Cyclosa,Cyclosa_conica,X1X2,24,12
Araneae,Cyclosa,Cyclosa_conica,X1X2,24,12
Araneae,Cyclosa,Cyclosa_octotuberculata,X1X2,24,12
Araneae,Cyclosa,Cyclosa_octotuberculata,X1X2,24,12
Araneae,Cyclosa,Cyclosa_octotuberculata,X1X2,24,12
Araneae,Cyclosa,Cyclosa_sedeculata,X1X2,24,12
Araneae,Cyclosa,Cyclosa_spirifera,X1X2,24,12
Araneae,Cyclosa,Cyclosa_spirifera,X1X2,24,12
Araneae,Cyclosa,Cyclosa_spirifera,X1X2,24,12
Araneae,Cyclosa,Cyclosa_walckenaeri,X1X2,24,12
Araneae,Cyclosa,Cyclosa_walckenaeri,X1X2,24,12
Araneae,Cyclosa,Cyclosa_sp.,X1X2,24,12
Araneae,Cyrtophora,Cyrtophora_cicatrosa,X1X2,24,12
Araneae,Cyrtophora,Cyrtophora_cicatrosa,X1X2,24,12
Araneae,Cyrtophora,Cyrtophora_citricola,X1X2,24,12
Araneae,Cyrtophora,Cyrtophora_citricola,X1X2,24,12
Araneae,Cyrtophora,Cyrtophora_feae,X1X2,24,12
Araneae,Cyrtophora,Cyrtophora_sp.,X1X2,26,13
Araneae,Eriovixia,Eriovixia_poonaensis,X1X2,24,12
Araneae,Eriovixia,Eriovixia_poonaensis,X1X2,24,12
Araneae,Eriovixia,Eriovixia_poonaensis,X1X2,24,12
Araneae,Eustala,Eustala_sp.,X1X2,24,12
Araneae,Gasteracantha,Gasteracantha_cancriformis,X1X2,24,12
Araneae,Gasteracantha,Gasteracantha_kuhli,X1X2,16,8
Araneae,Gasteracantha,Gasteracantha_kuhli,X1X2,16,8
Araneae,Larinia,Larinia_directa,X1X2,24,12
Araneae,Larinia,Larinia_directa,X1X2,24,12
Araneae,Larinia,Larinia_sp.,X1X2,24,12
Araneae,Larinia,Larinia_sp.,X1X2,24,12
Araneae,Larinia,Larinia_sp.,X1X2,24,12
Araneae,Lariniaria,Lariniaria_argiopiformis,X1X2,24,12
Araneae,Larinioides,Larinioides_cornutus,X1X2,24,12
Araneae,Larinioides,Larinioides_cornutus,X1X2,24,12
Araneae,Larinioides,Larinioides_cornutus,X1X2,24,12
Araneae,Larinioides,Larinioides_patagiatus,X1X2,14,7
Araneae,Leviellus,Leviellus_stroemi,X1X2,24,12
Araneae,Macracantha,Macracantha_hasselti,X1X2,16,8
Araneae,Macracantha,Macracantha_hasselti,X1X2,16,8
Araneae,Neoscona,Neoscona_achine,X1X2,24,12
Araneae,Neoscona,Neoscona_achine,X1X2,24,12
Araneae,Neoscona,Neoscona_adianta,X1X2,24,12
Araneae,Neoscona,Neoscona_arabesca,X1X2,24,12
Araneae,Neoscona,Neoscona_arabesca,X1X2,24,12
Araneae,Neoscona,Neoscona_mukerjei,X1X2,24,12
Araneae,Neoscona,Neoscona_pavida,X1X2,24,12
Araneae,Neoscona,Neoscona_punctigera,X1X2,24,12
Araneae,Neoscona,Neoscona_punctigera,X1X2,24,12
Araneae,Neoscona,Neoscona_scylla,X1X2,24,12
Araneae,Neoscona,Neoscona_scylla,X1X2,14,7
Araneae,Neoscona,Neoscona_theisi,X1X2,24,12
Araneae,Neoscona,Neoscona_sp.,X1X2,14,7
Araneae,Neoscona,Neoscona_sp.,X1X2,24,12
Araneae,Neoscona,Neoscona_sp.,X1X2,24,12
Araneae,Nuctenea,Nuctenea_umbratica,X1X2,24,12
Araneae,Nuctenea,Nuctenea_umbratica,X1X2,24,12
Araneae,Nuctenea,Nuctenea_umbratica,X1X2,24,12
Araneae,Parawixia,Parawixia_bistriata,X1X2,24,12
Araneae,Parawixia,Parawixia_kochi,X1X2,22,11
Araneae,Parawixia,Parawixia_velutina,X1X2,24,12
Araneae,Songaraneus,Songaraneus_ejusmodi,X1X2,24,12
Araneae,Singa,Singa_hamata,X1X2,24,12
Araneae,Trichonephila,Trichonephila_clavata,X1X2,24,12
Araneae,Trichonephila,Trichonephila_clavipes,X1X2,24,12
Araneae,Trichonephila,Trichonephila_sexpunctata,X1X2,24,12
Araneae,Wagneriana,Wagneriana_sp.,X1X2,22,11
Araneae,Atypus,Atypus_karschi,X1X2,46,23
Araneae,Atypus,Atypus_karschi,X1X2,46,23
Araneae,Atypus,Atypus_karschi,X1X2,44,22
Araneae,Cheiracanthium,Cheiracanthium_himalayense,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_insigne,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_japonicum,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_japonicum,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_melanostomum,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_melanostomum,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_mildei,X1X2,28,14
Araneae,Cheiracanthium,Cheiracanthium_pennyi,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_punctorium,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_unicum,X1X2,26,13
Araneae,Cheiracanthium,Cheiracanthium_sp.,X1X2,26,13
Araneae,Cheiramiona,Cheiramiona_kirkspriggsi,X1X2,24,12
Araneae,Strotarchus,Strotarchus_vittatus,X1X2,22,11
Araneae,Strotarchus,Strotarchus_vittatus,X1X2,22,11
Araneae,Clubiona,Clubiona_caerulescens,X1X2,22,11
Araneae,Clubiona,Clubiona_drassodes,X1X2,22,11
Araneae,Clubiona,Clubiona_drassodes,X1X2,22,11
Araneae,Clubiona,Clubiona_japonicola,X1X2,20,10
Araneae,Clubiona,Clubiona_japonicola,X1X2,22,11
Araneae,Clubiona,Clubiona_japonicola,X1X2,24,12
Araneae,Clubiona,Clubiona_lena,X1X2,24,12
Araneae,Clubiona,Clubiona_ludhianaensis,X1X2,26,13
Araneae,Clubiona,Clubiona_phragmitis,X1X2,22,11
Araneae,Clubiona,Clubiona_stagnatilis,X1X2,24,12
Araneae,Clubiona,Clubiona_subsultans,X1X2,22,11
Araneae,Clubiona,Clubiona_subsultans,X1X2,24,12
Araneae,Clubiona,Clubiona_subsultans,X1X2,24,12
Araneae,Clubiona,Clubiona_sp.,X1X2,26,13
Araneae,Castianeira,Castianeira_longipalpus,X1X2,26,13
Araneae,Castianeira,Castianeira_longipalpus,X1X2,26,13
Araneae,Castianeira,Castianeira_zetes,X1X2,26,13
Araneae,Falconina,Falconina_sp.,X1X2,28,14
Araneae,Asthenoctenus,Asthenoctenus_borellii,X1X2,22,11
Araneae,Bowie,Bowie_indicus,X1X2,28,14
Araneae,Centroctenus,Centroctenus_brevipes,X1X2,28,14
Araneae,Ctenus,Ctenus_amphora,X1X2,28,14
Araneae,Ctenus,Ctenus_crulsi,X1X2,28,14
Araneae,Ctenus,Ctenus_medius,X1X2,28,14
Araneae,Ctenus,Ctenus_medius,X1X2,28,14
Araneae,Ctenus,Ctenus_ornatus,X1X2,28,14
Araneae,Ctenus,Ctenus_ornatus,X1X2,28,14
Araneae,Ctenus,Ctenus_ornatus,X1X2,28,14
Araneae,Ctenus,Ctenus_cf.,X1X2,28,14
Araneae,Ctenus,Ctenus_villasboasi,X1X2,28,14
Araneae,Ctenus,Ctenus_sp.,X1X2,28,14
Araneae,Enoploctenus,Enoploctenus_cyclothorax,X1X2,28,14
Araneae,Guasuctenus,Guasuctenus_longipes,X1X2,28,14
Araneae,Phoneutria,Phoneutria_nigriventer,X1X2,28,14
Araneae,Phoneutria,Phoneutria_nigriventer,X1X2,28,14
Araneae,Cyrtocarenum,Cyrtocarenum_cunicularium,X1X2,74,37
Araneae,Metaltella,Metaltella_simoni,X1X2,40,20
Araneae,Argyroneta,Argyroneta_aquatica,X1X2,24,12
Araneae,Argyroneta,Argyroneta_aquatica,X1X2,24,12
Araneae,Argyroneta,Argyroneta_aquatica,X1X2,24,12
Araneae,Dictyna,Dictyna_arundinacea,X1X2,24,12
Araneae,Dictyna,Dictyna_foliicola,X1X2,24,12
Araneae,Dictyna,Dictyna_uncinata,X1X2,22,11
Araneae,Dictyna,Dictyna_uncinata,X1X2,22,11
Araneae,Dolomedes,Dolomedes_fimbriatus,X1X2,24,12
Araneae,Dolomedes,Dolomedes_fimbriatus,X1X2,26,13
Araneae,Dolomedes,Dolomedes_fimbriatus,X1X2,26,13
Araneae,Dolomedes,Dolomedes_saganus,X1X2,28,14
Araneae,Dolomedes,Dolomedes_saganus,X1X2,28,14
Araneae,Dolomedes,Dolomedes_saganus,X1X2,28,14
Araneae,Dolomedes,Dolomedes_scriptus,X1X2,26,13
Araneae,Dolomedes,Dolomedes_sulfureus,X1X2,28,14
Araneae,Dolomedes,Dolomedes_sulfureus,X1X2,28,14
Araneae,Dolomedes,Dolomedes_sp.,X1X2,28,14
Araneae,Dolomedes,Dolomedes_sp.,X1X2,28,14
Araneae,Dysdera,Dysdera_dolanskyi,X1X2,20,10
Araneae,Stegodyphus,Stegodyphus_dumicola,X1X2,26,13
Araneae,Stegodyphus,Stegodyphus_sarasinorum,X1X2,30,15
Araneae,Stegodyphus,Stegodyphus_sarasinorum,X1X2,24,12
Araneae,Stegodyphus,Stegodyphus_sarasinorum,X1X2,30,15
Araneae,Stegodyphus,Stegodyphus_sarasinorum,X1X2,30,15
Araneae,Stegodyphus,Stegodyphus_sarasinorum,X1X2,30,15
Araneae,Kukulcania,Kukulcania_hibernalis,X1X2,24,12
Araneae,Austrachelas,Austrachelas_natalensis,X1X2,22,11
Araneae,Ammoxenus,Ammoxenus_amphalodes,X1X2,22,11
Araneae,Ammoxenus,Ammoxenus_psammodromus,X1X2,22,11
Araneae,Berinda,Berinda_ensigera,X1X2,22,11
Araneae,Berinda,Berinda_hakani,X1X2,22,11
Araneae,Berlandina,Berlandina_cinerea,X1X2,22,11
Araneae,Callilepis,Callilepis_cretica,X1X2,22,11
Araneae,Callilepis,Callilepis_imbecilla,X1X2,22,11
Araneae,Callilepis,Callilepis_nocturna,X1X2,22,11
Araneae,Callilepis,Callilepis_nocturna,X1X2,22,11
Araneae,Camillina,Camillina_maun,X1X2,22,11
Araneae,Cesonia,Cesonia_sp.,X1X2,22,11
Araneae,Civizelotes,Civizelotes_caucasius,X1X2,22,11
Araneae,Drassodes,Drassodes_bifidus,X1X2,22,11
Araneae,Drassodes,Drassodes_lapidosus,X1X2,22,11
Araneae,Drassodes,Drassodes_pubescens,X1X2,22,11
Araneae,Drassodes,Drassodes_serratichelis,X1X2,22,11
Araneae,Drassodes,Drassodes_sp.,X1X2,22,11
