Order,Family,species,scs,haploid
Coleoptera,Coccinellidae,Adalia_bipunctata,XY,10
Coleoptera,Coccinellidae,Adalia_bipunctata,Xyp,10
Coleoptera,Coccinellidae,Adalia_frigida_melanopleura,Xyp,10
Coleoptera,Coccinellidae,Afissa_parvula,Xyp,9
Coleoptera,Coccinellidae,Aiolocaria_mirablis,XO,9
Coleoptera,Coccinellidae,Anatis_15-punctata,NeoXY,9
Coleoptera,Coccinellidae,Anatis_mali,NeoXY,9
Coleoptera,Coccinellidae,Anatis_rathvoni,NeoXY,9
Coleoptera,Coccinellidae,Anisocalvia_duodecimmaculata,XY,10
Coleoptera,Coccinellidae,Anisocalvia_duodecimmaculata,Xyp,10
Coleoptera,Coccinellidae,Anisocalvia_quatuordecimguttata,Xyp,10
Coleoptera,Coccinellidae,Anisocalvia_quatuordecimguttata,Xyr,10
Coleoptera,Coccinellidae,Anisocalvia_quatuordecimguttata_similis,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_axyridis,Xyp,8
Coleoptera,Coccinellidae,Aphidecta_axyridis,Xyr,8
Coleoptera,Coccinellidae,Aphidecta_axyridis_spectablis,Xyp,8
Coleoptera,Coccinellidae,Aphidecta_bruchii,Xyr,9
Coleoptera,Coccinellidae,Aphidecta_bruchii,XY,10
Coleoptera,Coccinellidae,Aphidecta_californica,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_crotchi,Xyr,10
Coleoptera,Coccinellidae,Aphidecta_novemnotata,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_septempunctata,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_septempunctata_bruckii,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_transversalis,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_transversoguttata,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_transversoguttata_quinquenotata,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_trifasciata,Xyp,10
Coleoptera,Coccinellidae,Aphidecta_trifasciata_julia,Xyp,10
