Order,Family,Genus,species,Female2n,Male2n,haploid,Sex.chromosome.system,Notes.sex.chrom
Primates,Aotidae,Aotus,Aotus_azarae,50,49,25,complex XY,X1X2Y
Primates,Aotidae,Aotus,Aotus_boliviensis,50,49,25,complex XY,X1X2Y
Primates,Aotidae,Aotus,Aotus_inflatus,50,49,25,complex XY,X1X2Y
Primates,Aotidae,Aotus,Aotus_lemurinus_grisiemembra,54,54,27,XY,
Primates,Aotidae,Aotus,Aotus_nancymaae,54,54,27,XY,
Primates,Aotidae,Aotus,Aotus_sp.,50,49,25,complex XY,X1X2Y
Primates,Aotidae,Aotus,Aotus_trivirgatus,54,54,27,XY,
Primates,Atelidae,Alouatta,Alouatta_arctoidea,44,44,22,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_belzebul,50,49,25,complex XY,X1X2Y
Primates,Atelidae,Alouatta,Alouatta_belzebul,50,49,25,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_caraya,52,52,26,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_fusca,50,49,25,complex XY,X1X2Y
Primates,Atelidae,Alouatta,Alouatta_fusca_clamitans,46,45,23,complex XY,X1X2X3Y1Y2
Primates,Atelidae,Alouatta,Alouatta_guariba,50,50,25,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_palliata,54,53,27,complex XY,X1X2Y
Primates,Atelidae,Alouatta,Alouatta_sara,50,50,25,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_sara,52,52,26,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_seniculus,44,44,22,complex XY,X1X2Y1Y2
Primates,Atelidae,Alouatta,Alouatta_seniculus_macconnelli,46,46,23,complex XY,X1X2Y1Y2
Primates,Atelidae,Ateles,Ateles_belzebuth_marginatus,34,34,17,XY,
Primates,Atelidae,Ateles,Ateles_geoffroyi,34,34,17,XY,
Primates,Atelidae,Ateles,Ateles_paniscus,34,34,17,XY,
Primates,Atelidae,Brachyteles,Brachyteles_arachnoides,62,62,31,XY,
Primates,Atelidae,Lagothrix,Lagothrix_lagotricha,62,62,31,XY,
Primates,Atelidae,Lagothrix,Lagothrix_ubericolor,62,62,31,XY,
Primates,Callitrichidae,Callimico,Callimico_goeldii,48,47,24,complex XY,X1X2Y
Primates,Callitrichidae,Callithrix,Callithrix_argentata,44,44,22,XY,
Primates,Callitrichidae,Callithrix,Callithrix_chrysoleuca,44,44,22,XY,
Primates,Callitrichidae,Callithrix,Callithrix_emiliae,44,44,22,XY,
Primates,Callitrichidae,Callithrix,Callithrix_geoffroyi,46,46,23,XY,
Primates,Callitrichidae,Callithrix,Callithrix_humeralifer,46,46,23,XY,
Primates,Callitrichidae,Callithrix,Callithrix_humeralifer,44,44,22,XY,
Primates,Callitrichidae,Callithrix,Callithrix_jacchus,46,46,23,XY,
Primates,Callitrichidae,Callithrix,Callithrix_mauesi,44,44,22,XY,
Primates,Callitrichidae,Callithrix,Callithrix_pygmaea,44,44,22,XY,
Primates,Callitrichidae,Cebuella,Cebuella_pygmaea,44,44,22,XY,
Primates,Callitrichidae,Leontopithecus,Leontopithecus_chrysopygus,46,46,23,XY,
Primates,Callitrichidae,Leontopithecus,Leontopithecus_rosalia,46,46,23,XY,
Primates,Callitrichidae,Saguinus,Saguinus_fusicollis,46,46,23,XY,
Primates,Callitrichidae,Saguinus,Saguinus_imperator,46,46,23,XY,
Primates,Callitrichidae,Saguinus,Saguinus_midas,46,46,23,XY,
Primates,Callitrichidae,Saguinus,Saguinus_mystax,46,46,23,XY,
Primates,Callitrichidae,Saguinus,Saguinus_nigricollis,46,46,23,XY,
Primates,Callitrichidae,Saguinus,Saguinus_oedipus,46,46,23,XY,
Primates,Cebidae,Cebus,Cebus_albifrons,54,54,27,XY,
Primates,Cebidae,Cebus,Cebus_albifrons_albifrons,54,54,27,XY,
Primates,Cebidae,Cebus,Cebus_apella,54,54,27,XY,
Primates,Cebidae,Cebus,Cebus_apella_paraguayanus,54,54,27,XY,
Primates,Cebidae,Cebus,Cebus_capucinus,54,54,27,XY,
Primates,Cebidae,Cebus,Cebus_olivaceus,52,52,26,XY,
Primates,Cebidae,Cebus,Cebus_olivaceus,54,54,27,XY,
Primates,Cebidae,Saimiri,Saimiri_sciureus,44,44,22,XY,
Primates,Cercopithecidae,Allenopithecus,Allenopithecus_nigroviridis,48,48,24,XY,
Primates,Cercopithecidae,Cercocebus,Cercocebus_galeritus,42,42,21,XY,
Primates,Cercopithecidae,Cercocebus,Cercocebus_torquatus,42,42,21,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_aethiops,60,60,30,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_ascanius,66,66,33,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_ascanius_schmidti,66,66,33,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_cephus,66,66,33,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_diana,58,58,29,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_l'hoesti,60,60,30,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_mitis,72,72,36,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_mona_campbell,66,66,33,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_neglectus,62,62,31,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_nictitans,70,70,35,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_petaurista,66,66,33,XY,
