Order,Family,Genus,species,Female2n,Male2n,haploid,Sex.chromosome.system,Notes.sex.chrom
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_pogonias,72,72,36,XY,
Primates,Cercopithecidae,Cercopithecus,Cercopithecus_talapoin,54,54,27,XY,
Primates,Cercopithecidae,Colobus,Colobus_angolensis_palliatus,44,44,22,XY,
Primates,Cercopithecidae,Colobus,Colobus_guereza,44,44,22,XY,
Primates,Cercopithecidae,Erythrocebus,Erythrocebus_patas,54,54,27,XY,
Primates,Cercopithecidae,Macaca,Macaca_fascicularis,42,42,21,XY,
Primates,Cercopithecidae,Macaca,Macaca_fuscata,42,42,21,XY,
Primates,Cercopithecidae,Macaca,Macaca_mulatta,42,42,21,XY,
Primates,Cercopithecidae,Macaca,Macaca_nigra,42,42,21,XY,
Primates,Cercopithecidae,Macaca,Macaca_sylvanus,42,42,21,XY,
Primates,Cercopithecidae,Mandrillus,Mandrillus_sphinx,42,42,21,XY,
Primates,Cercopithecidae,Miopithecus,Miopithecus_talapoin,54,54,27,XY,
Primates,Cercopithecidae,Nasalis,Nasalis_larvatus,48,48,24,XY,
Primates,Cercopithecidae,Papio,Papio_anubis,42,42,21,XY,
Primates,Cercopithecidae,Papio,Papio_hamadryas,42,42,21,XY,
Primates,Cercopithecidae,Papio,Papio_papio,42,42,21,XY,
Primates,Cercopithecidae,Presbytis,Presbytis_entellus,44,44,22,XY,
Primates,Cercopithecidae,Presbytis,Presbytis_obscurus,44,44,22,XY,
Primates,Cercopithecidae,Pygathrix,Pygathrix_nemaeus,44,44,22,XY,
Primates,Cercopithecidae,Semnopithecus,Semnopithecus_entellus,44,44,22,XY,
Primates,Cercopithecidae,Theropithecus,Theropithecus_gelada,42,42,21,XY,
Primates,Cercopithecidae,Trachypithecus,Trachypithecus_cristatus,44,44,22,complex XY,XY1Y2
Primates,Cercopithecidae,Trachypithecus,Trachypithecus_obscurus,44,44,22,XY,
Primates,Cheirogaleidae,Microcebus,Microcebus_murinus,66,66,33,XY,
Primates,Daubentoniidae,Daubentonia,Daubentonia_madagascariensis,30,30,15,XY,
Primates,Galagidae,Galago,Galago_alleni,40,40,20,XY,
Primates,Galagidae,Galago,Galago_crassicaudatus_monteiri,62,62,31,XY,
Primates,Galagidae,Galago,Galago_demidovii,58,58,29,XY,
Primates,Galagidae,Galago,Galago_moholi,38,38,19,XY,
Primates,Galagidae,Otolemur,Otolemur_crassicaudatus,62,62,31,XY,
Primates,Hominidae,Gorilla,Gorilla_gorilla,48,48,24,XY,
Primates,Hominidae,Homo,Homo_sapiens,46,46,23,XY,
Primates,Hominidae,Pan,Pan_paniscus,48,48,24,XY,
Primates,Hominidae,Pan,Pan_troglodytes,48,48,24,XY,
Primates,Hominidae,Pongo,Pongo_abelii,48,48,24,XY,
Primates,Hominidae,Pongo,Pongo_pygmaeus,48,48,24,XY,
Primates,Hominidae,Pongo,Pongo_pygmaeus_abelii,48,48,24,XY,
Primates,Hylobatidae,Hoolock,Hoolock_hoolock,38,38,19,XY,
Primates,Hylobatidae,Hoolock,Hoolock_leuconedys,38,38,19,XY,
Primates,Hylobatidae,Hylobates,Hylobates_concolor,52,52,26,XY,
Primates,Hylobatidae,Hylobates,Hylobates_lar,44,44,22,XY,
Primates,Hylobatidae,Hylobates,Hylobates_moloch,42,42,21,XY,
Primates,Hylobatidae,Hylobates,Hylobates_syndactylus,50,50,25,XY,
Primates,Hylobatidae,Nomascus,Nomascus_concolor,52,52,26,XY,
Primates,Hylobatidae,Nomascus,Nomascus_gabriellae,52,52,26,XY,
Primates,Hylobatidae,Nomascus,Nomascus_leucogenys,52,52,26,XY,
Primates,Hylobatidae,Nomascus,Nomascus_siki,52,52,26,XY,
Primates,Hylobatidae,Symphalangus,Symphalangus_brachytanites,50,50,25,XY,
Primates,Hylobatidae,Symphalangus,Symphalangus_syndactylus,50,50,25,XY,
Primates,Indriidae,Propithecus,Propithecus_tattersalli,42,42,21,XY,
Primates,Indriidae,Propithecus,Propithecus_verreauxi_coquereli,48,48,24,XY,
Primates,Lemuridae,Eulemur,Eulemur_fulvus,60,60,30,XY,
Primates,Lemuridae,Eulemur,Eulemur_fulvus_sanfordi,60,60,30,XY,
Primates,Lemuridae,Eulemur,Eulemur_macaco,44,44,22,XY,
Primates,Lemuridae,Eulemur,Eulemur_macaco_falvifrons,44,44,22,XY,
Primates,Lemuridae,Lemur,Lemur_catta,56,56,28,XY,
Primates,Lemuridae,Lemur,Lemur_fulvus_fulvus,60,60,30,XY,
Primates,Lemuridae,Lemur,Lemur_macaco,44,44,22,XY,
Primates,Lemuridae,Lemur,Lemur_variegatus_subcinctus,46,46,23,XY,
Primates,Lepilemuridae,Lepilemur,Lepilemur_leucopus,26,26,13,XY,
Primates,Lepilemuridae,Lepilemur,Lepilemur_ruficaudatus,20,20,10,XY,
Primates,Lepilemuridae,Lepilemur,Lepilemur_septentrionalis,34,34,17,XY,
Primates,Lorisidae,Loris,Loris_tardigradus,62,62,31,XY,
Primates,Lorisidae,Nycticebus,Nycticebus_coucang,50,50,25,XY,
Primates,Lorisidae,Nycticebus,Nycticebus_pygmaeus,50,50,25,XY,
Primates,Pitheciidae,Cacajao,Cacajao_calvus,46,45,23,complex XY,X1X2Y
Primates,Pitheciidae,Cacajao,Cacajao_calvus_rubicundus,46,46,23,XY,
Primates,Pitheciidae,Callicebus,Callicebus_coimbrai,44,44,22,XY,
Primates,Pitheciidae,Callicebus,Callicebus_cupreus,46,46,23,XY,
Primates,Pitheciidae,Callicebus,Callicebus_donacophilus_pallescens,50,50,25,XY,
Primates,Pitheciidae,Callicebus,Callicebus_hoffmannsi,50,50,25,XY,
Primates,Pitheciidae,Callicebus,Callicebus_lugens,16,16,8,XY,
Primates,Pitheciidae,Callicebus,Callicebus_nigrifrons,42,42,21,XY,
Primates,Pitheciidae,Callicebus,Callicebus_pallescens,50,50,25,XY,
Primates,Pitheciidae,Callicebus,Callicebus_personatus,44,44,22,XY,
Primates,Pitheciidae,Callicebus,Callicebus_personatus_nigrifrous,42,42,21,XY,
Primates,Pitheciidae,Callicebus,Callicebus_torquatus,22,22,11,XY,
Primates,Pitheciidae,Chiropotes,Chiropotes_utahicki,54,54,27,XY,
Primates,Pitheciidae,Pithecia,Pithecia_irrorata,48,48,24,XY,
Primates,Pitheciidae,Pithecia,Pithecia_pithecia,48,48,24,XY,
Primates,Tarsiidae,Tarsius,Tarsius_bancanus,80,80,40,XY,
Primates,Tarsiidae,Tarsius,Tarsius_syrichta,80,80,40,XY,
