Order,Family,Genus,species,femalediploidnumber,malediploidnumber,sexchromosome,haploid
Orthoptera,Acrididae,Neopedies,Neopedies sp. 3,24,23,XO,12
Orthoptera,Acrididae,Neopedies,Neopedies sp. 4,24,23,XO,12
Orthoptera,Acrididae,Notopomala,Notopomala glaucipes,24,23,XO,12
Orthoptera,Acrididae,Omalotettix,Omalotettix obliquum,22,21,XO,11
Orthoptera,Acrididae,Ommatolampis,Ommatolampis perspicillata,24,23,XO,12
Orthoptera,Acrididae,Orphula,Orphula sp.,24,23,XO,12
Orthoptera,Acrididae,Orphulella,Orphulella concinnula,24,23,XO,12
Orthoptera,Acrididae,Orphulella,Orphulella punctata,24,23,XO,12
Orthoptera,Acrididae,Orphulella,Orphulella sp.,24,23,XO,12
Orthoptera,Acrididae,Orphulina,Orphulina pulchella,24,23,XO,12
Orthoptera,Acrididae,Osmilia,Osmilia flavolineata,24,23,XO,12
Orthoptera,Acrididae,Oxyblepta,Oxyblepta sp.,24,23,XO,12
Orthoptera,Acrididae,Oxybleptella,Oxybleptella sagitta,24,23,XO,12
Orthoptera,Acrididae,Paraorphula,Paraorphula graminea,24,23,XO,12
Orthoptera,Acrididae,Parapellopedon,Parapellopedon instabilis,24,23,XO,12
Orthoptera,Acrididae,Parapellopedon,Parapellopedon sp.,24,23,XO,12
Orthoptera,Acrididae,Parascopas,Parascopas exertus,22,21,XO,11
Orthoptera,Acrididae,Parascopas,Parascopas obesus,24,23,XO,12
Orthoptera,Acrididae,Parascopas,Parascopas sanguineus,24,23,XO,12
Orthoptera,Acrididae,Parascopas,Parascopas similis,24,23,XO,12
Orthoptera,Acrididae,Paropaon,Paropaon laevifrons,24,23,XO,12
Orthoptera,Acrididae,Paropaon,Paropaon pilosus tingomariae,24,23,XO,12
Orthoptera,Acrididae,Pedies,Pedies andeanus,22,21,XO,11
Orthoptera,Acrididae,Pedies,Pedies sp. 1,22,21,XO,11
Orthoptera,Acrididae,Pedies,Pedies sp. 2,22,21,XO,11
Orthoptera,Acrididae,Pedies,Pedies sp. 3,22,21,XO,11
Orthoptera,Acrididae,Pedies,Pedies sp. 4,24,23,XO,12
Orthoptera,Acrididae,Propedies,Propedies bilobus,24,23,XO,12
Orthoptera,Acrididae,Propedies,Propedies bipunctatus,24,23,XO,12
Orthoptera,Acrididae,Propedies,Propedies fusiformis,24,23,XO,12
Orthoptera,Acrididae,Propedies,Propedies olivaceus,24,23,XO,12
Orthoptera,Acrididae,Propedies,Propedies sanguineus,24,23,XO,12
Orthoptera,Acrididae,Propedies,Propedies sp. 1,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas nigrigena,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 1,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 2,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 3,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 4,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 5,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 6,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 7,24,23,XO,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 8,24,23,XO,12
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus bolivianus,24,23,XO,12
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus olivaceus,24,23,XO,12
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus sp. A,24,23,XO,12
Orthoptera,Acrididae,Pycnosarcus,Pycnosarcus atavus,18,17,XO,9
Orthoptera,Acrididae,Schistocerca,Schistocerca cancellata,24,23,XO,12
Orthoptera,Acrididae,Schistocerca,Schistocerca flavofasciata,24,23,XO,12
Orthoptera,Acrididae,Schistocerca,Schistocerca pallens,24,23,XO,12
Orthoptera,Acrididae,Schistocerca,Schistocerca paraensis,24,23,XO,12
