Order,Family,Genus,species,Sex.chromosome.system,haploid
Chiroptera,Emballonuridae,Cormura,Cormura_brevirostris,XY,11
Chiroptera,Emballonuridae,Taphozous,Taphozous_longimanus,XY,21
Chiroptera,Emballonuridae,Taphozous,Taphozous_melanopogon,XY,21
Chiroptera,Emballonuridae,Taphozous,Taphozous_nudiventris,XY,21
Chiroptera,Emballonuridae,Taphozous,Taphozous_saccolaimus,XY,22
Chiroptera,Hipposideridae,Aselliscus,Aselliscus_stoliczkanus,XY,15
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_armiger,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_ater,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_cineraceus,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_fulvus,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_fulvus_pallidus,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_lankadiva,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_larvatus,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_pomona,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_pratti,XY,16
Chiroptera,Hipposideridae,Hipposideros,Hipposideros_speoris,XY,16
Chiroptera,Megadermatidae,Megaderma,Megaderma_lyra,XY,27
Chiroptera,Megadermatidae,Megaderma,Megaderma_spasma,XY,19
Chiroptera,Miniopteridae,Miniopterus,Miniopterus_fuliginosus,XY,23
Chiroptera,Molossidae,Chaerephon,Chaerephon_plicatus,XY,24
Chiroptera,Molossidae,Eumops,Eumops_glaucinus,XY,20
Chiroptera,Molossidae,Eumops,Eumops_perotis,XY,24
Chiroptera,Molossidae,Molossops,Molossops_abrasus,XY,17
Chiroptera,Molossidae,Molossops,Molossops_temminckii,XY,24
Chiroptera,Molossidae,Molossus,Molossus_molossus,XY,24
Chiroptera,Molossidae,Molossus,Molossus_rufus,XY,24
Chiroptera,Molossidae,Nyctinomops,Nyctinomops_laticaudatus,XY,24
Chiroptera,Molossidae,Tadarida,Tadarida_brasiliensis,XY,24
Chiroptera,Molossidae,Tadarida,Tadarida_teniotis,XY,24
Chiroptera,Mormoopidae,Mormoops,Mormoops_blainvillii,XY,19
Chiroptera,Mormoopidae,Pteronotus,Pteronotus_gymnonotus,XY,19
Chiroptera,Mormoopidae,Pteronotus,Pteronotus_macleayii,XY,19
Chiroptera,Mormoopidae,Pteronotus,Pteronotus_parnelii,XY,19
Chiroptera,Mormoopidae,Pteronotus,Pteronotus_personatus,XY,19
Chiroptera,Mystacinidae,Mystacina,Mystacina_tuberculata,XY,18
Chiroptera,Natalidae,Natalus,Natalus_major,XY,18
Chiroptera,Natalidae,Natalus,Natalus_tumidirostris,XY,18
Chiroptera,Noctilionidae,Noctilio,Noctilio_albiventris,XY,17
Chiroptera,Phyllostomidae,Anoura,Anoura_caudifera,XY,15
Chiroptera,Phyllostomidae,Anoura,Anoura_cultrata,XY,15
Chiroptera,Phyllostomidae,Ardops,Ardops_nichollsi,complex XY,15
Chiroptera,Phyllostomidae,Ariteus,Ariteus_flavescens,complex XY,15
Chiroptera,Phyllostomidae,Artibeus,Artibeus_jamaicensis,complex XY,14
Chiroptera,Phyllostomidae,Artibeus,Artibeus_jamaicensis,complex XY,15
Chiroptera,Phyllostomidae,Artibeus,Artibeus_lituratus,complex XY,15
Chiroptera,Phyllostomidae,Artibeus,Artibeus_obscurus,complex XY,15
Chiroptera,Phyllostomidae,Artibeus,Artibeus_toltecus,complex XY,15
Chiroptera,Phyllostomidae,Carollia,Carollia_brevicauda,complex XY,10
Chiroptera,Phyllostomidae,Carollia,Carollia_castanea,XY,10
Chiroptera,Phyllostomidae,Carollia,Carollia_castanea,XY,11
Chiroptera,Phyllostomidae,Carollia,Carollia_perspicillata,complex XY,10
Chiroptera,Phyllostomidae,Carollia,Carollia_subrufa,complex XY,10
Chiroptera,Phyllostomidae,Chiroderma,Chiroderma_doriae,XY,13
Chiroptera,Phyllostomidae,Chiroderma,Chiroderma_improvisum,XY,13
Chiroptera,Phyllostomidae,Chiroderma,Chiroderma_villosum,XY,13
Chiroptera,Phyllostomidae,Choeroniscus,Choeroniscus_godmani,complex XY,10
Chiroptera,Phyllostomidae,Choeroniscus,Choeroniscus_itermedius,XY,10
Chiroptera,Phyllostomidae,Choeroniscus,Choeroniscus_minor,XY,10
Chiroptera,Phyllostomidae,Choeronycteris,Choeronycteris_mexicana,XY,8
Chiroptera,Phyllostomidae,Chrotopterus,Chrotopterus_auritus,XY,14
Chiroptera,Phyllostomidae,Desmodus,Desmodus_rotundus,XY,14
Chiroptera,Phyllostomidae,Desmodus,Desmodus_rotundus_murius,XY,14
Chiroptera,Phyllostomidae,Diaemus,Diaemus_youngi,XY,16
Chiroptera,Phyllostomidae,Diphylla,Diphylla_ecaudata,XY,16
Chiroptera,Phyllostomidae,Ectophylla,Ectophylla_alba,XY,15
Chiroptera,Phyllostomidae,Erophylla,Erophylla_sezekorni,XY,16
Chiroptera,Phyllostomidae,Glossophaga,Glossophaga_soricina,XY,16
Chiroptera,Phyllostomidae,Hylonycteris,Hylonycteris_underwoodi,XY,8
Chiroptera,Phyllostomidae,Lichonycteris,Lichonycteris_obscura,XY,12
Chiroptera,Phyllostomidae,Lionycteris,Lionycteris_obscura,XY,12
Chiroptera,Phyllostomidae,Lionycteris,Lionycteris_spurrelli,XY,14
Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla_concava,XY,14
Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla_robusta,XY,14
Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla_thomasi,XY,15
Chiroptera,Phyllostomidae,Lonchorhina,Lonchorhina_aurita,XY,16
Chiroptera,Phyllostomidae,Lophostoma,Lophostoma_occidentalis,XY,17
Chiroptera,Phyllostomidae,Lophostoma,Lophostoma_silvicolum,XY,17
Chiroptera,Phyllostomidae,Macrotus,Macrotus_californicus,XY,20
Chiroptera,Phyllostomidae,Macrotus,Macrotus_waterhousii,XY,23
Chiroptera,Phyllostomidae,Mesophylla,Mesophylla_macconnelli,complex XY,11
