Family,Genus,epithet,species,haploid
Rubiaceae,Acranthera,ceylanica,Acranthera_ceylanica,10
Rubiaceae,Adina,pilulifera,Adina_pilulifera,22
Rubiaceae,Agathisanthemum,boJeri,Agathisanthemum_bojeri,9
Rubiaceae,Agathisanthemum,bojeri,Agathisanthemum_bojeri,9
Rubiaceae,Agathisanthemum,globosum,Agathisanthemum_globosum,18
Rubiaceae,Aidia,micrantha,Aidia_micrantha,11
Rubiaceae,Alberta,magna,Alberta_magna,22
Rubiaceae,Alibertia,edulis,Alibertia_edulis,11
Rubiaceae,Amaioua,intermedia,Amaioua_intermedia,33
Rubiaceae,Amphiasma,merenskyanum,Amphiasma_merenskyanum,9
Rubiaceae,Anthocephalus,cademoc,Anthocephalus_cademoc,22
Rubiaceae,Anthospermum,aethiopicum,Anthospermum_aethiopicum,11
Rubiaceae,Anthospermum,basuticum,Anthospermum_basuticum,11
Rubiaceae,Anthospermum,bergianum,Anthospermum_bergianum,11
Rubiaceae,Anthospermum,bicorne,Anthospermum_bicorne,11
Rubiaceae,Anthospermum,cameroonense,Anthospermum_cameroonense,11
Rubiaceae,Anthospermum,comptonii,Anthospermum_comptonii,11
Rubiaceae,Anthospermum,dregei,Anthospermum_dregei,11
Rubiaceae,Anthospermum,emirnense,Anthospermum_emirnense,11
Rubiaceae,Anthospermum,esterhuysenianum,Anthospermum_esterhuysenianum,11
Rubiaceae,Anthospermum,galioides,Anthospermum_galioides,11
Rubiaceae,Anthospermum,galpinii,Anthospermum_galpinii,11
Rubiaceae,Anthospermum,herbaceum,Anthospermum_herbaceum,11
Rubiaceae,Anthospermum,herbateum,Anthospermum_herbateum,11
Rubiaceae,Anthospermum,hirsuta,Anthospermum_hirsuta,22
Rubiaceae,Anthospermum,hirtum,Anthospermum_hirtum,11
Rubiaceae,Anthospermum,hispidulum,Anthospermum_hispidulum,11
Rubiaceae,Anthospermum,ibityense,Anthospermum_ibityense,11
Rubiaceae,Anthospermum,littoreum,Anthospermum_littoreum,11
Rubiaceae,Anthospermum,pachyrrizum,Anthospermum_pachyrrizum,11
Rubiaceae,Anthospermum,paniculatum,Anthospermum_paniculatum,11
Rubiaceae,Anthospermum,prostratum,Anthospermum_prostratum,11
Rubiaceae,Anthospermum,pumilum,Anthospermum_pumilum,11
Rubiaceae,Anthospermum,spathulatum,Anthospermum_spathulatum,22
Rubiaceae,Anthospermum,streyi,Anthospermum_streyi,11
Rubiaceae,Anthospermum,usambarense,Anthospermum_usambarense,11
Rubiaceae,Anthospermum,welwitschii,Anthospermum_welwitschii,11
Rubiaceae,Aphaenandra,uniflora,Aphaenandra_uniflora,11
Rubiaceae,Arcytophyllum,thymifolium,Arcytophyllum_thymifolium,18
Rubiaceae,Argocoffeopsis,afzelii,Argocoffeopsis_afzelii,11
Rubiaceae,Argostemma,diversifolium,Argostemma_diversifolium,11
Rubiaceae,Argostemma,hookeri,Argostemma_hookeri,16
Rubiaceae,Argostemma,neurocalyx,Argostemma_neurocalyx,11
Rubiaceae,Argostemma,pictum,Argostemma_pictum,11
Rubiaceae,Argostemma,pumilum,Argostemma_pumilum,11
Rubiaceae,Argostemma,verticillatum,Argostemma_verticillatum,14
Rubiaceae,Aspera,spica-venti,Aspera_spica-venti,7
Rubiaceae,Asperula,Asperula arvensis,Asperula_asperula arvensis,11
Rubiaceae,Asperula,Asperula cynanchica,Asperula_asperula cynanchica,20
Rubiaceae,Asperula,arcadiensis,Asperula_arcadiensis,11
Rubiaceae,Asperula,aristata,Asperula_aristata,22
Rubiaceae,Asperula,arvensis,Asperula_arvensis,11
Rubiaceae,Asperula,"aspe""ima","Asperula_aspe""ima",11
Rubiaceae,Asperula,azurea,Asperula_azurea,11
Rubiaceae,Asperula,baenitzii,Asperula_baenitzii,11
Rubiaceae,Asperula,boissieri,Asperula_boissieri,11
Rubiaceae,Asperula,calabra,Asperula_calabra,20
Rubiaceae,Asperula,capitata,Asperula_capitata,11
Rubiaceae,Asperula,chlorantha,Asperula_chlorantha,11
