full_species,Genus,species,haploid
Lepisorus_macrosphaerus,Lepisorus,macrosphaerus,35
Lepisorus_mediocris,Lepisorus,mediocris,70
Lepisorus_morrisonensis,Lepisorus,morrisonensis,70
Lepisorus_nudus,Lepisorus,nudus,35
Lepisorus_oligolepidus,Lepisorus,oligolepidus,50
Lepisorus_onoei,Lepisorus,onoei,25
Lepisorus_reichsteinii,Lepisorus,reichsteinii,70
Lepisorus_schraderi,Lepisorus,schraderi,72
Lepisorus_scolopendrium,Lepisorus,scolopendrium,36
Lepisorus_subconfluens,Lepisorus,subconfluens,47
Lepisorus_suboligolepidus,Lepisorus,suboligolepidus,70
Lepisorus_tenuipes,Lepisorus,tenuipes,25
Lepisorus_thunbergianus,Lepisorus,thunbergianus,25
Lepisorus_tosaensis,Lepisorus,tosaensis,75
Lepisorus_uchiyamae,Lepisorus,uchiyamae,70
Leptochilus_axillaris,Leptochilus,axillaris,36
Leptochilus_buergerianus,Leptochilus,buergerianus,144
Leptochilus_decurrens,Leptochilus,decurrens,36
Leptochilus_metallicus,Leptochilus,metallicus,36
Leptochilus_pothifolius,Leptochilus,pothifolius,36
Loxogramme_boninensis,Loxogramme,boninensis,35
Loxogramme_involuta,Loxogramme,involuta,36
Loxogramme_lanceolata,Loxogramme,lanceolata,35
Loxogramme_salicifolia,Loxogramme,salicifolia,35
Loxogramme_saziran,Loxogramme,saziran,70
Microgramma_lindbergii,Microgramma,lindbergii,72
Microgramma_lycopodioides,Microgramma,lycopodioides,37
Microgramma_piloselloides,Microgramma,piloselloides,74
Microgramma_reptans,Microgramma,reptans,37
Microgramma_squamulosa,Microgramma,squamulosa,37
Microgramma_vacciniifolia,Microgramma,vacciniifolia,36
Microsorum_fortunei,Microsorum,fortunei,37
Microsorum_membranaceum,Microsorum,membranaceum,36
Microsorum_novae-zealandiae,Microsorum,novae-zealandiae,37
Microsorum_pteropus,Microsorum,pteropus,72
Microsorum_punctatum,Microsorum,punctatum,36
Microsorum_pustulatum,Microsorum,pustulatum,37
Microsorum_rubidum,Microsorum,rubidum,36
Neolepisorus_ovatus,Neolepisorus,ovatus,36
Neurodium_lanceolatum,Neurodium,lanceolatum,37
Niphidium_crassifolium,Niphidium,crassifolium,74
Pecluma_alfredii,Pecluma,alfredii,37
Pecluma_camptophyllaria,Pecluma,camptophyllaria,37
Pecluma_dispersa,Pecluma,dispersa,111
Pecluma_divaricata,Pecluma,divaricata,37
Pecluma_ferruginea,Pecluma,ferruginea,37
Pecluma_hygrometrica,Pecluma,hygrometrica,37
Pecluma_paradiseae,Pecluma,paradiseae,37
Pecluma_pectinata,Pecluma,pectinata,74
Pecluma_pilosa,Pecluma,pilosa,37
Pecluma_plumula,Pecluma,plumula,74
Pecluma_ptilota,Pecluma,ptilota,74
Pecluma_recurvata,Pecluma,recurvata,37
Pecluma_truncorum,Pecluma,truncorum,37
Phlebodium_aureum,Phlebodium,aureum,37
