Phylum,Class,Order,Family,Genus,species,2N,haploid
Chordata,Reptilia,Testudines,Carettochelyidae,Carettochelys,Carettochelys_insculpta,68,34
Chordata,Reptilia,Testudines,Chelidae,Chelodina,Chelodina_expansa,54,27
Chordata,Reptilia,Testudines,Chelidae,Chelodina,Chelodina_longicollis,54,27
Chordata,Reptilia,Testudines,Chelidae,Chelodina,Chelodina_oblonga,54,27
Chordata,Reptilia,Testudines,Chelidae,Chelodina,Chelodina_steindachneri,54,27
Chordata,Reptilia,Testudines,Chelidae,Chelus,Chelus_fimbriata,50,25
Chordata,Reptilia,Testudines,Chelidae,Elseya,Elseya_dentata,50,25
Chordata,Reptilia,Testudines,Chelidae,Emydura,Emydura_macquarii,50,25
Chordata,Reptilia,Testudines,Chelidae,Emydura,Emydura_signata,50,25
Chordata,Reptilia,Testudines,Chelidae,Hydromedusa,Hydromedusa_tectifera,58,29
Chordata,Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys_nasuta,58,29
Chordata,Reptilia,Testudines,Chelidae,Myuchelys,Myuchelys_latisternum,50,25
Chordata,Reptilia,Testudines,Chelidae,Phrynops,Phrynops_geoffroanus,58,29
Chordata,Reptilia,Testudines,Chelidae,Phrynops,Phrynops_gibbus,50,25
Chordata,Reptilia,Testudines,Chelidae,Phrynops,Phrynops_hilarii,58,29
Chordata,Reptilia,Testudines,Chelidae,Phrynops,Phrynops_hogei,58,29
Chordata,Reptilia,Testudines,Chelidae,Platemys,Platemys_platycephala,68,34
Chordata,Reptilia,Testudines,Chelidae,Pseudemydura,Pseudemydura_umbrina,50,25
Chordata,Reptilia,Testudines,Chelidae,Rheodytes,Rheodytes_leukops,50,25
Chordata,Reptilia,Testudines,Chelidae,Rhinemys,Rhinemys_rufipes,58,29
Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Caretta_caretta,"52,53,54,55,56,57,58,56","26,27,28,29"
Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia_mydas,"56,55,55",28
Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Eretmochelys_imbricata,56,28
Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys_kempii,56,28
Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys_olivacea,"58,57,56","28,29"
Chordata,Reptilia,Testudines,Cheloniidae,Natator,Natator_depressus,56,28
Chordata,Reptilia,Testudines,Chelydridae,Chelydra,Chelydra_acutirostris,52,26
Chordata,Reptilia,Testudines,Chelydridae,Chelydra,Chelydra_serpentina,52,26
Chordata,Reptilia,Testudines,Chelydridae,Macrochelys,Macrochelys_temminckii,52,26
Chordata,Reptilia,Testudines,Dermatemydidae,Dermatemys,Dermatemys_mawii,56,28
Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,Dermochelys_coriacea,56,28
Chordata,Reptilia,Testudines,Emydidae,Actinemys,Actinemys_marmorata,50,25
Chordata,Reptilia,Testudines,Emydidae,Chrysemys,Chrysemys_picta,"50,34","17,25"
Chordata,Reptilia,Testudines,Emydidae,Clemmys,Clemmys_guttata,48,24
Chordata,Reptilia,Testudines,Emydidae,Deirochelys,Deirochelys_reticularia,50,25
Chordata,Reptilia,Testudines,Emydidae,Emydoidea,Emydoidea_blandingii,50,25
Chordata,Reptilia,Testudines,Emydidae,Emys,Emys_orbicularis,50,25
Chordata,Reptilia,Testudines,Emydidae,Glyptemys,Glyptemys_insculpta,"48,50","24,25"
Chordata,Reptilia,Testudines,Emydidae,Glyptemys,Glyptemys_muhlenbergii,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_barbouri,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_caglei,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_flavimaculata,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_geographica,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_nigrinoda,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_oculifera,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_ouachitensis,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_pseudogeographica,50,25
Chordata,Reptilia,Testudines,Emydidae,Graptemys,Graptemys_pulchra,52,26
Chordata,Reptilia,Testudines,Emydidae,Malaclemys,Malaclemys_terrapin,52,26
Chordata,Reptilia,Testudines,Emydidae,Pseudemys,Pseudemys_concinna,50,25
Chordata,Reptilia,Testudines,Emydidae,Pseudemys,Pseudemys_nelsoni,50,25
Chordata,Reptilia,Testudines,Emydidae,Pseudemys,Pseudemys_rubriventris,50,25
Chordata,Reptilia,Testudines,Emydidae,Pseudemys,Pseudemys_texana,50,25
Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene_carolina,"50,32","16,25"
Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene_coahuila,50,25
Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene_mexicana,50,25
Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene_ornata,50,25
Chordata,Reptilia,Testudines,Emydidae,Trachemys,Trachemys_scripta,50,25
Chordata,Reptilia,Testudines,Emydidae,Trachemys,Trachemys_stejnegeri,50,25
Chordata,Reptilia,Testudines,Geoemydidae,Batagur,Batagur_borneoensis,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Batagur,Batagur_dhongoka,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Batagur,Batagur_trivittata,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Cuora_amboinensis,50,25
Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Cuora_flavomarginata,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Cuora_mouhotii,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Cuora_trifasciata,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Cyclemys,Cyclemys_dentata,"50,52","25,26"
Chordata,Reptilia,Testudines,Geoemydidae,Geoemyda,Geoemyda_spengleri,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys_annandalii,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys_grandis,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys_spinosa,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Malayemys,Malayemys_subtrijuga,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_japonica,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_leprosa,"52,50","25,26"
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_mutica,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_nigricans,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_reevesii,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_rivulata,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Mauremys,Mauremys_sinensis,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Melanochelys,Melanochelys_trijuga,"52,50","25,26"
Chordata,Reptilia,Testudines,Geoemydidae,Notochelys,Notochelys_platynota,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Pangshura,Pangshura_smithii,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Pangshura,Pangshura_tecta,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_areolata,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_funerea,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_melanosterna,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_pulcherrima,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_punctularia,56,28
Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_rubida,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Sacalia,Sacalia_bealei,52,26
Chordata,Reptilia,Testudines,Geoemydidae,Siebenrockiella,Siebenrockiella_crassicollis,50,25
Chordata,Reptilia,Testudines,Kinosternidae,Claudius,Claudius_angustatus,54,27
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_arizonense,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_baurii,"56,50,56","25,28"
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_flavescens,"56,55,56",28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_herrerai,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_hirtipes,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_integrum,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_leucostomum,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_scorpioides,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon_subrubrum,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Staurotypus,Staurotypus_salvinii,54,27
Chordata,Reptilia,Testudines,Kinosternidae,Staurotypus,Staurotypus_triporcatus,"54,56","27,28"
Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus,Sternotherus_carinatus,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus,Sternotherus_minor,56,28
Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus,Sternotherus_odoratus,"50,56,54","25,27,28"
Chordata,Reptilia,Testudines,Pelomedusidae,Pelomedusa,Pelomedusa_subrufa,"36,34,36,34","17,18"
Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,Pelusios_castaneus,34,17
Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,Pelusios_niger,34,17
Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,Pelusios_sinuatus,34,17
Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,Pelusios_subniger,34,17
Chordata,Reptilia,Testudines,Platysternidae,Platysternon,Platysternon_megacephalum,54,27
Chordata,Reptilia,Testudines,Podocnemididae,Erymnochelys,Erymnochelys_madagascariensis,28,14
Chordata,Reptilia,Testudines,Podocnemididae,Peltocephalus,Peltocephalus_dumerilianus,26,13
Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis_erythrocephala,28,14
Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis_expansa,28,14
Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis_lewyana,28,14
Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis_sextuberculata,28,14
Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis_unifilis,28,14
Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis_vogli,28,14
Chordata,Reptilia,Testudines,Testudinidae,Aldabrachelys,Aldabrachelys_dussumieri,52,26
Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis_carbonarius,52,26
Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis_chilensis,52,26
Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis_denticulatus,52,26
Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger,52,26
Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus_berlandieri,52,26
Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus_morafkai,52,26
Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus_polyphemus,54,27
Chordata,Reptilia,Testudines,Testudinidae,Indotestudo,Indotestudo_elongata,52,26
Chordata,Reptilia,Testudines,Testudinidae,Kinixys,Kinixys_belliana,52,26
Chordata,Reptilia,Testudines,Testudinidae,Malacochersus,Malacochersus_tornieri,52,26
Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,Stigmochelys_pardalis,52,26
Chordata,Reptilia,Testudines,Testudinidae,Testudo,Testudo_gaeca,"54,55,56,57,58,59,60","27,28,29,30"
Chordata,Reptilia,Testudines,Testudinidae,Testudo,Testudo_graeca,"52,54,55,56,57,58,59,60","26,27,28,29,30"
Chordata,Reptilia,Testudines,Testudinidae,Testudo,Testudo_hermanni,52,26
Chordata,Reptilia,Testudines,Testudinidae,Testudo,Testudo_marginata,52,26
Chordata,Reptilia,Testudines,Trionychidae,Amyda,Amyda_cartilaginea,66,33
Chordata,Reptilia,Testudines,Trionychidae,Apalone,Apalone_ferox,66,33
Chordata,Reptilia,Testudines,Trionychidae,Apalone,Apalone_mutica,66,33
Chordata,Reptilia,Testudines,Trionychidae,Apalone,Apalone_spinifera,66,33
Chordata,Reptilia,Testudines,Trionychidae,Pelodiscus,Pelodiscus_sinensis,"63,64,66","31,32,33"
