Phylum,Class,Order,Family,Genus,species,2N,haploid
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_dugesii,26,13
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_elegans,26,13
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_gilberti,26,13
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_inexpectatus,26,13
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_obsoletus,26,13
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_skiltonianus,26,13
Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon_tetragrammus,26,13
Chordata,Reptilia,Squamata,Scincidae,Pseudemoia,Pseudemoia_entrecasteauxii,30,15
Chordata,Reptilia,Squamata,Scincidae,Pseudemoia,Pseudemoia_spenceri,30,15
Chordata,Reptilia,Squamata,Scincidae,Psychosaura,Psychosaura_macrorhyncha,32,16
Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Saproscincus_basiliscus,30,15
Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Saproscincus_challengeri,30,15
Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Saproscincus_czechurai,30,15
Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Saproscincus_mustelinus,30,15
Chordata,Reptilia,Squamata,Scincidae,Scincella,Scincella_lateralis,30,15
Chordata,Reptilia,Squamata,Scincidae,Scincus,Scincus_hemprichii,36,18
Chordata,Reptilia,Squamata,Scincidae,Scincus,Scincus_scincus,32,16
Chordata,Reptilia,Squamata,Scincidae,Sphenomorphus,Sphenomorphus_incognitus,30,15
Chordata,Reptilia,Squamata,Scincidae,Sphenomorphus,Sphenomorphus_indicus,28,14
Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua_gigas,32,16
Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua_multifasciata,32,16
Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua_nigrolutea,32,16
Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua_occipitalis,32,16
Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua_rugosa,32,16
Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua_scincoides,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_affinis,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_aurata,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_capensis,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_maculilabris,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_quinquetaeniata,"32,32,32,33,34","16,17"
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_septemtaeniata,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_varia,32,16
Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis_vittata,28,14
Chordata,Reptilia,Squamata,Scincidae,Tribolonotus,Tribolonotus_gracilis,32,16
Chordata,Reptilia,Squamata,Scincidae,Tropidophorus,Tropidophorus_beccarii,30,15
Chordata,Reptilia,Squamata,Scincidae,Tropidophorus,Tropidophorus_brookei,28,14
