"Order","Family","species","Meioformula","X","hapauto","scs","haploid"
"Coleoptera","Carabidae","Bembidion_grisvardi","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_guadarramense","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_guttula","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_haruspex","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_hasti","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_hasti","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_hasurada","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_hesperium","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_hispanicum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_honestum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_humboldtense","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_hyperboraeorum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_hypocrita","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_ibericum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_iequale_iequale","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_iequale_opaciceps","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_impotens","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_incrematum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_indistinctum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_insulatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_integrum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_intermedium","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_interventor","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_iricolor","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_iridescens","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_iridescens","2n","26M",12,"XY",13
"Coleoptera","Carabidae","Bembidion_kuprianovi-Nr_1","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_kuprianovi-Nr_2","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_kusteri_paulinoi","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_lacurium","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_lampros","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_lapponicum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_latiplaga","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_laxatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_lee","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_levettei_carrianum","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_levettei_levettei","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_levigatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_lorquini","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_louisella","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_lunulatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_manningense","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_maorinum_maorinum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_mckinleyi_carneum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_mckinleyi_mckinleyi","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_mexicanum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_mimus","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_modestum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_morulum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_mundum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_mutatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_nebraskense","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Bembidion_nevadense","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_nigripes","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_nigrocoeruleum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_nigrum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_nitidum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_nudipenne","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_oberthueri-group_oberthueri","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_obliquulum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_obscurellum","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_obtusangulum-group_mormon","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_obtusangulum-group_obtusangulum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_obtusum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_occultator","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_octomaculatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_operosum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_patruele","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_petrosum","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_planiusculum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_planum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_platum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_platynoides","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_poculare","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_praecinctum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_praticola","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_properans","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_pseudocautum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_punctatostriatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_punctulatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_quadrifoveolatum","2n","26M",12,"XY",13
"Coleoptera","Carabidae","Bembidion_quadrimaculatum_oppositum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_quadrulum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_rapidum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_recticolle","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_ripicola","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_rivulare","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_roosvelti","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_rothfelsi","2n","34M",16,"XY",17
"Coleoptera","Carabidae","Bembidion_ruficorne","2n","26M",12,"XY",13
"Coleoptera","Carabidae","Bembidion_rufinum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_rufotinctum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_rupicola","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_rusticum_lenensoides","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_salebratum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_salirium","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_scopulinum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sejunctum_sejunctum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sejunctum_semiaureum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_semicinctum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_semistriatum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_seudderi-group_consimile","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_seudderi-group_flohri","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_seudderi-group_obtusidens","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_seudderi-group_scudderi","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_siculum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sierricola","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sordidum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp_nr_ampliceps-Nr_1","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp_nr_ampliceps-Nr_2","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp_nr_aratum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp_nr_mundum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp_nr_transversale-Nr_1","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp_nr_transversale-Nr_2","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sp.","2n","32M",15,"XY",16
"Coleoptera","Carabidae","Bembidion_stephensi","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_striatum_maurus","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_sulcipenne_hyperboroides","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_tairuense","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_tenellum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_tetracolum","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_tetracolum","2n","26M",12,"XY",13
"Coleoptera","Carabidae","Bembidion_texanum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_tibiale","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_timidum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_transparens","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_transversale","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_umbratum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_vandykei","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_varicolor","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_versicolor","2n","23M",11,"XO",12
"Coleoptera","Carabidae","Bembidion_versicolor","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_versutum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_wickhami","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_yukonoum","2n","24M",11,"XY",12
"Coleoptera","Carabidae","Bembidion_zephyrum","2n","22M",10,"XY",11
"Coleoptera","Carabidae","Brachinus_cordicollis","2n","18M",8,"NeoXY",9
"Coleoptera","Carabidae","Brachinus_crepitans","2n","39M",19,"XO",20
"Coleoptera","Carabidae","Brachinus_exhalans","2n","21M",10,"XO",11
"Coleoptera","Carabidae","Brachinus_humeralis","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Brachinus_janthinipennis","2n","18M",8,"NeoXY",9
"Coleoptera","Carabidae","Brachinus_sexmaculatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Bradybaenus_festivus","2n","36M",17,"XY",18
"Coleoptera","Carabidae","Bradybaenus_festivus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calachroa_sexpunctata","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Calathus_ambiguus_chevrolati","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_angularis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_angustulus","2n","36M",17,"XY",18
"Coleoptera","Carabidae","Calathus_brevis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_dejeani_hispanicus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_erratus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_fuscipes","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_fuscipes_fuscipes","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_fuscipes_graecus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_fuscipes_graecus","2n","39M",19,"XO",20
"Coleoptera","Carabidae","Calathus_gratensis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_hispanicus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_melanocephalus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_melanocephalus","2n","38M",18,"XY",19
"Coleoptera","Carabidae","Calathus_micropterus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_rubricus","2n","36M",17,"XY",18
"Coleoptera","Carabidae","Calathus_rufocastaneus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calathus_vuillefroyi","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Calosoma_inquisitor","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Calosoma_maderae_indigator","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Calosoma_orientale","2n","27M",13,"XO",14
"Coleoptera","Carabidae","Calosoma_sycophanta","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_abbreviatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_auronitens_auronitens","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_auronitens_festivus","2n","29M",14,"XO",15
