"Order","Family","species","Meioformula","X","hapauto","scs","haploid"
"Coleoptera","Carabidae","Carterus_fulvipes","2n","57M",28,"XO",29
"Coleoptera","Carabidae","Castelnaudi_wilsoni","2n","51M",25,"XO",26
"Coleoptera","Carabidae","Ceroglossus_chilensis_sp_a","2n","30M",14,"XY",15
"Coleoptera","Carabidae","Ceroglossus_chilensis_sp_b","2n","42M",20,"XY",21
"Coleoptera","Carabidae","Chlaenius_aestivus","2n","34M",16,"XY",17
"Coleoptera","Carabidae","Chlaenius_darlingensis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_duvauceli","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_fraterculus","2n","39M",19,"XO",20
"Coleoptera","Carabidae","Chlaenius_hamifer","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_impressicollis","2n","39M",19,"XO",20
"Coleoptera","Carabidae","Chlaenius_impunctifrons","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_laetiusculus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_laticollis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_malachinus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_neelgheriensis","2n","35M",17,"XO",18
"Coleoptera","Carabidae","Chlaenius_nitidicollis","2n","35M",17,"XO",18
"Coleoptera","Carabidae","Chlaenius_orbicollis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_pagaeoides","2n","35M",17,"XO",18
"Coleoptera","Carabidae","Chlaenius_pallipes","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_pennsylvanicus","2n","20M",9,"XY",10
"Coleoptera","Carabidae","Chlaenius_pennsylvanicus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_pictus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_praefectus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_pretiosus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_pulcher","2n","40M",19,"XY",20
"Coleoptera","Carabidae","Chlaenius_scapularis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_sp.","2n","39M",19,"XO",20
"Coleoptera","Carabidae","Chlaenius_spoliatus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_tricolor","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_tristis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_velutinus_auricollis","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_vestitus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_virens","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_xanthospilus","2n","36M",17,"Xyp",18
"Coleoptera","Carabidae","Chlaenius_xanthospilus","2n","37M",18,"XO",19
"Coleoptera","Carabidae","Chlaenius_xanthospilus","2n","37M",18,"Xyp",19
"Coleoptera","Carabidae","Cicindela_agta","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_albi","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_angulata","2n","21M",9,"XXY",11
"Coleoptera","Carabidae","Cicindela_aterrima","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_bigemi","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_brevis","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_cardilba","2n","24M",10,"XXXY",13
"Coleoptera","Carabidae","Cicindela_chloris","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_chloropleura","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_cogta","2n","21M",9,"XXY",11
"Coleoptera","Carabidae","Cicindela_cyclobregma","2n","21M",9,"XXY",11
"Coleoptera","Carabidae","Cicindela_deserticoloides","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_dorsalis","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_dromicoides","2n","21M",9,"XXY",11
"Coleoptera","Carabidae","Cicindela_duodecimguttata","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_duponti","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_flohri","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_formosa_generosa","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_fulgoris","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_funerea","2n","23M",10,"XXY",12
"Coleoptera","Carabidae","Cicindela_hemichrysea","2n","22M",9,"XXXY",12
"Coleoptera","Carabidae","Cicindela_holosericea","2n","21M",9,"XXY",11
