Order,Family,Genus,species,Sex.chromosome.system,haploid
Rodentia,Cricetidae,Phodopus,Phodopus roborovskii,XY,17
Rodentia,Cricetidae,Phodopus,Phodopus sungorus,XY,14
Rodentia,Cricetidae,Phodopus,Phodopus sungorus campbelli,XY,14
Rodentia,Cricetidae,Phodopus,Phodopus sungorus sungorus,XY,14
Rodentia,Cricetidae,Pitymys,Pitymys mariae,XY,31
Rodentia,Cricetidae,Pitymys,Pitymys thomasi,XY,22
Rodentia,Cricetidae,Prometheomys,Prometheomys schaposchnikowi,XY,28
Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens,XY,25
Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,XY,21
Rodentia,Cricetidae,Salinomys,Salinomys delicatus,complex XY,9
Rodentia,Cricetidae,Sigmodon,Sigmodon arizonae,XY,11
Rodentia,Cricetidae,Sigmodon,Sigmodon fulviventer,XY,15
Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,XY,26
Rodentia,Cricetidae,Sigmodon,Sigmodon mascotensis,XY,14
Rodentia,Cricetidae,Sigmodon,Sigmodon minimus,XY,15
Rodentia,Cricetidae,Synaptomys,Synaptomys cooperi,XY,25
Rodentia,Cricetidae,Thaptomys,Thaptomys nigrita,XY,26
Rodentia,Cricetidae,Tscherskia,Tscherskia triton,XY,14
Rodentia,Cricetidae,Tylomys,Tylomys nudicaudus,XY,21
Rodentia,Cricetidae,Tylomys,Tylomys panamensis,XY,26
