Order,Family,Genus,species,Sex.chromosome.system,haploid
Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis,XY,26
Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus,XY,26
Rodentia,Cricetidae,Abrothrix,Abrothrix sanborni,XY,26
Rodentia,Cricetidae,Akodon,Akodon aerosus,XY,20
Rodentia,Cricetidae,Akodon,Akodon cursor,XY,7.5
Rodentia,Cricetidae,Akodon,Akodon montensis,XY,12
Rodentia,Cricetidae,Akodon,Akodon orophilus,XY,13
Rodentia,Cricetidae,Akodon,Akodon paranaensis,XY,22
Rodentia,Cricetidae,Akodon,Akodon serrensis,XY,23
Rodentia,Cricetidae,Akodon,Akodon simulator,XY,18
Rodentia,Cricetidae,Akodon,Akodon sp.,XY,5
Rodentia,Cricetidae,Akodon,Akodon toba,XY,21
Rodentia,Cricetidae,Akodon,Akodon urichi venezeulensis,XY,9
Rodentia,Cricetidae,Akodon,Akodon xanthorhinus,XY,26
Rodentia,Cricetidae,Allocricetulus,Allocricetulus curtatus,XY,10
Rodentia,Cricetidae,Allocricetulus,Allocricetulus eversmanni,XY,13
Rodentia,Cricetidae,Allocricetulus,Allocricetulus pseudocurtatus,XY,13
Rodentia,Cricetidae,Alticola,Alticola argentatus,XY,28
Rodentia,Cricetidae,Alticola,Alticola barakshin,XY,28
Rodentia,Cricetidae,Alticola,Alticola macrotis,XY,28
Rodentia,Cricetidae,Alticola,Alticola olchonensis,XY,28
Rodentia,Cricetidae,Alticola,Alticola strelzowi,XY,28
Rodentia,Cricetidae,Amphinectomys,Amphinectomys savamis,XY,25
Rodentia,Cricetidae,Anotomys,Anotomys leander,XY,46
Rodentia,Cricetidae,Arvicola,Arvicola amphibius,XY,18
Rodentia,Cricetidae,Arvicola,Arvicola terrestris,XY,18
Rodentia,Cricetidae,Auliscomys,Auliscomys boliviensis,XY,11
Rodentia,Cricetidae,Auliscomys,Auliscomys micropus,XY,17
Rodentia,Cricetidae,Auliscomys,Auliscomys sublimis,XY,14
Rodentia,Cricetidae,Baiomys,Baiomys taylori subater,XY,24
Rodentia,Cricetidae,Blanfordimys,Blanfordimys afghanus,XY,29
Rodentia,Cricetidae,Blanfordimys,Blanfordimys bucharicus,XY,24
Rodentia,Cricetidae,Calomyscus,Calomyscus bailwardi,XY,16
Rodentia,Cricetidae,Calomyscus,Calomyscus bailwardi,XY,22
Rodentia,Cricetidae,Calomyscus,Calomyscus bailwardi,XY,23
Rodentia,Cricetidae,Calomyscus,Calomyscus elburzensis,XY,22
Rodentia,Cricetidae,Calomyscus,Calomyscus firiusaensis,XY,22
Rodentia,Cricetidae,Calomyscus,Calomyscus mystax,XY,22
Rodentia,Cricetidae,Calomyscus,Calomyscus sp. 1,XY,26
Rodentia,Cricetidae,Calomyscus,Calomyscus sp. 2,XY,15
Rodentia,Cricetidae,Calomyscus,Calomyscus urartensis,XY,16
Rodentia,Cricetidae,Cerradomys,Cerradomys langguthi,XY,23
Rodentia,Cricetidae,Chionomys,Chionomys gud,XY,27
Rodentia,Cricetidae,Chionomys,Chionomys nivalis,XY,27
Rodentia,Cricetidae,Chionomys,Chionomys roberti,XY,27
Rodentia,Cricetidae,Clethrionomys,Clethrionomys californicus,XY,28
Rodentia,Cricetidae,Clethrionomys,Clethrionomys centralis,XY,28
Rodentia,Cricetidae,Clethrionomys,Clethrionomys gapperi,XY,28
Rodentia,Cricetidae,Clethrionomys,Clethrionomys rufocanus,XY,28
Rodentia,Cricetidae,Clethrionomys,Clethrionomys rutilus,XY,28
Rodentia,Cricetidae,Clethrionomys,Clethrionomys sikotanensis,XY,28
Rodentia,Cricetidae,Cricetulus,Cricetulus barabensis,XY,10
Rodentia,Cricetidae,Cricetulus,Cricetulus cricetus,XY,11
Rodentia,Cricetidae,Cricetulus,Cricetulus griseus,XY,11
Rodentia,Cricetidae,Cricetulus,Cricetulus longicaudatus,XY,12
Rodentia,Cricetidae,Cricetulus,Cricetulus migratorius,XY,11
Rodentia,Cricetidae,Cricetulus,Cricetulus obscurus,XY,10
Rodentia,Cricetidae,Cricetulus,Cricetulus pseudogriseus,XY,12
Rodentia,Cricetidae,Cricetulus,Cricetulus sokolovi,XY,10
Rodentia,Cricetidae,Cricetus,Cricetus cricetus,XY,11
Rodentia,Cricetidae,Deltamys,Deltamys kempi,complex XY,19
Rodentia,Cricetidae,Deltamys,Deltamys sp,XY,20
Rodentia,Cricetidae,Dicrostonyx,Dicrostonyx torquatus,complex XY,23
Rodentia,Cricetidae,Dicrostonyx,Dicrostonyx torquatus,XY,15
Rodentia,Cricetidae,Eligmodontia,Eligmodontia puerulus,XY,25
Rodentia,Cricetidae,Eligmodontia,Eligmodontia sp.,XY,16
Rodentia,Cricetidae,Ellobius,Ellobius fuscocapillus,XY,18
Rodentia,Cricetidae,Ellobius,Ellobius lutescens,XO,8.5
Rodentia,Cricetidae,Ellobius,Ellobius talpinus,XY,27
Rodentia,Cricetidae,Ellobius,Ellobius talpinus,XY,25
Rodentia,Cricetidae,Ellobius,Ellobius tancrei,complex XY,27
Rodentia,Cricetidae,Ellobius,Ellobius tancrei,complex XY,15
Rodentia,Cricetidae,Eothenomys,Eothenomys kageus,XY,28
Rodentia,Cricetidae,Eothenomys,Eothenomys miletus,XY,28
Rodentia,Cricetidae,Eothenomys,Eothenomys proditor,XY,16
Rodentia,Cricetidae,Eothenomys,Eothenomys regulus,XY,28
Rodentia,Cricetidae,Eothenomys,Eothenomys smithi,XY,28
Rodentia,Cricetidae,Euneomys,Euneomys chinchilloides petersoni,XY,18
Rodentia,Cricetidae,Euneomys,Euneomys mordax,XY,21
Rodentia,Cricetidae,Hylaeamys,Hylaeamys younanus,XY,29
Rodentia,Cricetidae,Lagurus,Lagurus curtatus,XY,27
Rodentia,Cricetidae,Lagurus,Lagurus lagurus,XY,27
Rodentia,Cricetidae,Lagurus,Lagurus lagurus,XY,28
Rodentia,Cricetidae,Lemmus,Lemmus sibiricus,XY,25
Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus,XY,22
Rodentia,Cricetidae,Mesocricetus,Mesocricetus brandti,XY,22
Rodentia,Cricetidae,Mesocricetus,Mesocricetus brandti,XY,21
Rodentia,Cricetidae,Mesocricetus,Mesocricetus newtoni,XY,19
Rodentia,Cricetidae,Mesocricetus,Mesocricetus raddei,XY,22
Rodentia,Cricetidae,Microtus,Microtus agrestis,XY,25
Rodentia,Cricetidae,Microtus,Microtus arvalis,XY,23
Rodentia,Cricetidae,Microtus,Microtus brandti,XY,17
Rodentia,Cricetidae,Microtus,Microtus breweri,XY,23
Rodentia,Cricetidae,Microtus,Microtus canicaudus,XY,12
Rodentia,Cricetidae,Microtus,Microtus clarkei,XY,26
Rodentia,Cricetidae,Microtus,Microtus daghestanicus,XY,27
Rodentia,Cricetidae,Microtus,Microtus dogramacii,XY,24
Rodentia,Cricetidae,Microtus,Microtus evoronensis,XY,20
Rodentia,Cricetidae,Microtus,Microtus fortis,XY,26
Rodentia,Cricetidae,Microtus,Microtus gregalis,XY,18
Rodentia,Cricetidae,Microtus,Microtus gromovi,XY,22
Rodentia,Cricetidae,Microtus,Microtus guentheri,XY,27
Rodentia,Cricetidae,Microtus,Microtus guentheri arm,XY,30
Rodentia,Cricetidae,Microtus,Microtus guentheri philistinus,XY,27
Rodentia,Cricetidae,Microtus,Microtus hyperboreus,XY,25
Rodentia,Cricetidae,Microtus,Microtus juldaschi,XY,27
Rodentia,Cricetidae,Microtus,Microtus julddaschi carruthersi,XY,27
Rodentia,Cricetidae,Microtus,Microtus kirgisorum,XY,27
Rodentia,Cricetidae,Microtus,Microtus levis,XY,27
Rodentia,Cricetidae,Microtus,Microtus longicaudatus,XY,32
Rodentia,Cricetidae,Microtus,Microtus longicaudus,XY,28
Rodentia,Cricetidae,Microtus,Microtus majori,XY,27
Rodentia,Cricetidae,Microtus,Microtus mandarinus,XY,24
Rodentia,Cricetidae,Microtus,Microtus maximowiczii,XY,22
Rodentia,Cricetidae,Microtus,Microtus mexicanus,XY,24
Rodentia,Cricetidae,Microtus,Microtus mongolicus,XY,25
Rodentia,Cricetidae,Microtus,Microtus montanus,XY,12
Rodentia,Cricetidae,Microtus,Microtus montebelli,XY,15
Rodentia,Cricetidae,Microtus,Microtus mujanensis,XY,19
Rodentia,Cricetidae,Microtus,Microtus nasarovi,XY,21
Rodentia,Cricetidae,Microtus,Microtus nova,XY,27
Rodentia,Cricetidae,Microtus,Microtus obscurus,XY,23
Rodentia,Cricetidae,Microtus,Microtus ochrogaster,XY,27
Rodentia,Cricetidae,Microtus,Microtus oeconomus,XY,15
Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus,XY,23
Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus pennsylvanicus,XY,23
Rodentia,Cricetidae,Microtus,Microtus pinetorum,XY,31
Rodentia,Cricetidae,Microtus,Microtus qazvinensis,XY,27
Rodentia,Cricetidae,Microtus,Microtus richardsoni,XY,28
Rodentia,Cricetidae,Microtus,Microtus rossiaemeridonalis,XY,27
Rodentia,Cricetidae,Microtus,Microtus sachalinensis,XY,25
Rodentia,Cricetidae,Microtus,Microtus savii,XY,27
Rodentia,Cricetidae,Microtus,Microtus schelkovnikovi,XY,27
Rodentia,Cricetidae,Microtus,Microtus schidlovskii,XY,30
Rodentia,Cricetidae,Microtus,Microtus socialis,XY,31
Rodentia,Cricetidae,Microtus,Microtus socialis schiddlovskii,XY,30
Rodentia,Cricetidae,Microtus,Microtus subterraneus,XY,27
Rodentia,Cricetidae,Microtus,Microtus subterraneus,XY,26
Rodentia,Cricetidae,Microtus,Microtus townsendii,XY,25
Rodentia,Cricetidae,Microtus,Microtus transcaspicus,XY,26
Rodentia,Cricetidae,Myodes,Myodes californicus,XY,28
Rodentia,Cricetidae,Myodes,Myodes centralis,XY,28
Rodentia,Cricetidae,Myodes,Myodes gapperi,XY,28
Rodentia,Cricetidae,Myodes,Myodes glareolus,XY,28
Rodentia,Cricetidae,Myodes,Myodes imaizumi,XY,28
Rodentia,Cricetidae,Myodes,Myodes niigatae,XY,28
Rodentia,Cricetidae,Myodes,Myodes regulus,XY,28
Rodentia,Cricetidae,Myodes,Myodes rufocanus,XY,28
Rodentia,Cricetidae,Myodes,Myodes rutilus,XY,28
Rodentia,Cricetidae,Myodes,Myodes sikotanensis,XY,28
Rodentia,Cricetidae,Neacomys,Neacomys dubosti,XY,32
Rodentia,Cricetidae,Neacomys,Neacomys paracou,XY,28
Rodentia,Cricetidae,Neacomys,Neacomys sp. 1,XY,29
Rodentia,Cricetidae,Necromys,Necromys lasiurus,XY,17
Rodentia,Cricetidae,Neofiber,Neofiber alleni,XY,26
Rodentia,Cricetidae,Neotoma,Neotoma albigula,XY,26
Rodentia,Cricetidae,Neotoma,Neotoma cinerea,XY,27
Rodentia,Cricetidae,Neotoma,Neotoma floridana,XY,26
Rodentia,Cricetidae,Neotoma,Neotoma mexicana,XY,26
Rodentia,Cricetidae,Neotoma,Neotoma micropus,XY,26
Rodentia,Cricetidae,Neotoma,Neotoma stephensi,XY,26
Rodentia,Cricetidae,Neotomodon,Neotomodon alstoni,XY,24
Rodentia,Cricetidae,Ochrotomys,Ochrotomys nuttalli,XY,26
Rodentia,Cricetidae,Oecomys,Oecomys paricola,XY,34
Rodentia,Cricetidae,Oecomys,Oecomys paricola,XY,35
Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys flavescens,XY,33
Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys flavescens,XY,32
Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys microtis,XY,32
Rodentia,Cricetidae,Ondatra,Ondatra zibethica,XY,27
Rodentia,Cricetidae,Onychomys,Onychomys leucogaster,XY,24
Rodentia,Cricetidae,Onychomys,Onychomys torridus,XY,24
Rodentia,Cricetidae,Oryzomys,Oryzomys megacephalus,XY,27
Rodentia,Cricetidae,Oryzomys,Oryzomys nitidus,XY,40
Rodentia,Cricetidae,Oryzomys,Oryzomys palustris,XY,28
Rodentia,Cricetidae,Oryzomys,Oryzomys yunganus,XY,29
Rodentia,Cricetidae,Ototylomys,Ototylomys phyllotis,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus californicus,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus floridanus,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus gossypinus,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus malanophyrys,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus ochraventer,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus polionotus,XY,24
Rodentia,Cricetidae,Peromyscus,Peromyscus truei,XY,24
Rodentia,Cricetidae,Phenacomys,Phenacomys intermedius,XY,28
Rodentia,Cricetidae,Phenacomys,Phenacomys longicaudus,XY,26
