species,scs,haploid
Anacaena_rufipes,NeoXY,6
Adolopussp._1,Xy,12
Adolopussp._2,Xy,12
Agraphydrus_decipiens,Xy,9
Anacaena_gaetanae,Xy,9
Cercyon_impressus,Xy,12
Cercyon_lateralis,Xy,12
Cercyon_obsoletus,Xy,12
Cercyon_ustulatus,Xy,15
Coelostoma_orbiculare,Xy,14
Cyloma_sp.,Xy,12
Cylomissus_glabratus,Xy,12
Cymbiodyta_marginella,Xy,9
Dactylosternum_corbetti,Xy,14
Dactylosternum_flavicorne,Xy,14
Enochrus_affinis,Xy,9
Enochrus_bicolor,Xy,9
Enochrus_coarctatus,Xy,9
Enochrus_melanocephalus,Xy,9
Enochrus_morenae,Xy,9
Enochrus_nigritus,Xy,9
Enochrus_ochropterus,Xy,9
Enochrus_sauteri,Xy,9
Enochrus_testaceus,Xy,9
Helochares_obscurus,Xy,9
Helochares_sauteri,Xy,9
Horelophus_walkeri,Xy,9
Hydrobius_arcticus,Xy,9
Hydrobius_pui,Xy,9
Hydrobius_rottenbergii,Xy,9
Hydrobius_subrotundus,Xy,9
Hydrochara_caraboides,Xy,15
Hydrophilus_acuminatus,Xy,15
Hydrophilus_pistaceus,Xy,15
Laccobius_decorus,Xy,9
Limnohydrobius_convexus,Xy,9
Omicrogiton_insularis,Xy,13
Rygmodus_modestus,Xy,14
Sternolophus_solieri,Xy,9
Tormissus_magnulus,Xy,14
Tormus_posticalis,Xy,9
Anacaena_bipustulata,Xyp,9
Anacaena_globulus,Xyp,8
Anacaena_limbata,Xyp,9
Anacaena_lutescens,Xyp,9
Cercyon_convexiusculus,Xyp,15
Cercyon_haemorrhoidalis,Xyp,12
Cercyon_marinus,Xyp,12
Cercyon_melanocephalus,Xyp,12
Chaetarthria_simillima,Xyp,9
Cymbiodyta_bifida,Xyp,9
Enochrus_fuscipennis,Xyp,9
Enochrus_halophilus,Xyp,9
Enochrus_quadripunctatus,Xyp,9
Helochares_lividus,Xyp,9
Helochares_punctatus,Xyp,9
Helocombus_bifidus,Xyp,9
Hydrobius_fuscipes,Xyp,9
Hydrochara_flavipes,Xyp,15
Hydrophilus_indicus,Xyp,15
Hydrophilus_piceus,Xyp,15
Hydrophilus_triangularis,Xyp,15
Laccobius_bipunctatus,Xyp,9
Laccobius_colon,Xyp,9
Laccobius_ytenensis,Xyp,9
Limnoxenus_niger,Xyp,9
Paracymus_aeneus,Xyp,9
Paracymus_scutellaris,Xyp,9
Sphaeridium_bipustulatum,Xyp,12
Sphaeridium_lunatum,Xyp,12
Sphaeridium_marginatum,Xyp,12
Sphaeridium_scarabaeoides,Xyp,12
Tropisternus_lateralis,Xyp,9
Tropisternus_lateralis_nimbatus,Xyp,9
Tropisternus_mutatus_sapucay,Xyp,9
Berosus_affinis,Xyp,9
Berosus_bispina,Xyp,9
Berosus_fulvus,Xyp,9
Berosus_hispanicus,Xyp,9
Berosus_luridus,Xyp,9
Berosus_signaticollis,Xyp,10
