Genus,species,haploid
Cordylus,Cordylus_jonesii,17
Cordylus,Cordylus_rhodesianus,17
Cordylus,Cordylus_tropidosternum,17
Cordylus,Cordylus_vittifer,17
Cordylus,Cordylus_warreni,17
Karusasaurus,Karusasaurus_polyzonus,17
Ouroborus,Ouroborus_cataphractus,23
Platysaurus,Platysaurus_guttatus,17
Platysaurus,Platysaurus_intermedius,17
Platysaurus,Platysaurus_minor,17
Pseudocordylus,Pseudocordylus_melanotus,17
Pseudocordylus,Pseudocordylus_microlepidotus,17
Pseudocordylus,Pseudocordylus_subviridis,16
Smaug,Smaug_depressus,17
Smaug,Smaug_giganteus,"21,22"
Broadleysaurus,Broadleysaurus_major,17
Gerrhosaurus,Gerrhosaurus_flavigularis,"18,17"
Matobosaurus,Matobosaurus_validus,17
Tetradactylus,Tetradactylus_seps,17
Tracheloptychus,Tracheloptychus_madagascariensis,17
Zonosaurus,Zonosaurus_brygooi,17
Zonosaurus,Zonosaurus_karsteni,17
Zonosaurus,Zonosaurus_laticaudatus,17
Zonosaurus,Zonosaurus_madagascariensis,17
Zonosaurus,Zonosaurus_ornatus,17
Zonosaurus,Zonosaurus_rufipes,17
Zonosaurus,Zonosaurus_trilineatus,17
Ablepharus,Ablepharus_darvazi,14
Ablepharus,Ablepharus_deserti,15
Ablepharus,Ablepharus_pannonicus,14
Asymblepharus,Asymblepharus_alaicus,15
Ateuchosaurus,Ateuchosaurus_chinensis,13
Ateuchosaurus,Ateuchosaurus_pellopleurus,14
Bassiana,Bassiana_duperreyi,15
Bassiana,Bassiana_trilineata,15
Bellatorias,Bellatorias_frerei,16
Brasiliscincus,Brasiliscincus_caissara,16
Chalcides,Chalcides_bedriagai,14
Chalcides,Chalcides_bistriatus,14
Chalcides,Chalcides_chalcides,14
Chalcides,Chalcides_colosii,14
Chalcides,Chalcides_mertensi,14
Chalcides,Chalcides_mionecton,14
Chalcides,Chalcides_ocellatus,"13,14"
Chalcides,Chalcides_polylepis,14
Chalcides,Chalcides_sepsoides,14
Chalcides,Chalcides_sexlineatus,14
Chalcides,Chalcides_sphenopsiformis,14
Chalcides,Chalcides_striatus,14
Chalcides,Chalcides_tridactylus,14
Chalcides,Chalcides_viridanus,14
Corucia,Corucia_zebrata,16
Cryptoblepharus,Cryptoblepharus_boutonii,14
Cryptoblepharus,Cryptoblepharus_nigropunctatus,14
Ctenotus,Ctenotus_australis,15
Ctenotus,Ctenotus_spaldingi,15
Cyclodina,Cyclodina_olivieri,15
Cyclodomorphus,Cyclodomorphus_branchialis,16
Cyclodomorphus,Cyclodomorphus_casuarinae,16
Dasia,Dasia_olivacea,16
Egernia,Egernia_cunninghami,16
Egernia,Egernia_depressa,16
Egernia,Egernia_hosmeri,16
Egernia,Egernia_kingii,16
Egernia,Egernia_major,16
Egernia,Egernia_mcpheei,16
Egernia,Egernia_napoleonis,16
Egernia,Egernia_saxatilis,16
Egernia,Egernia_stokesii,16
Egernia,Egernia_striolata,16
Eulamprus,Eulamprus_tympanum,15
Eumeces,Eumeces_algeriensis,16
Eumeces,Eumeces_fasciatus,13
Eumeces,Eumeces_latidiscus,13
Eumeces,Eumeces_latiscutatus,13
Eumeces,Eumeces_marginatus,13
Eumeces,Eumeces_schneideri,16
Eurylepis,Eurylepis_taeniolata,14
Eutropis,Eutropis_carinata,16
Eutropis,Eutropis_longicaudata,16
Eutropis,Eutropis_macularia,"16,13"
Eutropis,Eutropis_multifasciata,16
Eutropis,Eutropis_rudis,16
Eutropis,Eutropis_rugifera,16
Eutropis,Eutropis_trivittata,16
Lampropholis,Lampropholis_amicula,15
Lampropholis,Lampropholis_caligula,15
Lampropholis,Lampropholis_delicata,14
Lampropholis,Lampropholis_guichenoti,15
Lampropholis,Lampropholis_mirabilis,15
Leiolopisma,Leiolopisma_telfairii,15
Liopholis,Liopholis_inornata,16
Liopholis,Liopholis_modesta,16
Liopholis,Liopholis_multiscutata,16
Liopholis,Liopholis_whitii,16
Lissolepis,Lissolepis_coventryi,16
Lissolepis,Lissolepis_luctuosa,16
Lygosoma,Lygosoma_punctata,12
Mabuya,Mabuya_mabouya,15
Mabuya,Mabuya_striata,14
Mochlus,Mochlus_guineensis,15
Mochlus,Mochlus_sundevalli,15
Oligosoma,Oligosoma_microlepis,15
Oligosoma,Oligosoma_polychroma,15
Plestiodon,Plestiodon_chinensis,13
Plestiodon,Plestiodon_copei,13
Plestiodon,Plestiodon_dugesii,13
Plestiodon,Plestiodon_elegans,13
Plestiodon,Plestiodon_gilberti,13
Plestiodon,Plestiodon_inexpectatus,13
Plestiodon,Plestiodon_obsoletus,13
Plestiodon,Plestiodon_skiltonianus,13
Plestiodon,Plestiodon_tetragrammus,13
Pseudemoia,Pseudemoia_entrecasteauxii,15
Pseudemoia,Pseudemoia_spenceri,15
Psychosaura,Psychosaura_macrorhyncha,16
Saproscincus,Saproscincus_basiliscus,15
Saproscincus,Saproscincus_challengeri,15
