Clade,family,full_species,Genus,species,haploid
Angiosperm,Asteraceae,Achillea_filipendulina,Achillea,filipendulina,9
Angiosperm,Asteraceae,Achillea_fraasii,Achillea,fraasii,9
Angiosperm,Asteraceae,Achillea_grandifolia,Achillea,grandifolia,9
Angiosperm,Asteraceae,Achillea_holosericea,Achillea,holosericea,9
Angiosperm,Asteraceae,Achillea_impatiens,Achillea,impatiens,9
Angiosperm,Asteraceae,Achillea_ligustica,Achillea,ligustica,9
Angiosperm,Asteraceae,Achillea_maritima,Achillea,maritima,9
Angiosperm,Asteraceae,Achillea_millefolium,Achillea,millefolium,18
Angiosperm,Asteraceae,Achillea_multifida,Achillea,multifida,9
Angiosperm,Asteraceae,Achillea_nana,Achillea,nana,9
Angiosperm,Asteraceae,Achillea_nobilis,Achillea,nobilis,9
Angiosperm,Asteraceae,Achillea_odorata,Achillea,odorata,9
Angiosperm,Asteraceae,Achillea_oxyloba,Achillea,oxyloba,9
Angiosperm,Asteraceae,Achillea_oxyodonta,Achillea,oxyodonta,9
Angiosperm,Asteraceae,Achillea_pindicola,Achillea,pindicola,9
Angiosperm,Asteraceae,Achillea_ptarmica,Achillea,ptarmica,9
Angiosperm,Asteraceae,Achillea_pyrenaica,Achillea,pyrenaica,9
Angiosperm,Asteraceae,Achillea_roseo-alba,Achillea,roseo-alba,18
Angiosperm,Asteraceae,Achillea_santolinoides,Achillea,santolinoides,18
Angiosperm,Asteraceae,Achillea_seidlii,Achillea,seidlii,2
Angiosperm,Asteraceae,Achillea_setacea,Achillea,setacea,9
Angiosperm,Asteraceae,Achillea_sibirica,Achillea,sibirica,18
Angiosperm,Asteraceae,Achillea_spinulifolia,Achillea,spinulifolia,9
Angiosperm,Asteraceae,Achillea_stricta,Achillea,stricta,27
Angiosperm,Asteraceae,Achillea_talagonica,Achillea,talagonica,9
Angiosperm,Asteraceae,Achillea_taygetea,Achillea,taygetea,9
Angiosperm,Asteraceae,Achillea_tenuifolia,Achillea,tenuifolia,9
Angiosperm,Asteraceae,Achillea_tomentosa,Achillea,tomentosa,9
Angiosperm,Asteraceae,Achillea_umbellata,Achillea,umbellata,3
Angiosperm,Asteraceae,Achillea_vandasii,Achillea,vandasii,9
Angiosperm,Asteraceae,Achillea_vermicularis,Achillea,vermicularis,18
Angiosperm,Asteraceae,Achyrachaena_mollis,Achyrachaena,mollis,8
Angiosperm,Asteraceae,Achyrocline_alata,Achyrocline,alata,14
Angiosperm,Asteraceae,Achyrocline_satureioides,Achyrocline,satureioides,14
Angiosperm,Asteraceae,Achyrocline_trianae,Achyrocline,trianae,14
Angiosperm,Asteraceae,Achyropappus_anthemoides,Achyropappus,anthemoides,10
Angiosperm,Asteraceae,Acilepidopsis_echitifolia,Acilepidopsis,echitifolia,36
Angiosperm,Asteraceae,Acilepis_attenuata,Acilepis,attenuata,9
Angiosperm,Asteraceae,Acilepis_chiangaoensis,Acilepis,chiangaoensis,54
Angiosperm,Asteraceae,Acilepis_dendigulensis,Acilepis,dendigulensis,18
Angiosperm,Asteraceae,Acilepis_divergens,Acilepis,divergens,9
Angiosperm,Asteraceae,Acilepis_doichangensis,Acilepis,doichangensis,54
Angiosperm,Asteraceae,Acilepis_ngaoensis,Acilepis,ngaoensis,36
Angiosperm,Asteraceae,Acilepis_peninsularis,Acilepis,peninsularis,9
Angiosperm,Asteraceae,Acilepis_squarrosa,Acilepis,squarrosa,18
Angiosperm,Asteraceae,Acmella_alba,Acmella,alba,30
Angiosperm,Asteraceae,Acmella_alpestris,Acmella,alpestris,13
Angiosperm,Asteraceae,Acmella_bellidioides,Acmella,bellidioides,13
Angiosperm,Asteraceae,Acmella_brachyglossa,Acmella,brachyglossa,39
Angiosperm,Asteraceae,Acmella_caulirhiza,Acmella,caulirhiza,13
Angiosperm,Asteraceae,Acmella_ciliata,Acmella,ciliata,39
Angiosperm,Asteraceae,Acmella_decumbens,Acmella,decumbens,26
Angiosperm,Asteraceae,Acmella_filipes,Acmella,filipes,12
Angiosperm,Asteraceae,Acmella_glaberrima,Acmella,glaberrima,13
Angiosperm,Asteraceae,Acmella_grandiflora,Acmella,grandiflora,26
Angiosperm,Asteraceae,Acmella_grisea,Acmella,grisea,13
Angiosperm,Asteraceae,Acmella_iodiscaea,Acmella,iodiscaea,26
Angiosperm,Asteraceae,Acmella_leptophylla,Acmella,leptophylla,13
Angiosperm,Asteraceae,Acmella_oleracea,Acmella,oleracea,30
Angiosperm,Asteraceae,Acmella_oppositifolia,Acmella,oppositifolia,13
Angiosperm,Asteraceae,Acmella_paniculata,Acmella,paniculata,26
Angiosperm,Asteraceae,Acmella_papposa,Acmella,papposa,26
Angiosperm,Asteraceae,Acmella_pilosa,Acmella,pilosa,2
Angiosperm,Asteraceae,Acmella_poliolepidica,Acmella,poliolepidica,24
Angiosperm,Asteraceae,Acmella_pusilla,Acmella,pusilla,13
Angiosperm,Asteraceae,Acmella_radicans,Acmella,radicans,39
Angiosperm,Asteraceae,Acmella_ramosa,Acmella,ramosa,13
Angiosperm,Asteraceae,Acmella_repens,Acmella,repens,26
Angiosperm,Asteraceae,Acmella_serratifolia,Acmella,serratifolia,13
Angiosperm,Asteraceae,Acmella_sodiroi,Acmella,sodiroi,39
Angiosperm,Asteraceae,Acmella_uliginosa,Acmella,uliginosa,26
Angiosperm,Asteraceae,Acourtia_nana,Acourtia,nana,27
Angiosperm,Asteraceae,Acourtia_belizeana,Acourtia,belizeana,18
Angiosperm,Asteraceae,Acourtia_carpholepis,Acourtia,carpholepis,27
Angiosperm,Asteraceae,Acourtia_cordata,Acourtia,cordata,27
Angiosperm,Asteraceae,Acourtia_fruticosa,Acourtia,fruticosa,26
Angiosperm,Asteraceae,Acourtia_microcephala,Acourtia,microcephala,27
Angiosperm,Asteraceae,Acourtia_nudicaulis,Acourtia,nudicaulis,28
Angiosperm,Asteraceae,Acourtia_runcinata,Acourtia,runcinata,27
Angiosperm,Asteraceae,Acourtia_scapiformis,Acourtia,scapiformis,27
Angiosperm,Asteraceae,Acourtia_thurberi,Acourtia,thurberi,54
Angiosperm,Asteraceae,Acourtia_wrightii,Acourtia,wrightii,27
Angiosperm,Asteraceae,Acritopappus_confertus,Acritopappus,confertus,5
Angiosperm,Asteraceae,Acritopappus_hagei,Acritopappus,hagei,9
Angiosperm,Asteraceae,Acritopappus_longifolius,Acritopappus,longifolius,9
Angiosperm,Asteraceae,Acritopappus_morii,Acritopappus,morii,9
Angiosperm,Asteraceae,Acritopappus_prunifolius,Acritopappus,prunifolius,9
Angiosperm,Asteraceae,Actinobole_condensatum,Actinobole,condensatum,10
Angiosperm,Asteraceae,Actinobole_drummondiana,Actinobole,drummondiana,10
Angiosperm,Asteraceae,Actinobole_uliginosum,Actinobole,uliginosum,11
Angiosperm,Asteraceae,Adenocaulon_bicolor,Adenocaulon,bicolor,23
Angiosperm,Asteraceae,Adenocaulon_chilense,Adenocaulon,chilense,23
Angiosperm,Asteraceae,Adenocaulon_lyratum,Adenocaulon,lyratum,23
Angiosperm,Asteraceae,Adenophyllum_wrightii,Adenophyllum,wrightii,7
Angiosperm,Asteraceae,Adenophyllum_anomalum,Adenophyllum,anomalum,7
Angiosperm,Asteraceae,Adenophyllum_appendiculatum,Adenophyllum,appendiculatum,13
Angiosperm,Asteraceae,Adenophyllum_cooperi,Adenophyllum,cooperi,13
Angiosperm,Asteraceae,Adenophyllum_glandulosum,Adenophyllum,glandulosum,13
Angiosperm,Asteraceae,Adenophyllum_porophylloides,Adenophyllum,porophylloides,13
Angiosperm,Asteraceae,Adenophyllum_porophyllum,Adenophyllum,porophyllum,13
Angiosperm,Asteraceae,Adenophyllum_speciosum,Adenophyllum,speciosum,13
Angiosperm,Asteraceae,Adenostemma_brasilianum,Adenostemma,brasilianum,10
Angiosperm,Asteraceae,Adenostemma_involucratum,Adenostemma,involucratum,10
Angiosperm,Asteraceae,Adenostemma_lavenia,Adenostemma,lavenia,10
Angiosperm,Asteraceae,Adenostemma_platyphyllum,Adenostemma,platyphyllum,10
Angiosperm,Asteraceae,Adenostemma_viscosum,Adenostemma,viscosum,10
Angiosperm,Asteraceae,Adenostyles_alliariae,Adenostyles,alliariae,19
Angiosperm,Asteraceae,Adenostyles_leucophylla,Adenostyles,leucophylla,19
Angiosperm,Asteraceae,Adenothamnus_validus,Adenothamnus,validus,14
Angiosperm,Asteraceae,Aetheolaena_involucrata,Aetheolaena,involucrata,20
Angiosperm,Asteraceae,Aetheorhiza_bulbosa,Aetheorhiza,bulbosa,9
Angiosperm,Asteraceae,Ageratina_grandifolia,Ageratina,grandifolia,25
Angiosperm,Asteraceae,Ageratina_wrightii,Ageratina,wrightii,17
Angiosperm,Asteraceae,Ageratina_adenophora,Ageratina,adenophora,51
Angiosperm,Asteraceae,Ageratina_altissima,Ageratina,altissima,17
Angiosperm,Asteraceae,Ageratina_ampla,Ageratina,ampla,40
Angiosperm,Asteraceae,Ageratina_anisochroma,Ageratina,anisochroma,17
Angiosperm,Asteraceae,Ageratina_arbutifolia,Ageratina,arbutifolia,42
Angiosperm,Asteraceae,Ageratina_asclepiadea,Ageratina,asclepiadea,90
Angiosperm,Asteraceae,Ageratina_baccharoides,Ageratina,baccharoides,42
Angiosperm,Asteraceae,Ageratina_barbensis,Ageratina,barbensis,17
Angiosperm,Asteraceae,Ageratina_bellidifolia,Ageratina,bellidifolia,68
Angiosperm,Asteraceae,Ageratina_brevipes,Ageratina,brevipes,17
Angiosperm,Asteraceae,Ageratina_costaricensis,Ageratina,costaricensis,70
Angiosperm,Asteraceae,Ageratina_cuencana,Ageratina,cuencana,18
Angiosperm,Asteraceae,Ageratina_dendroides,Ageratina,dendroides,40
Angiosperm,Asteraceae,Ageratina_elegans,Ageratina,elegans,43
Angiosperm,Asteraceae,Ageratina_fastigiata,Ageratina,fastigiata,25
Angiosperm,Asteraceae,Ageratina_glabrata,Ageratina,glabrata,17
Angiosperm,Asteraceae,Ageratina_glechonophylla,Ageratina,glechonophylla,17
Angiosperm,Asteraceae,Ageratina_gracilis,Ageratina,gracilis,17
Angiosperm,Asteraceae,Ageratina_havanensis,Ageratina,havanensis,17
Angiosperm,Asteraceae,Ageratina_herbacea,Ageratina,herbacea,17
Angiosperm,Asteraceae,Ageratina_ibaguensis,Ageratina,ibaguensis,17
Angiosperm,Asteraceae,Ageratina_ixiocladon,Ageratina,ixiocladon,17
Angiosperm,Asteraceae,Ageratina_josepaneroi,Ageratina,josepaneroi,17
Angiosperm,Asteraceae,Ageratina_ligustrina,Ageratina,ligustrina,51
Angiosperm,Asteraceae,Ageratina_lorentzii,Ageratina,lorentzii,2
Angiosperm,Asteraceae,Ageratina_luciae-brauniae,Ageratina,luciae-brauniae,17
Angiosperm,Asteraceae,Ageratina_mairetiana,Ageratina,mairetiana,17
Angiosperm,Asteraceae,Ageratina_modesta,Ageratina,modesta,17
Angiosperm,Asteraceae,Ageratina_muelleri,Ageratina,muelleri,68
Angiosperm,Asteraceae,Ageratina_pazcuarensis,Ageratina,pazcuarensis,25
Angiosperm,Asteraceae,Ageratina_pendula,Ageratina,pendula,17
Angiosperm,Asteraceae,Ageratina_peracuminata,Ageratina,peracuminata,17
Angiosperm,Asteraceae,Ageratina_petiolaris,Ageratina,petiolaris,17
Angiosperm,Asteraceae,Ageratina_pichinchensis,Ageratina,pichinchensis,17
Angiosperm,Asteraceae,Ageratina_popayanensis,Ageratina,popayanensis,42
Angiosperm,Asteraceae,Ageratina_pringlei,Ageratina,pringlei,17
Angiosperm,Asteraceae,Ageratina_prunellifolia,Ageratina,prunellifolia,50
Angiosperm,Asteraceae,Ageratina_pseudochilca,Ageratina,pseudochilca,42
Angiosperm,Asteraceae,Ageratina_rhypodes,Ageratina,rhypodes,18
Angiosperm,Asteraceae,Ageratina_riparia,Ageratina,riparia,17
Angiosperm,Asteraceae,Ageratina_scorodonioides,Ageratina,scorodonioides,17
Angiosperm,Asteraceae,Ageratina_shastensis,Ageratina,shastensis,17
Angiosperm,Asteraceae,Ageratina_skutchii,Ageratina,skutchii,17
Angiosperm,Asteraceae,Ageratina_subcordata,Ageratina,subcordata,17
Angiosperm,Asteraceae,Ageratina_subinclusa,Ageratina,subinclusa,18
Angiosperm,Asteraceae,Ageratina_tomentella,Ageratina,tomentella,17
Angiosperm,Asteraceae,Ageratina_vernalis,Ageratina,vernalis,17
Angiosperm,Asteraceae,Ageratum_albidum,Ageratum,albidum,10
Angiosperm,Asteraceae,Ageratum_conyzoides,Ageratum,conyzoides,20
Angiosperm,Asteraceae,Ageratum_corymbosum,Ageratum,corymbosum,10
Angiosperm,Asteraceae,Ageratum_fastigiatum,Ageratum,fastigiatum,10
Angiosperm,Asteraceae,Ageratum_houstonianum,Ageratum,houstonianum,10
Angiosperm,Asteraceae,Ageratum_lucidum,Ageratum,lucidum,20
Angiosperm,Asteraceae,Ageratum_microcarpum,Ageratum,microcarpum,10
Angiosperm,Asteraceae,Ageratum_nelsonii,Ageratum,nelsonii,10
Angiosperm,Asteraceae,Ageratum_rugosum,Ageratum,rugosum,20
Angiosperm,Asteraceae,Ageratum_salicifolium,Ageratum,salicifolium,10
Angiosperm,Asteraceae,Ageratum_tomentosum,Ageratum,tomentosum,10
Angiosperm,Asteraceae,Agnorhiza_bolanderi,Agnorhiza,bolanderi,19
Angiosperm,Asteraceae,Agnorhiza_elata,Agnorhiza,elata,19
Angiosperm,Asteraceae,Agnorhiza_ovata,Agnorhiza,ovata,19
Angiosperm,Asteraceae,Agnorhiza_reticulata,Agnorhiza,reticulata,19
Angiosperm,Asteraceae,Agoseris_grandiflora,Agoseris,grandiflora,9
Angiosperm,Asteraceae,Agoseris_apargioides,Agoseris,apargioides,9
Angiosperm,Asteraceae,Agoseris_aurantiaca,Agoseris,aurantiaca,17
Angiosperm,Asteraceae,Agoseris_coronopifolia,Agoseris,coronopifolia,9
Angiosperm,Asteraceae,Agoseris_glauca,Agoseris,glauca,2
Angiosperm,Asteraceae,Agoseris_heterophylla,Agoseris,heterophylla,18
Angiosperm,Asteraceae,Agoseris_parviflora,Agoseris,parviflora,9
Angiosperm,Asteraceae,Ainsliaea_acerifolia,Ainsliaea,acerifolia,13
Angiosperm,Asteraceae,Ainsliaea_apiculata,Ainsliaea,apiculata,13
Angiosperm,Asteraceae,Ainsliaea_aptera,Ainsliaea,aptera,12
Angiosperm,Asteraceae,Ainsliaea_dissecta,Ainsliaea,dissecta,13
Angiosperm,Asteraceae,Ainsliaea_faurieana,Ainsliaea,faurieana,13
Angiosperm,Asteraceae,Ainsliaea_fragrans,Ainsliaea,fragrans,13
Angiosperm,Asteraceae,Ainsliaea_latifolia,Ainsliaea,latifolia,12
Angiosperm,Asteraceae,Ainsliaea_morrisonicola,Ainsliaea,morrisonicola,6
Angiosperm,Asteraceae,Ainsliaea_pteropoda,Ainsliaea,pteropoda,8
Angiosperm,Asteraceae,Ajania_fruticulosa,Ajania,fruticulosa,9
Angiosperm,Asteraceae,Aldama_dentata,Aldama,dentata,17
Angiosperm,Asteraceae,Alepidocline_annua,Alepidocline,annua,8
Angiosperm,Asteraceae,Alepidocline_breedlovei,Alepidocline,breedlovei,8
Angiosperm,Asteraceae,Alepidocline_trifida,Alepidocline,trifida,8
Angiosperm,Asteraceae,Aliella_ballii,Aliella,ballii,9
Angiosperm,Asteraceae,Allagopappus_canariensis,Allagopappus,canariensis,10
Angiosperm,Asteraceae,Allittia_uliginosa,Allittia,uliginosa,9
Angiosperm,Asteraceae,Allittia_cardiocarpa,Allittia,cardiocarpa,9
Angiosperm,Asteraceae,Alloispermum_sodiroi,Alloispermum,sodiroi,24
Angiosperm,Asteraceae,Alloispermum_caracasanum,Alloispermum,caracasanum,24
Angiosperm,Asteraceae,Alloispermum_colimense,Alloispermum,colimense,36
Angiosperm,Asteraceae,Alloispermum_integrifolium,Alloispermum,integrifolium,15
Angiosperm,Asteraceae,Alloispermum_michoacanum,Alloispermum,michoacanum,24
Angiosperm,Asteraceae,Alloispermum_palmeri,Alloispermum,palmeri,8
Angiosperm,Asteraceae,Alloispermum_scabrifolium,Alloispermum,scabrifolium,16
Angiosperm,Asteraceae,Alloispermum_scabrum,Alloispermum,scabrum,17
Angiosperm,Asteraceae,Almutaster_pauciflorus,Almutaster,pauciflorus,9
Angiosperm,Asteraceae,Alomia_alata,Alomia,alata,10
Angiosperm,Asteraceae,Alomia_fastigiata,Alomia,fastigiata,10
Angiosperm,Asteraceae,Alomia_elata,Alomia,elata,10
Angiosperm,Asteraceae,Alvordia_brandegeei,Alvordia,brandegeei,17
Angiosperm,Asteraceae,Alvordia_glomerata,Alvordia,glomerata,64
Angiosperm,Asteraceae,Amauria_brandegeana,Amauria,brandegeana,18
Angiosperm,Asteraceae,Amauria_carterae,Amauria,carterae,20
Angiosperm,Asteraceae,Amauria_rotundifolia,Amauria,rotundifolia,18
Angiosperm,Asteraceae,Amauriopsis_dissecta,Amauriopsis,dissecta,18
Angiosperm,Asteraceae,Amberboa_nana,Amberboa,nana,16
Angiosperm,Asteraceae,Amberboa_amberboi,Amberboa,amberboi,14
Angiosperm,Asteraceae,Amberboa_moschata,Amberboa,moschata,16
Angiosperm,Asteraceae,Amblyolepis_setigera,Amblyolepis,setigera,19
Angiosperm,Asteraceae,Amblyopappus_pusillus,Amblyopappus,pusillus,8
Angiosperm,Asteraceae,Ambrosia_tenuifolia,Ambrosia,tenuifolia,54
Angiosperm,Asteraceae,Ambrosia_tomentosa,Ambrosia,tomentosa,18
Angiosperm,Asteraceae,Ambrosia_trifida,Ambrosia,trifida,12
Angiosperm,Asteraceae,Ambrosia_×,Ambrosia,×,5
Angiosperm,Asteraceae,Ambrosia_acanthicarpa,Ambrosia,acanthicarpa,18
Angiosperm,Asteraceae,Ambrosia_ambrosioides,Ambrosia,ambrosioides,18
Angiosperm,Asteraceae,Ambrosia_arborescens,Ambrosia,arborescens,18
Angiosperm,Asteraceae,Ambrosia_artemisiifolia,Ambrosia,artemisiifolia,18
Angiosperm,Asteraceae,Ambrosia_artemisioides,Ambrosia,artemisioides,18
Angiosperm,Asteraceae,Ambrosia_bidentata,Ambrosia,bidentata,17
Angiosperm,Asteraceae,Ambrosia_bryantii,Ambrosia,bryantii,18
Angiosperm,Asteraceae,Ambrosia_camphorata,Ambrosia,camphorata,36
Angiosperm,Asteraceae,Ambrosia_canescens,Ambrosia,canescens,18
Angiosperm,Asteraceae,Ambrosia_chamissonis,Ambrosia,chamissonis,18
Angiosperm,Asteraceae,Ambrosia_cheiranthifolia,Ambrosia,cheiranthifolia,36
Angiosperm,Asteraceae,Ambrosia_chenopodiifolia,Ambrosia,chenopodiifolia,36
Angiosperm,Asteraceae,Ambrosia_confertiflora,Ambrosia,confertiflora,36
Angiosperm,Asteraceae,Ambrosia_deltoidea,Ambrosia,deltoidea,18
Angiosperm,Asteraceae,Ambrosia_dumosa,Ambrosia,dumosa,18
Angiosperm,Asteraceae,Ambrosia_eriocentra,Ambrosia,eriocentra,18
Angiosperm,Asteraceae,Ambrosia_grayi,Ambrosia,grayi,18
Angiosperm,Asteraceae,Ambrosia_hispida,Ambrosia,hispida,52
Angiosperm,Asteraceae,Ambrosia_ilicifolia,Ambrosia,ilicifolia,18
Angiosperm,Asteraceae,Ambrosia_monogyra,Ambrosia,monogyra,18
Angiosperm,Asteraceae,Ambrosia_peruviana,Ambrosia,peruviana,18
Angiosperm,Asteraceae,Ambrosia_polystachya,Ambrosia,polystachya,18
Angiosperm,Asteraceae,Ambrosia_psilostachya,Ambrosia,psilostachya,36
Angiosperm,Asteraceae,Ambrosia_pumila,Ambrosia,pumila,36
Angiosperm,Asteraceae,Ambrosia_salsola,Ambrosia,salsola,18
Angiosperm,Asteraceae,Ameghinoa_patagonica,Ameghinoa,patagonica,26
Angiosperm,Asteraceae,Amellus_asteroides,Amellus,asteroides,8
Angiosperm,Asteraceae,Amellus_flosculosus,Amellus,flosculosus,8
Angiosperm,Asteraceae,Amellus_microglossus,Amellus,microglossus,6
Angiosperm,Asteraceae,Amellus_nanus,Amellus,nanus,9
Angiosperm,Asteraceae,Amellus_strigosus,Amellus,strigosus,8
Angiosperm,Asteraceae,Amellus_tenuifolius,Amellus,tenuifolius,8
Angiosperm,Asteraceae,Amellus_tridactylus,Amellus,tridactylus,8
Angiosperm,Asteraceae,Ammobium_alatum,Ammobium,alatum,12
Angiosperm,Asteraceae,Amolinia_heydeana,Amolinia,heydeana,10
Angiosperm,Asteraceae,Ampelaster_carolinianus,Ampelaster,carolinianus,9
Angiosperm,Asteraceae,Amphiachyris_amoena,Amphiachyris,amoena,4
Angiosperm,Asteraceae,Amphiachyris_dracunculoides,Amphiachyris,dracunculoides,5
Angiosperm,Asteraceae,Amphipappus_fremontii,Amphipappus,fremontii,9
Angiosperm,Asteraceae,Anacyclus_clavatus,Anacyclus,clavatus,9
Angiosperm,Asteraceae,Anacyclus_homogamos,Anacyclus,homogamos,9
Angiosperm,Asteraceae,Anacyclus_monanthos,Anacyclus,monanthos,9
Angiosperm,Asteraceae,Anacyclus_pyrethrum,Anacyclus,pyrethrum,9
Angiosperm,Asteraceae,Anacyclus_radiatus,Anacyclus,radiatus,9
Angiosperm,Asteraceae,Anacyclus_valentinus,Anacyclus,valentinus,9
Angiosperm,Asteraceae,Anaphalioides_bellidioides,Anaphalioides,bellidioides,14
Angiosperm,Asteraceae,Anaphalioides_subrigida,Anaphalioides,subrigida,14
Angiosperm,Asteraceae,Anaphalioides_trinerve,Anaphalioides,trinerve,14
Angiosperm,Asteraceae,Anaphalioides_trinervis,Anaphalioides,trinervis,14
Angiosperm,Asteraceae,Anaphalis_adnata,Anaphalis,adnata,14
Angiosperm,Asteraceae,Anaphalis_beddomei,Anaphalis,beddomei,14
Angiosperm,Asteraceae,Anaphalis_brevifolia,Anaphalis,brevifolia,14
Angiosperm,Asteraceae,Anaphalis_busua,Anaphalis,busua,21
Angiosperm,Asteraceae,Anaphalis_contorta,Anaphalis,contorta,14
Angiosperm,Asteraceae,Anaphalis_margaritacea,Anaphalis,margaritacea,14
Angiosperm,Asteraceae,Anaphalis_nepalensis,Anaphalis,nepalensis,14
Angiosperm,Asteraceae,Anaphalis_royleana,Anaphalis,royleana,14
Angiosperm,Asteraceae,Anaphalis_subdecurrens,Anaphalis,subdecurrens,14
Angiosperm,Asteraceae,Anaphalis_subumbellata,Anaphalis,subumbellata,14
Angiosperm,Asteraceae,Anaphalis_travancorica,Anaphalis,travancorica,14
Angiosperm,Asteraceae,Anaphalis_triplinervis,Anaphalis,triplinervis,14
Angiosperm,Asteraceae,Anaphalis_wightiana,Anaphalis,wightiana,14
Angiosperm,Asteraceae,Anaphalis_wightii,Anaphalis,wightii,14
Angiosperm,Asteraceae,Andryala_glandulosa,Andryala,glandulosa,9
Angiosperm,Asteraceae,Andryala_integrifolia,Andryala,integrifolia,9
Angiosperm,Asteraceae,Andryala_laxiflora,Andryala,laxiflora,9
Angiosperm,Asteraceae,Andryala_pinnatifida,Andryala,pinnatifida,9
Angiosperm,Asteraceae,Angianthus_acrohyalinus,Angianthus,acrohyalinus,13
Angiosperm,Asteraceae,Angianthus_micropoides,Angianthus,micropoides,12
Angiosperm,Asteraceae,Angianthus_milnei,Angianthus,milnei,13
Angiosperm,Asteraceae,Angianthus_preissianus,Angianthus,preissianus,13
Angiosperm,Asteraceae,Angianthus_tomentosus,Angianthus,tomentosus,12
Angiosperm,Asteraceae,Angianthus_uniflorus,Angianthus,uniflorus,6
Angiosperm,Asteraceae,Anisocarpus_madioides,Anisocarpus,madioides,7
Angiosperm,Asteraceae,Anisocarpus_scabridus,Anisocarpus,scabridus,7
Angiosperm,Asteraceae,Anisocoma_acaulis,Anisocoma,acaulis,7
Angiosperm,Asteraceae,Anisopappus_anemonifolius,Anisopappus,anemonifolius,7
Angiosperm,Asteraceae,Anisopappus_chinensis,Anisopappus,chinensis,14
Angiosperm,Asteraceae,Antennaria_alpina,Antennaria,alpina,42
Angiosperm,Asteraceae,Antennaria_argentea,Antennaria,argentea,7
Angiosperm,Asteraceae,Antennaria_carpatica,Antennaria,carpatica,28
Angiosperm,Asteraceae,Antennaria_dioica,Antennaria,dioica,13
Angiosperm,Asteraceae,Antennaria_lanata,Antennaria,lanata,14
Angiosperm,Asteraceae,Antennaria_microphylla,Antennaria,microphylla,14
Angiosperm,Asteraceae,Antennaria_neglecta,Antennaria,neglecta,14
Angiosperm,Asteraceae,Antennaria_parlinii,Antennaria,parlinii,42
Angiosperm,Asteraceae,Antennaria_plantaginifolia,Antennaria,plantaginifolia,14
Angiosperm,Asteraceae,Antennaria_rousseaui,Antennaria,rousseaui,28
Angiosperm,Asteraceae,Antennaria_solitaria,Antennaria,solitaria,14
Angiosperm,Asteraceae,Antennaria_virginica,Antennaria,virginica,28
Angiosperm,Asteraceae,Anthemis_cretica,Anthemis,cretica,18
Angiosperm,Asteraceae,Anthemis_maritima,Anthemis,maritima,18
Angiosperm,Asteraceae,Anthemis_tomentella,Anthemis,tomentella,9
Angiosperm,Asteraceae,Anthemis_abylaea,Anthemis,abylaea,18
Angiosperm,Asteraceae,Anthemis_arvensis,Anthemis,arvensis,9
Angiosperm,Asteraceae,Anthemis_chia,Anthemis,chia,9
Angiosperm,Asteraceae,Anthemis_confusa,Anthemis,confusa,9
Angiosperm,Asteraceae,Anthemis_cotula,Anthemis,cotula,9
Angiosperm,Asteraceae,Anthemis_cupaniana,Anthemis,cupaniana,9
Angiosperm,Asteraceae,Anthemis_gharbensis,Anthemis,gharbensis,9
Angiosperm,Asteraceae,Anthemis_kitaibelii,Anthemis,kitaibelii,18
Angiosperm,Asteraceae,Anthemis_maroccana,Anthemis,maroccana,9
