Clade,family,full_species,Genus,species,haploid
Angiosperm,Asteraceae,Aaronsohnia_factorovskyi,Aaronsohnia,factorovskyi,9
Angiosperm,Asteraceae,Aaronsohnia_pubescens,Aaronsohnia,pubescens,9
Angiosperm,Asteraceae,Acamptopappus_shockleyi,Acamptopappus,shockleyi,9
Angiosperm,Asteraceae,Acamptopappus_sphaerocephalus,Acamptopappus,sphaerocephalus,9
Angiosperm,Asteraceae,Acanthospermum_australe,Acanthospermum,australe,11
Angiosperm,Asteraceae,Acanthospermum_hispidum,Acanthospermum,hispidum,11
Angiosperm,Asteraceae,Achaetogeron_chihuahuensis,Achaetogeron,chihuahuensis,3
Angiosperm,Asteraceae,Achillea_abrotanoides,Achillea,abrotanoides,9
Angiosperm,Asteraceae,Achillea_ageratifolia,Achillea,ageratifolia,9
Angiosperm,Asteraceae,Achillea_ageratum,Achillea,ageratum,9
Angiosperm,Asteraceae,Achillea_alpina,Achillea,alpina,18
Angiosperm,Asteraceae,Achillea_ambrosiaca,Achillea,ambrosiaca,9
Angiosperm,Asteraceae,Achillea_arabica,Achillea,arabica,9
Angiosperm,Asteraceae,Achillea_asiatica,Achillea,asiatica,9
Angiosperm,Asteraceae,Achillea_aspleniifolia,Achillea,aspleniifolia,9
Angiosperm,Asteraceae,Achillea_barrelieri,Achillea,barrelieri,18
Angiosperm,Asteraceae,Achillea_biserrata,Achillea,biserrata,9
Angiosperm,Asteraceae,Achillea_chamaemelifolia,Achillea,chamaemelifolia,9
Angiosperm,Asteraceae,Achillea_clavennae,Achillea,clavennae,9
Angiosperm,Asteraceae,Achillea_clypeolata,Achillea,clypeolata,9
Angiosperm,Asteraceae,Achillea_coarctata,Achillea,coarctata,9
Angiosperm,Asteraceae,Achillea_collina,Achillea,collina,18
Angiosperm,Asteraceae,Achillea_cretica,Achillea,cretica,9
Angiosperm,Asteraceae,Achillea_distans,Achillea,distans,27
Angiosperm,Asteraceae,Achillea_erba-rotta,Achillea,erba-rotta,9
Angiosperm,Asteraceae,Achillea_eriophora,Achillea,eriophora,9
