highertaxa,family,genus,species,haploid
Teleostei,Nothobranchiidae,Epiplatys,Epiplatys spilargyreius,17
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius albimarginatus,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius annectens,14
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius boklundi,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius cardinalis,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius eggersi,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius elongatus,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius flammicomantis,10
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius foerschi,17
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius furzeri,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius fuscotaeniatus,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius geminus,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius hassoni,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius hengstleri,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius interruptus,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius ivanovae,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius jubbi,17
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius kadleci,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius kafuensis,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius kardashevi,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius kilomberoensis,16
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius kirki,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius korthausae,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius krysanovi,9
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius kuhntae,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius lucius,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius luekei,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius makondorum,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius malaissei,24
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius melanospilus,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius neumanni,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius nubaensis,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius ocellatus,15
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius orthonotus,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius palmqvisti,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius patrizii,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius polli,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius rachovii,8
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius robustus,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius rosenstocki,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius rubripinnis,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius rubroreticulatus,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius ruudwildekampi,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius seegersi,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius steinforti,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius symoensi,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius taeniopygus,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius ugandensis,18
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius virgatus,16
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius vosseleri,19
Teleostei,Nothobranchiidae,Nothobranchius,Nothobranchius wattersi,18
Teleostei,Nothobranchiidae,Pronothobranchius,Pronothobranchius kiyawensis,14
