"class","order","family","species","haploid"
"Actinopteri","Siluriformes","Auchenipteridae","ageneiosus atronasus","28"
"Actinopteri","Siluriformes","Auchenipteridae","ageneiosus inermis","28"
"Actinopteri","Siluriformes","Schilbeidae","ailia coila","29"
"Actinopteri","Siluriformes","Amblycipitidae","amblyceps mangois","18"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus brunneus","31"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus catus","24"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus melas","30"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus melas","30"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus natalis","31"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus natalis","31"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus nebulosus","30"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus nebulosus","30"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus nebulosus","30"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus platycephalus","27"
"Actinopteri","Siluriformes","Ictaluridae","ameiurus serracanthus","26"
"Actinopteri","Siluriformes","Loricariidae","ancistrus multispinis","26"
"Actinopteri","Siluriformes","Loricariidae","ancistrus ranunculus","24"
"Actinopteri","Siluriformes","Loricariidae","ancistrus ranunculus","24"
"Actinopteri","Siluriformes","Ariidae","ariopsis felis","27"
"Actinopteri","Siluriformes","Ariidae","ariopsis felis","27"
"Actinopteri","Siluriformes","Ariidae","ariopsis guatemalensis","26"
"Actinopteri","Siluriformes","Callichthyidae","aspidoras fuscoguttatus","22"
"Actinopteri","Siluriformes","Callichthyidae","aspidoras poecilus","23"
"Actinopteri","Siluriformes","Callichthyidae","aspidoras taurus","23"
"Actinopteri","Siluriformes","Auchenipteridae","auchenipterus nuchalis","29"
"Actinopteri","Siluriformes","Ariidae","bagre bagre","28"
"Actinopteri","Siluriformes","Ariidae","bagre marinus","27"
"Actinopteri","Siluriformes","Bagridae","bagrichthys macracanthus","25"
"Actinopteri","Siluriformes","Pimelodidae","bergiaria westermanni","28"
"Actinopteri","Siluriformes","Loricariidae","brochiloricaria macrodon","29"
"Actinopteri","Siluriformes","Callichthyidae","brochis britskii","45"
"Actinopteri","Siluriformes","Callichthyidae","brochis britskii","45"
"Actinopteri","Siluriformes","Callichthyidae","brochis splendens","50"
"Actinopteri","Siluriformes","Trichomycteridae","bullockia maldonadoi","30"
"Actinopteri","Siluriformes","Pimelodidae","calophysus macropterus","25"
"Actinopteri","Siluriformes","Ariidae","cathorops melanopus","26"
"Actinopteri","Siluriformes","Ariidae","cathorops spixii","27"
"Actinopteri","Siluriformes","Pseudopimelodidae","cephalosilurus apurensis","27"
"Actinopteri","Siluriformes","Heptapteridae","cetopsorhamdia iheringi","29"
"Actinopteri","Siluriformes","Heptapteridae","cetopsorhamdia iheringi","29"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","50"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","27"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","50"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","28"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","26"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","25"
"Actinopteri","Siluriformes","Clariidae","clarias batrachus","25"
"Actinopteri","Siluriformes","Clariidae","clarias camerunensis","27"
"Actinopteri","Siluriformes","Clariidae","clarias ebriensis","25"
"Actinopteri","Siluriformes","Clariidae","clarias fuscus","28"
"Actinopteri","Siluriformes","Clariidae","clarias fuscus","28"
"Actinopteri","Siluriformes","Clariidae","clarias fuscus","28"
"Actinopteri","Siluriformes","Clariidae","clarias fuscus","28"
"Actinopteri","Siluriformes","Clariidae","clarias fuscus","28"
"Actinopteri","Siluriformes","Clariidae","clarias fuscus","28"
"Actinopteri","Siluriformes","Clariidae","clarias gariepinus","28"
"Actinopteri","Siluriformes","Clariidae","clarias gariepinus","28"
"Actinopteri","Siluriformes","Clariidae","clarias gariepinus","28"
"Actinopteri","Siluriformes","Clariidae","clarias gariepinus","28"
"Actinopteri","Siluriformes","Clariidae","clarias gariepinus","28"
"Actinopteri","Siluriformes","Clariidae","clarias macrocephalus","27"
"Actinopteri","Siluriformes","Clariidae","clarias platycephalus","27"
"Actinopteri","Siluriformes","Schilbeidae","clupisoma garua","28"
"Actinopteri","Siluriformes","Schilbeidae","clupisoma garua","33"
"Actinopteri","Siluriformes","Pimelodidae","conorhynchos conirostris","30"
"Actinopteri","Siluriformes","Bagridae","coreobagrus brevicorpus","22"
"Actinopteri","Siluriformes","Bagridae","coreobagrus ichikawai","28"
"Actinopteri","Siluriformes","Loricariidae","corumbataia cuestae","27"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","30"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","28"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","28"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","30"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","30"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","67"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","29"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","30.5"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","66"
"Actinopteri","Siluriformes","Callichthyidae","corydoras aeneus","60"
"Actinopteri","Siluriformes","Callichthyidae","corydoras agassizii","49"
"Actinopteri","Siluriformes","Callichthyidae","corydoras araguaiaensis","47"
"Actinopteri","Siluriformes","Callichthyidae","corydoras arcuatus","23"
"Actinopteri","Siluriformes","Callichthyidae","corydoras arcuatus","23"
"Actinopteri","Siluriformes","Callichthyidae","corydoras axelrodi","23"
"Actinopteri","Siluriformes","Callichthyidae","corydoras bondi","23"
"Actinopteri","Siluriformes","Callichthyidae","corydoras delphax","42"
"Actinopteri","Siluriformes","Callichthyidae","corydoras difluviatilis","39"
"Actinopteri","Siluriformes","Callichthyidae","corydoras ehrhardti","22"
"Actinopteri","Siluriformes","Callichthyidae","corydoras ehrhardti","22"
"Actinopteri","Siluriformes","Callichthyidae","corydoras elegans","25"
"Actinopteri","Siluriformes","Callichthyidae","corydoras elegans","25"
"Actinopteri","Siluriformes","Callichthyidae","corydoras flaveolus","29"
"Actinopteri","Siluriformes","Callichthyidae","corydoras julii","46"
"Actinopteri","Siluriformes","Callichthyidae","corydoras julii","23"
