Phylum,Class,Order,Family,Genus,species,2N,haploid
Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus_arafurae,36,18
Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus_granulatus,36,18
Chordata,Reptilia,Squamata,Anniellidae,Anniella,Anniella_geronimensis,36,18
Chordata,Reptilia,Squamata,Anniellidae,Anniella,Anniella_pulchra,"22,24","11,12"
Chordata,Reptilia,Squamata,Boidae,Acrantophis,Acrantophis_dumerili,34,17
Chordata,Reptilia,Squamata,Boidae,Boa,Boa_constrictor,36,18
Chordata,Reptilia,Squamata,Boidae,Candoia,Candoia_bibroni,36,18
Chordata,Reptilia,Squamata,Boidae,Candoia,Candoia_paulsoni,36,18
Chordata,Reptilia,Squamata,Boidae,Charina,Charina_bottae,36,18
Chordata,Reptilia,Squamata,Boidae,Chilabothrus,Chilabothrus_striatus,36,18
Chordata,Reptilia,Squamata,Boidae,Corallus,Corallus_caninus,44,22
Chordata,Reptilia,Squamata,Boidae,Epicrates,Epicrates_cenchria,36,18
Chordata,Reptilia,Squamata,Boidae,Epicrates,Epicrates_crassus,36,18
Chordata,Reptilia,Squamata,Boidae,Eryx,Eryx_conicus,34,17
Chordata,Reptilia,Squamata,Boidae,Eryx,Eryx_jaculus,34,17
Chordata,Reptilia,Squamata,Boidae,Eryx,Eryx_johnii,34,17
Chordata,Reptilia,Squamata,Boidae,Eunectes,Eunectes_murinus,36,18
Chordata,Reptilia,Squamata,Boidae,Exiliboa,Exiliboa_placata,36,18
Chordata,Reptilia,Squamata,Boidae,Sanzinia,Sanzinia_madagascariensis,34,17
Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,Ahaetulla_nasuta,36,18
Chordata,Reptilia,Squamata,Colubridae,Argyrogena,Argyrogena_fasciolata,36,18
Chordata,Reptilia,Squamata,Colubridae,Arizona,Arizona_elegans,36,18
Chordata,Reptilia,Squamata,Colubridae,Bogertophis,Bogertophis_subocularis,40,20
Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga_forsteni,36,18
Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga_irregularis,36,18
Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga_trigonata,36,18
Chordata,Reptilia,Squamata,Colubridae,Chilomeniscus,Chilomeniscus_stramineus,36,18
Chordata,Reptilia,Squamata,Colubridae,Chionactis,Chionactis_occipitalis,36,18
Chordata,Reptilia,Squamata,Colubridae,Chironius,Chironius_bicarinatus,36,18
Chordata,Reptilia,Squamata,Colubridae,Chironius,Chironius_foveatus,34,17
Chordata,Reptilia,Squamata,Colubridae,Chironius,Chironius_quadricarinatus,36,18
Chordata,Reptilia,Squamata,Colubridae,Chrysopelea,Chrysopelea_ornata,40,20
Chordata,Reptilia,Squamata,Colubridae,Coelognathus,Coelognathus_radiatus,30,15
Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber_constrictor,36,18
Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber_flagellum,36,18
Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber_rhodorachis,36,18
Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber_schotti,36,18
Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber_taeniatus,36,18
Chordata,Reptilia,Squamata,Colubridae,Coronella,Coronella_austriaca,36,18
Chordata,Reptilia,Squamata,Colubridae,Dendrelaphis,Dendrelaphis_punctulatus,36,18
Chordata,Reptilia,Squamata,Colubridae,Dinodon,Dinodon_rufozonatum,46,23
Chordata,Reptilia,Squamata,Colubridae,Dolichophis,Dolichophis_jugularis,36,18
Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon_corais,36,18
Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon_couperi,36,18
Chordata,Reptilia,Squamata,Colubridae,Elaphe,Elaphe_carinata,36,18
Chordata,Reptilia,Squamata,Colubridae,Elaphe,Elaphe_climacophora,36,18
Chordata,Reptilia,Squamata,Colubridae,Elaphe,Elaphe_longissima,36,18
Chordata,Reptilia,Squamata,Colubridae,Elaphe,Elaphe_quadrivirgata,36,18
Chordata,Reptilia,Squamata,Colubridae,Euprepiophis,Euprepiophis_conspicillata,34,17
Chordata,Reptilia,Squamata,Colubridae,Euprepiophis,Euprepiophis_mandarinus,36,18
Chordata,Reptilia,Squamata,Colubridae,Hierophis,Hierophis_gemonensis,36,18
Chordata,Reptilia,Squamata,Colubridae,Hierophis,Hierophis_viridiflavus,36,18
Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis_californiae,36,18
Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis_calligaster,36,18
Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis_getula,36,18
Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis_mexicana,36,18
Chordata,Reptilia,Squamata,Colubridae,Liophis,Liophis_miliaris,28,14
Chordata,Reptilia,Squamata,Colubridae,Lycodon,Lycodon_aulicus,36,18
Chordata,Reptilia,Squamata,Colubridae,Lycodon,Lycodon_semicarinatus,34,17
Chordata,Reptilia,Squamata,Colubridae,Mastigodryas,Mastigodryas_bifossatus,36,18
Chordata,Reptilia,Squamata,Colubridae,Oligodon,Oligodon_formosanus,36,18
Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis_bairdi,36,18
