"class","order","family","species","haploid"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","18"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","17"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","16"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","17"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","16.5"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","15.5"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","15"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","14.5"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bivittatum","16"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bualanum","20"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bualanum","19"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion bualanum","18"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion buytaerti","19"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","16"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","10"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","12"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","10"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","10"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","10"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion calliurum","9"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","15"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","17"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","17"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","17"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","16"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","14"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cameronense","12"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion celiae","10"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion celiae","10"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion chauchei","12"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion christyi","18"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion christyi","9"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion christyi","11"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion coeleste","16"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion coeleste","15"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cognatum","14"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cognatum","15"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion congicum","15"
"Actinopteri","Cyprinodontiformes","Nothobranchiidae","aphyosemion cyanostictum","17"
